id,location_id,local_language_id,name
90,46,9,"Route 215"
91,47,5,"Route 216"
92,47,9,"Route 216"
93,48,5,"Route 217"
94,48,9,"Route 217"
95,49,5,"Route 218"
96,49,9,"Route 218"
97,50,5,"Route 219"
98,50,9,"Route 219"
99,51,5,"Route 221"
100,51,9,"Route 221"
101,52,5,"Route 222"
102,52,9,"Route 222"
103,53,5,"Route 224"
104,53,9,"Route 224"
105,54,5,"Route 225"
106,54,9,"Route 225"
107,55,5,"Route 227"
108,55,9,"Route 227"
109,56,5,"Route 228"
110,56,9,"Route 228"
111,57,5,"Route 229"
112,57,9,"Route 229"
113,58,5,Bonaugure
114,58,9,"Twinleaf Town"
115,59,5,Célestia
116,59,9,"Celestic Town"
117,60,5,"Aire de Détente"
118,60,9,"Resort Area"
119,61,5,"Chenal 220"
120,61,9,"Sea Route 220"
121,62,5,"Chenal 223"
122,62,9,"Sea Route 223"
123,63,5,"Chenal 226"
124,63,9,"Sea Route 226"
125,64,5,"Chenal 230"
126,64,9,"Sea Route 230"
127,65,5,Ebènelle
128,65,9,"Blackthorn City"
129,66,5,"Tour Cendrée"
130,66,9,"Burned Tower"
131,67,5,Céladopole
132,67,9,"Celadon City"
133,68,5,Azuria
134,68,9,"Cerulean City"
135,69,5,"Ville Griotte"
136,69,9,"Cherrygrove City"
137,70,5,Irisia
138,70,9,"Cianwood City"
139,71,5,Cramois'Ile
140,71,9,"Cinnabar Island"
141,72,5,"Antre Noir"
142,72,9,"Dark Cave"
143,73,5,"Cave TAUPIQUEUR"
144,73,9,"Diglett's Cave"
145,74,5,"Antre du Dragon"
146,74,9,"Dragon's Den"
147,75,5,Rosalia
148,75,9,"Ecruteak City"
149,76,5,Parmanie
150,76,9,"Fuchsia City"
151,77,5,"Route de Glace"
152,77,9,"Ice Path"
153,78,5,"Bois aux Chênes"
154,78,9,"Ilex Forest"
155,79,5,"Lac Colère"
156,79,9,"Lake of Rage"
157,80,5,"Mont Sélénite"
158,80,9,"Mt. Moon"
159,81,5,"Mont Creuset"
160,81,9,"Mt. Mortar"
161,82,5,"Mont Argenté"
162,82,9,"Mt. Silver"
163,83,5,"Parc Naturel"
164,83,9,"National Park"
165,84,5,"Bourg Geon"
166,84,9,"New Bark Town"
167,85,5,Oliville
168,85,9,"Olivine City"
169,86,5,"Bourg Palette"
170,86,9,"Pallet Town"
171,87,5,Grotte
172,87,9,"Rock Tunnel"
173,88,5,"Route 1"
174,88,9,"Route 1"
175,89,5,"Route 10"
176,89,9,"Route 10"
177,90,5,"Route 11"
178,90,9,"Route 11"
179,91,5,"Route 12"
180,91,9,"Route 12"
181,92,5,"Route 13"
182,92,9,"Route 13"
183,93,5,"Route 14"
184,93,9,"Route 14"
185,94,5,"Route 15"
186,94,9,"Route 15"
187,95,5,"Route 16"
188,95,9,"Route 16"
189,96,5,"Route 17"
190,96,9,"Route 17"
191,97,5,"Route 18"
192,97,9,"Route 18"
193,98,5,"Chenal 19"
194,98,9,"Sea Route 19"
195,99,5,"Route 2"
196,99,9,"Route 2"
197,100,5,"Chenal 20"
198,100,9,"Sea Route 20"
199,101,5,"Chenal 21"
200,101,9,"Sea Route 21"
201,102,5,"Route 22"
202,102,9,"Route 22"
203,103,5,"Route 24"
204,103,9,"Route 24"
205,104,5,"Route 25"
206,104,9,"Route 25"
207,105,5,"Route 26"
208,105,9,"Route 26"
209,106,5,"Route 27"
210,106,9,"Route 27"
211,107,5,"Route 28"
212,107,9,"Route 28"
213,108,5,"Route 29"
214,108,9,"Route 29"
215,109,5,"Route 3"
216,109,9,"Route 3"
217,110,5,"Route 30"
218,110,9,"Route 30"
219,111,5,"Route 31"
220,111,9,"Route 31"
221,112,5,"Route 32"
222,112,9,"Route 32"
223,113,5,"Route 33"
224,113,9,"Route 33"
225,114,5,"Route 34"
226,114,9,"Route 34"
227,115,5,"Route 35"
228,115,9,"Route 35"
229,116,5,"Route 36"
230,116,9,"Route 36"
231,117,5,"Route 37"
232,117,9,"Route 37"
233,118,5,"Route 38"
234,118,9,"Route 38"
235,119,5,"Route 39"
236,119,9,"Route 39"
237,120,5,"Route 4"
238,120,9,"Route 4"
239,121,5,"Chenal 40"
240,121,9,"Sea Route 40"
241,122,5,"Chenal 41"
242,122,9,"Sea Route 41"
243,123,5,"Route 42"
244,123,9,"Route 42"
245,124,5,"Route 43"
246,124,9,"Route 43"
247,125,5,"Route 44"
248,125,9,"Route 44"
249,126,5,"Route 45"
250,126,9,"Route 45"
251,127,5,"Route 46"
252,127,9,"Route 46"
253,128,5,"Route 47"
254,128,9,"Route 47"
255,129,5,"Route 48"
256,129,9,"Route 48"
257,130,5,"Route 5"
258,130,9,"Route 5"
259,131,5,"Route 6"
260,131,9,"Route 6"
261,132,5,"Route 7"
262,132,9,"Route 7"
263,133,5,"Route 8"
264,133,9,"Route 8"
265,134,5,"Route 9"
266,134,9,"Route 9"
267,135,5,"Ruines d'Alpha"
268,135,9,"Ruins of Alph"
269,136,5,"Iles Ecume"
270,136,9,"Seafoam Islands"
271,137,5,"Puits RAMOLOSS"
272,137,9,"Slowpoke Well"
273,138,5,"Tour CHETIFLOR"
274,138,9,"Sprout Tower"
275,139,5,"Tour Carillon"
276,139,9,"Bell Tower"
277,140,5,"Chutes Tohjo"
278,140,9,"Tohjo Falls"
279,141,5,"Caves Jumelles"
280,141,9,"Union Cave"
281,147,5,"Caverne Azurée"
282,147,9,"Cerulean Cave"
283,148,5,"Inconnu; que des Ptitard"
284,148,9,"Unknown; all Poliwag"
285,149,5,"Inconnu; que des Rattata"
286,149,9,"Unknown; all Rattata"
287,150,5,"Inconnu; que des insectes"
288,150,9,"Unknown; all bugs"
289,151,5,"Carmin sur Mer"
290,151,9,"Vermilion City"
291,152,5,"Route Victoire"
292,152,9,"Victory Road"
293,153,5,Mauville
294,153,9,"Violet City"
295,154,5,Jadielle
296,154,9,"Viridian City"
297,155,5,"Forêt de Jade"
298,155,9,"Viridian Forest"
299,156,5,Tourb'Iles
300,156,9,"Whirl Islands"
301,157,5,"Route 23"
302,157,9,"Route 23"
303,158,5,Centrale
304,158,9,"Power Plant"
305,159,5,"Route Victoire"
306,159,9,"Victory Road"
307,160,5,"Tour Pokémon"
308,160,9,"Pokémon Tower"
309,161,5,"Manoir Pokémon"
310,161,9,"Pokémon Mansion"
311,162,5,"Parc Safari"
312,162,9,"Safari Zone"
313,163,5,Littorella
314,163,9,"Sandgem Town"
315,164,5,Floraville
316,164,9,"Floaroma Town"
317,165,5,Bonville
318,165,9,"Solaceon Town"
319,167,5,Féli-Cité
320,167,9,"Jubilife City"
321,168,5,Charbourg
322,168,9,"Oreburgh City"
323,169,5,Unionpolis
324,169,9,"Hearthome City"
325,170,5,Voilaroc
326,170,9,"Veilstone City"
327,171,5,Frimapic
328,171,9,"Snowpoint City"
329,172,5,"Colonnes Lances"
330,172,9,"Spear Pillar"
331,173,5,"Parc des Amis"
332,173,9,"Pal Park"
333,174,5,"Square Paisible"
334,174,9,"Amity Square"
335,175,5,"Pré Floraville"
336,175,9,"Floaroma Meadow"
337,177,5,"Ile Pleine Lune"
338,177,9,"Fullmoon Island"
339,178,5,"Source Adieu"
340,178,9,"Sendoff Spring"
341,179,5,"Paradis Fleuri"
342,179,9,"Flower Paradise"
343,180,5,"Tunnel Runiem."
344,180,9,"Maniac Tunnel"
345,181,5,"QG Galaxie"
346,181,9,"Galactic HQ"
347,182,5,"Rive Lac Vérité"
348,182,9,"Verity Lakefront"
349,183,5,"Ile Nouvellelune"
350,183,9,"Newmoon Island"
351,184,5,"Tour de Combat"
352,184,9,"Battle Tower"
353,185,5,"Aire de Combat"
354,185,9,"Fight Area"
355,186,5,"Aire de Survie"
356,186,9,"Survival Area"
357,187,5,"Passage Marin"
358,187,9,"Seabreak Path"
359,188,5,"Salle Originelle"
360,188,9,"Hall of Origin"
361,189,5,"Salle Originelle"
362,189,9,"Hall of Origin"
363,190,5,"Caverne Vérité"
364,190,9,"Verity Cavern"
365,191,5,"Caverne Courage"
366,191,9,"Valor Cavern"
367,192,5,"Caverne Savoir"
368,192,9,"Acuity Cavern"
369,193,5,Féli-Télé
370,193,9,"Jubilife TV"
371,194,5,"Pokémontre S.A."
372,194,9,"Pokétch Co."
373,195,5,GTS
374,195,9,GTS
375,196,5,"Ecole Dresseurs"
376,196,9,"Trainers’ School"
377,197,5,"Musée Minier"
378,197,9,"Mining Museum"
379,198,5,Fleuriste
380,198,9,"Flower Shop"
381,199,5,"Boutique de Vélo"
382,199,9,"Cycle Shop"
383,200,5,"Salle Concours"
384,200,9,"Contest Hall"
385,201,5,Poffinerie
386,201,9,"Poffin House"
387,202,5,"Bâtiment Etrange"
388,202,9,"Foreign Building"
389,203,5,"Pension Pokémon"
390,203,9,"Pokémon Day Care"
391,204,5,"C. Com. Voilaroc"
392,204,9,"Veilstone Store"
393,205,5,Casino
394,205,9,"Game Corner"
395,206,5,"Bibl. Joliberges"
396,206,9,"Canalave Library"
397,207,5,"Phare Panorama"
398,207,9,"Vista Lighthouse"
399,208,5,"Marché Rivamar"
400,208,9,"Sunyshore Market"
401,209,5,"Abri Petitpas"
402,209,9,"Footstep House"
403,210,5,Café
404,210,9,Café
405,211,5,"Grand Lac"
406,211,9,"Grand Lake"
407,212,5,Restaurant
408,212,9,Restaurant
409,213,5,"Parc des Combats"
410,213,9,"Battle Park"
411,214,5,"Zone de Combat"
412,214,9,"Battle Frontier"
413,215,5,"Usine de Combat"
414,215,9,"Battle Factory"
415,216,5,"Castel de Combat"
416,216,9,"Battle Castle"
417,217,5,"Arcade de Combat"
418,217,9,"Battle Arcade"
419,218,5,"Scène de Combat"
420,218,9,"Battle Hall"
421,219,5,"Monde Distorsion"
422,219,9,"Distortion World"
423,220,5,"Terminal Mondial"
424,220,9,"Global Terminal"
425,221,5,Villa
426,221,9,Villa
427,222,5,"Café Combats"
428,222,9,Battleground
429,223,5,"Salle MOTISMA"
430,223,9,"ROTOM's Room"
431,224,5,"Team G Vestigion"
432,224,9,"T.G. Eterna Bldg"
433,225,5,"Ruines de Fer"
434,225,9,"Iron Ruins"
435,226,5,"Ruines Iceberg"
436,226,9,"Iceberg Ruins"
437,227,5,"Ruines Pic Roche"
438,227,9,"Rock Peak Ruins"
439,228,5,Ecorcia
440,228,9,"Azalea Town"
441,229,5,Doublonville
442,229,9,"Goldenrod City"
443,230,5,Acajou
444,230,9,"Mahogany Town"
445,231,5,Argenta
446,231,9,"Pewter City"
447,232,5,Lavanville
448,232,9,"Lavender Town"
449,233,5,"Plateau Indigo"
450,233,9,"Indigo Plateau"
451,234,5,Safrania
452,234,9,"Saffron City"
453,236,5,Phare
454,236,9,Lighthouse
455,237,5,"Repaire Rocket d'Acajou"
456,237,9,"Team Rocket HQ"
457,238,5,Doublon-Tunnel
458,238,9,"Goldenrod Tunnel"
459,239,5,"Grotte Argentée"
460,239,9,"Mt. Silver Cave"
461,241,5,"Dôme Pokéathlon"
462,241,9,"Pokéathlon Dome"
463,242,5,Aquaria
464,242,9,"S.S. Aqua"
465,243,5,"Portail Safari"
466,243,9,"Safari Zone Gate"
467,244,5,"Grotte Falaise"
468,244,9,"Cliff Cave"
469,245,5,"Atrium Combat"
470,245,9,"Frontier Access"
471,246,5,"Sentier Carillon"
472,246,9,"Bellchime Trail"
473,247,5,"Ruines Sinjoh"
474,247,9,"Sinjoh Ruins"
475,248,5,"Tour Enfouie"
476,248,9,"Embedded Tower"
477,249,5,Pokéwalker
478,249,9,Pokéwalker
479,250,5,"Portail Falaise"
480,250,9,"Cliff Edge Gate"
481,252,5,"Tour Radio"
482,252,9,"Radio Tower"
483,253,5,"Couple Pension"
484,253,9,"Day-Care Couple"
485,254,5,"Echange Link"
486,254,9,"Link trade (arrive)"
487,255,5,"Echange Link"
488,255,9,"Link trade (met)"
489,256,5,Kanto
490,256,9,Kanto
491,257,5,Johto
492,257,9,Johto
493,258,5,Hoenn
494,258,9,Hoenn
495,259,5,Sinnoh
496,259,9,Sinnoh
497,260,5,"Pays lointain"
498,260,9,"Distant land"
499,261,5,"un voyageur"
500,261,9,"Traveling Man"
501,262,5,Armand
502,262,9,Riley
503,263,5,Cynthia
504,263,9,Cynthia
505,264,5,"Endroit mystér."
506,264,9,"Mystery Zone"
507,265,5,"Endroit superbe"
508,265,9,"Lovely place"
509,266,5,"Pokémon Ranger"
510,266,9,"Pokémon Ranger"
511,267,5,"Endroit lointain"
512,267,9,"Faraway place"
513,268,5,"Film Pokémon"
514,268,9,"Pokémon Movie"
515,269,5,"Film Pokémon 06"
516,269,9,"Pokémon Movie 06"
517,270,5,"Film Pokémon 07"
518,270,9,"Pokémon Movie 07"
519,271,5,"Film Pokémon 08"
520,271,9,"Pokémon Movie 08"
521,272,5,"Film Pokémon 09"
522,272,9,"Pokémon Movie 09"
523,273,5,"Film Pokémon 10"
524,273,9,"Pokémon Movie 10"
525,274,5,"Film Pokémon 11"
526,274,9,"Pokémon Movie 11"
527,275,5,"Film Pokémon 12"
528,275,9,"Pokémon Movie 12"
529,276,5,"Film Pokémon 13"
530,276,9,"Pokémon Movie 13"
531,277,5,"Film Pokémon 14"
532,277,9,"Pokémon Movie 14"
533,278,5,"Film Pokémon 15"
534,278,9,"Pokémon Movie 15"
535,279,5,"Film Pokémon 16"
536,279,9,"Pokémon Movie 16"
537,280,5,"Dessin ani. PKMN"
538,280,9,"Pokémon Cartoon"
539,281,5,"Space World"
540,281,9,"Space World"
541,282,5,"Space World 06"
542,282,9,"Space World 06"
543,283,5,"Space World 07"
544,283,9,"Space World 07"
545,284,5,"Space World 08"
546,284,9,"Space World 08"
547,285,5,"Space World 09"
548,285,9,"Space World 09"
549,286,5,"Space World 10"
550,286,9,"Space World 10"
551,287,5,"Space World 11"
552,287,9,"Space World 11"
553,288,5,"Space World 12"
554,288,9,"Space World 12"
555,289,5,"Space World 13"
556,289,9,"Space World 13"
557,290,5,"Space World 14"
558,290,9,"Space World 14"
559,291,5,"Space World 15"
560,291,9,"Space World 15"
561,292,5,"Space World 16"
562,292,9,"Space World 16"
563,293,5,"Pokémon Festa"
564,293,9,"Pokémon Festa"
565,294,5,"Pokémon Festa 06"
566,294,9,"Pokémon Festa 06"
567,295,5,"Pokémon Festa 07"
568,295,9,"Pokémon Festa 07"
569,296,5,"Pokémon Festa 08"
570,296,9,"Pokémon Festa 08"
571,297,5,"Pokémon Festa 09"
572,297,9,"Pokémon Festa 09"
573,298,5,"Pokémon Festa 10"
574,298,9,"Pokémon Festa 10"
575,299,5,"Pokémon Festa 11"
576,299,9,"Pokémon Festa 11"
577,300,5,"Pokémon Festa 12"
578,300,9,"Pokémon Festa 12"
579,301,5,"Pokémon Festa 13"
580,301,9,"Pokémon Festa 13"
581,302,5,"Pokémon Festa 14"
582,302,9,"Pokémon Festa 14"
583,303,5,"Pokémon Festa 15"
584,303,9,"Pokémon Festa 15"
585,304,5,"Pokémon Festa 16"
586,304,9,"Pokémon Festa 16"
587,305,5,POKéPARK
588,305,9,POKéPARK
589,306,5,"POKéPARK 06"
590,306,9,"POKéPARK 06"
591,307,5,"POKéPARK 07"
592,307,9,"POKéPARK 07"
593,308,5,"POKéPARK 08"
594,308,9,"POKéPARK 08"
595,309,5,"POKéPARK 09"
596,309,9,"POKéPARK 09"
597,310,5,"POKéPARK 10"
598,310,9,"POKéPARK 10"
599,311,5,"POKéPARK 11"
600,311,9,"POKéPARK 11"
601,312,5,"POKéPARK 12"
602,312,9,"POKéPARK 12"
603,313,5,"POKéPARK 13"
604,313,9,"POKéPARK 13"
605,314,5,"POKéPARK 14"
606,314,9,"POKéPARK 14"
607,315,5,"POKéPARK 15"
608,315,9,"POKéPARK 15"
609,316,5,"POKéPARK 16"
610,316,9,"POKéPARK 16"
611,317,5,"Centre Pokémon"
612,317,9,"Pokémon Center"
613,318,5,"CP Tokyo"
614,318,9,"PC Tokyo"
615,319,5,"CP Osaka"
616,319,9,"PC Osaka"
617,320,5,"CP Fukuoka"
618,320,9,"PC Fukuoka"
619,321,5,"CP Nagoya"
620,321,9,"PC Nagoya"
621,322,5,"CP Sapporo"
622,322,9,"PC Sapporo"
623,323,5,"CP Yokohama"
624,323,9,"PC Yokohama"
625,324,5,"Nintendo World"
626,324,9,"Nintendo World"
627,325,5,"Evénem. Pokémon"
628,325,9,"Pokémon Event"
629,326,5,"Evén. Pokémon 06"
630,326,9,"Pokémon Event 06"
631,327,5,"Evén. Pokémon 07"
632,327,9,"Pokémon Event 07"
633,328,5,"Evén. Pokémon 08"
634,328,9,"Pokémon Event 08"
635,329,5,"Evén. Pokémon 09"
636,329,9,"Pokémon Event 09"
637,330,5,"Evén. Pokémon 10"
638,330,9,"Pokémon Event 10"
639,331,5,"Evén. Pokémon 11"
640,331,9,"Pokémon Event 11"
641,332,5,"Evén. Pokémon 12"
642,332,9,"Pokémon Event 12"
643,333,5,"Evén. Pokémon 13"
644,333,9,"Pokémon Event 13"
645,334,5,"Evén. Pokémon 14"
646,334,9,"Pokémon Event 14"
647,335,5,"Evén. Pokémon 15"
648,335,9,"Pokémon Event 15"
649,336,5,"Evén. Pokémon 16"
650,336,9,"Pokémon Event 16"
651,337,5,"Evénement Wi-Fi"
652,337,9,"Wi-Fi Event"
653,338,5,"Cadeau Wi-Fi"
654,338,9,"Wi-Fi Gift"
655,339,5,"Fan Club Pokémon"
656,339,9,"Pokémon Fan Club"
657,340,5,"Lieu d'Evénement"
658,340,9,"Event Site"
659,341,5,"Evénem. Concert"
660,341,9,"Concert Event"
661,342,5,"M. Pokémon"
662,342,9,"Mr. Pokémon"
663,343,5,Castor
664,343,9,Primo
665,344,1,なぞの場所
666,344,5,"Endroit Mystérieux"
667,344,9,"Mystery Zone"
668,345,1,遠い場所
669,345,5,"Endroit Lointain"
670,345,9,"Faraway place"
671,346,1,カノコタウン
672,346,5,Renouet
673,346,9,"Nuvema Town"
674,347,1,カラクサタウン
675,347,5,Arabelle
676,347,9,"Accumula Town"
677,348,1,サンヨウシティ
678,348,5,Ogoesse
679,348,9,"Striaton City"
680,349,1,シッポウシティ
681,349,5,Maillard
682,349,9,"Nacrene City"
683,350,1,ヒウンシティ
684,350,5,Volucité
685,350,9,"Castelia City"
686,351,1,ライモンシティ
687,351,5,Méanville
688,351,9,"Nimbasa City"
689,352,1,ホドモエシティ
690,352,5,"Port Yoneuve"
691,352,9,"Driftveil City"
692,353,1,フキヨセシティ
693,353,5,Parsemille
694,353,9,"Mistralton City"
695,354,1,セッカシティ
696,354,5,Flocombe
697,354,9,"Icirrus City"
698,355,1,ソウリュウシティ
699,355,5,Janusia
700,355,9,"Opelucid City"
701,356,1,１番道路
702,356,5,"Route 1"
703,356,9,"Route 1"
704,357,1,２番道路
705,357,5,"Route 2"
706,357,9,"Route 2"
707,358,1,３番道路
708,358,5,"Route 3"
709,358,9,"Route 3"
710,359,1,４番道路
711,359,5,"Route 4"
712,359,9,"Route 4"
713,360,1,５番道路
714,360,5,"Route 5"
715,360,9,"Route 5"
716,361,1,６番道路
717,361,5,"Route 6"
718,361,9,"Route 6"
719,362,1,７番道路
720,362,5,"Route 7"
721,362,9,"Route 7"
722,363,1,８番道路
723,363,5,"Route 8"
724,363,9,"Route 8"
725,364,1,９番道路
726,364,5,"Route 9"
727,364,9,"Route 9"
728,365,1,１０番道路
729,365,5,"Route 10"
730,365,9,"Route 10"
731,366,1,１１番道路
732,366,5,"Route 11"
733,366,9,"Route 11"
734,367,1,１２番道路
735,367,5,"Route 12"
736,367,9,"Route 12"
737,368,1,１３番道路
738,368,5,"Route 13"
739,368,9,"Route 13"
740,369,1,１４番道路
741,369,5,"Route 14"
742,369,9,"Route 14"
743,370,1,１５番道路
744,370,5,"Route 15"
745,370,9,"Route 15"
746,371,1,１６番道路
747,371,5,"Route 16"
748,371,9,"Route 16"
749,372,1,１７番水道
750,372,5,"Chenal 17"
751,372,9,"Route 17"
752,373,1,１８番道路
753,373,5,"Route 18"
754,373,9,"Route 18"
755,374,1,夢の跡地
756,374,5,"Vestiges du Rêve"
757,374,9,Dreamyard
758,375,1,ヤグルマの森
759,375,5,"Forêt d'Empoigne"
760,375,9,"Pinwheel Forest"
761,376,1,リゾートデザート
762,376,5,"Désert Délassant"
763,376,9,"Desert Resort"
764,377,1,古代の城
765,377,5,"Château Enfoui"
766,377,9,"Relic Castle"
767,378,1,冷凍コンテナ
768,378,5,"Hangar Frigorifique"
769,378,9,"Cold Storage"
770,379,1,電気石の洞穴
771,379,5,"Grotte Électrolithe"
772,379,9,"Chargestone Cave"
773,380,1,ネジ山
774,380,5,"Mont Foré"
775,380,9,"Twist Mountain"
776,381,1,リュウラセンの塔
777,381,5,"Tour Dragospire"
778,381,9,"Dragonspiral Tower"
779,382,1,チャンピオンロード
780,382,5,"Route Victoire"
781,382,9,"Victory Road"
782,383,1,カゴメタウン
783,383,5,Entrelasque
784,383,9,"Lacunosa Town"
785,384,1,サザナミタウン
786,384,5,Vaguelone
787,384,9,"Undella Town"
788,385,1,カナワタウン
789,385,5,Rotombourg
790,385,9,"Anville Town"
791,386,1,ポケモンリーグ
792,386,5,"Ligue Pokémon"
793,386,9,"Pokémon League"
794,387,1,Ｎの城
795,387,5,"Palais de N"
796,387,9,"N's Castle"
797,388,1,ロイヤルイッシュ号
798,388,5,"L'Étoile d'Unys"
799,388,9,"Royal Unova"
800,389,1,ギアステーション
801,389,5,"Engrenage du Métro"
802,389,9,"Gear Station"
803,390,1,バトルサブウェイ
804,390,5,"Métro de Combat"
805,390,9,"Battle Subway"
806,391,1,ミュージカルホール
807,391,5,Music-Hall
808,391,9,"Musical Theater"
809,392,1,ブラックシティ
810,392,5,"Ville Noire"
811,392,9,"Black City"
812,393,1,ホワイトフォレスト
813,393,5,"Forêt Blanche"
814,393,9,"White Forest"
815,394,1,ユナイテッドタワー
816,394,5,"Tour Union"
817,394,9,"Unity Tower"
818,395,1,地下水脈の穴
819,395,5,"Veine Souterraine"
820,395,9,"Wellspring Cave"
821,396,1,フキヨセの洞穴
822,396,5,"Grotte Parsemille"
823,396,9,"Mistralton Cave"
824,397,1,思索の原
825,397,5,"Clairière Réflexion"
826,397,9,"Rumination Field"
827,398,1,タワーオブヘブン
828,398,5,"Tour des Cieux"
829,398,9,"Celestial Tower"
830,399,1,セッカの湿原
831,399,5,"Tourbière Flocombe"
832,399,9,"Moor of Icirrus"
833,400,1,ショッピングモール
834,400,5,"Centre Commercial"
835,400,9,"Shopping Mall"
836,401,1,修行の岩屋
837,401,5,"Antre d'Entraînement"
838,401,9,"Challenger's Cave"
839,402,1,シフトファクトリー
840,402,5,"Laboratoire Fret"
841,402,9,"Poké Transfer Lab"
842,403,1,ジャイアントホール
843,403,5,"Grotte Cyclopéenne"
844,403,9,"Giant Chasm"
845,404,1,リバティガーデン島
846,404,5,"Île Liberté"
847,404,9,"Liberty Garden"
848,405,1,Ｐ２ラボ
849,405,5,"Labo P2"
850,405,9,"P2 Laboratory"
851,406,1,スカイアローブリッジ
852,406,5,"Pont Sagiciel"
853,406,9,"Skyarrow Bridge"
854,407,1,ホドモエの跳ね橋
855,407,5,"Pont Yoneuve"
856,407,9,"Driftveil Drawbridge"
857,408,1,シリンダーブリッジ
858,408,5,"Pont Ferroviaire"
859,408,9,"Tubeline Bridge"
860,409,1,ビレッジブリッジ
861,409,5,"Pont du Hameau"
862,409,9,"Village Bridge"
863,410,1,ワンダーブリッジ
864,410,5,"Pont de l'Inconnu"
865,410,9,"Marvelous Bridge"
866,411,1,ハイリンク
867,411,5,Heylink
868,411,9,Entralink
869,412,1,ほうじょうの社
870,412,5,"Autel Abondance"
871,412,9,"Abundant Shrine"
872,413,1,サザナミ湾
873,413,5,"Baie Vaguelone"
874,413,9,"Undella Bay"
875,414,1,迷いの森
876,414,5,"Bois des Illusions"
877,414,9,"Lostlorn Forest"
878,415,1,試練の室
879,415,5,"Salle Épreuve"
880,415,9,"Trial Chamber"
881,416,1,導の間
882,416,5,"Espace Guide"
883,416,9,"Guidance Chamber"
884,417,1,ハイリンクの森
885,417,5,"Forêt du Heylink"
886,417,9,"Entree Forest"
887,418,1,カラクサゲート
888,418,5,"Porte Arabelle"
889,418,9,"Accumula Gate"
890,419,1,サザナミゲート
891,419,5,"Porte Vaguelone"
892,419,9,"Undella Gate"
893,420,1,シッポウゲート
894,420,5,"Porte Maillard"
895,420,9,"Nacrene Gate"
896,421,1,ヒウンゲート
897,421,5,"Porte Volucité"
898,421,9,"Castelia Gate"
899,422,1,ライモンゲート
900,422,5,"Porte Méanville"
901,422,9,"Nimbasa Gate"
902,423,1,ソウリュウゲート
903,423,5,"Porte Janusia"
904,423,9,"Opelucid Gate"
905,424,1,ブラックゲート
906,424,5,"Porte Noire"
907,424,9,"Black Gate"
908,425,1,ホワイトゲート
909,425,5,"Porte Blanche"
910,425,9,"White Gate"
911,426,1,ブリッジゲート
912,426,5,"Porte de Pont"
913,426,9,"Bridge Gate"
914,427,1,ロードゲート
915,427,5,"Porte de Route"
916,427,9,"Route Gate"
917,428,1,海底遺跡
918,428,5,"Ruines des Abysses"
