id,species_id,area_id,base_score,rate
127,127,1,70,20
128,128,2,70,20
129,129,4,30,50
130,130,4,90,3
131,131,5,90,3
132,132,2,70,20
133,133,2,90,3
134,134,2,90,3
135,135,2,90,3
136,136,2,90,3
137,137,2,80,10
138,138,5,50,30
139,139,5,70,20
140,140,5,50,30
141,141,5,70,20
142,142,3,70,20
143,143,2,80,10
144,144,3,90,3
145,145,3,90,3
146,146,3,90,3
147,147,4,70,20
148,148,4,80,10
149,149,3,90,3
150,150,2,90,3
151,151,1,100,1
152,152,2,50,30
153,153,2,80,10
154,154,2,90,3
155,155,2,50,30
156,156,2,80,10
157,157,2,90,3
158,158,4,50,30
159,159,4,80,10
160,160,3,90,3
161,161,2,30,50
162,162,2,50,30
163,163,1,30,50
164,164,1,50,30
165,165,2,30,50
166,166,2,50,30
167,167,2,30,50
168,168,2,50,30
169,169,3,90,3
170,170,5,50,30
171,171,5,70,20
172,172,2,80,10
173,173,2,80,10
174,174,2,80,10
175,175,2,80,10
176,176,2,90,3
177,177,1,50,30
178,178,1,70,20
179,179,2,50,30
180,180,2,70,20
181,181,2,80,10
182,182,1,80,10
183,183,4,50,30
184,184,4,70,20
185,185,3,70,20
186,186,4,80,10
187,187,2,50,30
188,188,2,70,20
189,189,2,80,10
190,190,1,70,20
191,191,2,50,30
192,192,2,70,20
193,193,2,80,10
194,194,4,50,30
195,195,4,70,20
196,196,2,90,3
197,197,2,90,3
198,198,1,70,20
199,199,4,80,10
200,200,1,70,20
201,201,1,70,20
202,202,2,80,10
203,203,2,70,20
204,204,1,50,30
205,205,1,70,20
206,206,1,90,3
207,207,3,50,30
208,208,3,90,3
209,209,2,50,30
210,210,2,70,20
211,211,5,80,10
212,212,2,90,3
213,213,5,80,10
214,214,1,80,10
215,215,3,50,30
216,216,1,50,30
217,217,1,70,20
218,218,3,50,30
219,219,3,70,20
220,220,3,50,30
221,221,3,70,20
222,222,5,70,20
223,223,5,50,30
224,224,5,70,20
225,225,3,70,20
226,226,5,70,20
227,227,3,70,20
228,228,3,50,30
229,229,3,70,20
230,230,5,80,10
231,231,3,50,30
232,232,3,70,20
233,233,2,80,10
234,234,2,50,30
235,235,2,80,10
236,236,3,80,10
237,237,3,80,10
238,238,2,80,10
239,239,3,80,10
240,240,3,80,10
241,241,2,70,20
242,242,2,90,3
243,243,3,90,3
244,244,3,90,3
245,245,3,90,3
246,246,3,70,20
247,247,3,80,10
248,248,3,90,3
249,249,3,90,3
250,250,3,90,3
251,251,1,100,1
252,252,1,50,30
253,253,1,80,10
254,254,1,90,3
255,255,2,50,30
256,256,2,80,10
257,257,2,90,3
258,258,4,50,30
259,259,4,80,10
260,260,4,90,3
261,261,2,30,50
262,262,2,50,30
263,263,2,30,50
264,264,2,50,30
265,265,1,30,50
266,266,1,50,30
267,267,1,70,20
268,268,1,50,30
269,269,1,70,20
270,270,4,30,50
271,271,4,50,30
272,272,4,80,10
273,273,1,30,50
274,274,1,50,30
275,275,1,80,10
276,276,2,30,50
277,277,2,50,30
278,278,5,30,50
279,279,5,50,30
280,280,2,50,30
281,281,2,70,20
282,282,2,80,10
283,283,4,50,30
284,284,4,70,20
285,285,1,50,30
286,286,1,70,20
287,287,1,50,30
288,288,1,70,20
289,289,1,80,10
290,290,1,50,30
291,291,1,70,20
292,292,1,80,10
293,293,3,50,30
294,294,3,70,20
295,295,3,80,10
296,296,3,50,30
297,297,3,70,20
298,298,4,80,10
299,299,3,70,20
300,300,2,50,30
301,301,2,70,20
302,302,3,70,20
303,303,3,70,20
304,304,3,50,30
305,305,3,70,20
306,306,3,80,10
307,307,3,50,30
308,308,3,70,20
309,309,2,50,30
310,310,2,70,20
311,311,2,90,3
312,312,2,90,3
313,313,3,70,20
314,314,3,70,20
315,315,2,70,20
316,316,1,50,30
317,317,1,70,20
318,318,5,50,30
319,319,5,70,20
320,320,5,50,30
321,321,5,80,10
322,322,3,50,30
323,323,3,70,20
324,324,3,70,20
325,325,2,50,30
326,326,2,70,20
327,327,2,50,30
328,328,3,50,30
329,329,3,70,20
330,330,3,80,10
331,331,3,50,30
332,332,3,70,20
333,333,2,50,30
334,334,2,80,10
335,335,2,70,20
336,336,1,70,20
337,337,3,70,20
338,338,3,70,20
339,339,4,50,30
340,340,4,70,20
341,341,4,50,30
342,342,4,70,20
343,343,3,50,30
344,344,3,70,20
345,345,5,70,20
346,346,5,80,10
347,347,5,70,20
348,348,5,80,10
349,349,5,70,20
350,350,5,90,3
351,351,2,80,10
352,352,1,70,20
353,353,1,50,30
354,354,1,70,20
355,355,1,50,30
356,356,1,70,20
357,357,1,70,20
358,358,3,80,10
359,359,3,80,10
360,360,2,80,10
361,361,3,50,30
362,362,3,70,20
363,363,5,50,30
364,364,5,70,20
365,365,5,80,10
366,366,5,50,30
367,367,5,80,10
368,368,5,80,10
369,369,5,80,10
370,370,5,50,30
371,371,3,50,30
372,372,3,70,20
373,373,3,80,10
374,374,3,70,20
375,375,3,80,10
376,376,3,90,3
377,377,3,90,3
378,378,3,90,3
379,379,3,90,3
380,380,2,90,3
381,381,2,90,3
382,382,5,90,3
383,383,3,90,3
384,384,2,90,3
385,385,3,100,1
386,386,3,100,1
387,387,1,50,30
388,388,1,80,10
389,389,1,90,3
390,390,2,50,30
391,391,2,80,10
392,392,2,90,3
393,393,4,50,30
394,394,4,80,10
395,395,4,90,3
396,396,2,30,50
397,397,2,50,30
398,398,2,70,20
399,399,2,30,50
400,400,2,50,30
401,401,1,50,30
402,402,1,70,20
403,403,2,50,30
404,404,2,70,20
405,405,2,80,10
406,406,2,80,10
407,407,2,80,10
408,408,3,70,20
409,409,3,80,10
410,410,3,70,20
411,411,3,80,10
412,412,1,50,30
413,413,1,70,20
414,414,1,70,20
415,415,1,50,30
416,416,1,70,20
417,417,1,50,30
418,418,1,70,20
419,419,3,70,20
420,420,3,80,10
421,421,2,90,3
422,422,5,50,30
423,423,5,70,20
424,424,4,50,30
425,425,4,70,20
426,426,1,80,10
427,427,2,50,30
428,428,2,70,20
429,429,1,80,10
430,430,1,80,10
431,431,2,50,30
432,432,2,70,20
433,433,2,70,20
434,434,3,80,10
435,435,3,50,30
436,436,3,70,20
437,437,3,80,10
438,438,2,90,3
439,439,2,90,3
440,440,2,50,30
441,441,2,70,20
442,442,2,80,10
443,443,3,50,30
444,444,3,70,20
445,445,4,50,30
446,446,4,70,20
447,447,2,70,20
448,448,2,50,30
449,449,2,70,20
450,450,5,80,10
451,451,5,50,30
452,452,5,70,20
453,453,1,90,3
454,454,3,50,30
455,455,3,70,20
456,456,3,80,10
457,457,3,90,3
458,458,3,90,3
459,459,3,50,30
460,460,3,70,20
461,461,3,80,10
462,462,3,80,10
463,463,2,80,10
464,464,3,80,10
465,465,1,80,10
466,466,3,80,10
467,467,3,80,10
468,468,2,80,10
469,469,2,80,10
470,470,2,90,3
471,471,2,90,3
472,472,3,80,10
473,473,3,80,10
474,474,2,80,10
475,475,2,80,10
476,476,3,80,10
477,477,1,80,10
478,478,3,80,10
479,479,2,90,3
480,480,2,90,3
481,481,2,90,3
482,482,2,90,3
483,483,3,90,3
484,484,3,90,3
485,485,3,90,3
486,486,3,90,3
487,487,3,90,3
488,488,1,90,3
489,489,5,90,3
490,490,5,100,1
491,491,3,100,1
492,492,2,100,1
493,493,3,100,1
