id,pokemon_id,type_id,slot
226,159,11,1
227,160,11,1
228,161,1,1
229,162,1,1
230,163,1,1
231,163,3,2
232,164,1,1
233,164,3,2
234,165,7,1
235,165,3,2
236,166,7,1
237,166,3,2
238,167,7,1
239,167,4,2
240,168,7,1
241,168,4,2
242,169,4,1
243,169,3,2
244,170,11,1
245,170,13,2
246,171,11,1
247,171,13,2
248,172,13,1
249,173,18,1
250,174,1,1
251,174,18,2
252,175,18,1
253,176,18,1
254,176,3,2
255,177,14,1
256,177,3,2
257,178,14,1
258,178,3,2
259,179,13,1
260,180,13,1
261,181,13,1
262,182,12,1
263,183,11,1
264,183,18,2
265,184,11,1
266,184,18,2
267,185,6,1
268,186,11,1
269,187,12,1
270,187,3,2
271,188,12,1
272,188,3,2
273,189,12,1
274,189,3,2
275,190,1,1
276,191,12,1
277,192,12,1
278,193,7,1
279,193,3,2
280,194,11,1
281,194,5,2
282,195,11,1
283,195,5,2
284,196,14,1
285,197,17,1
286,198,17,1
287,198,3,2
288,199,11,1
289,199,14,2
290,200,8,1
291,201,14,1
292,202,14,1
293,203,1,1
294,203,14,2
295,204,7,1
296,205,7,1
297,205,9,2
298,206,1,1
299,207,5,1
300,207,3,2
301,208,9,1
302,208,5,2
303,209,18,1
304,210,18,1
305,211,11,1
306,211,4,2
307,212,7,1
308,212,9,2
309,213,7,1
310,213,6,2
311,214,7,1
312,214,2,2
313,215,17,1
314,215,15,2
315,216,1,1
316,217,1,1
317,218,10,1
318,219,10,1
319,219,6,2
320,220,15,1
321,220,5,2
322,221,15,1
323,221,5,2
324,222,11,1
325,222,6,2
326,223,11,1
327,224,11,1
328,225,15,1
329,225,3,2
330,226,11,1
331,226,3,2
332,227,9,1
333,227,3,2
334,228,17,1
335,228,10,2
336,229,17,1
337,229,10,2
338,230,11,1
339,230,16,2
340,231,5,1
341,232,5,1
342,233,1,1
343,234,1,1
344,235,1,1
345,236,2,1
346,237,2,1
347,238,15,1
348,238,14,2
349,239,13,1
350,240,10,1
351,241,1,1
352,242,1,1
353,243,13,1
354,244,10,1
355,245,11,1
356,246,6,1
357,246,5,2
358,247,6,1
359,247,5,2
360,248,6,1
361,248,17,2
362,249,14,1
363,249,3,2
364,250,10,1
365,250,3,2
366,251,14,1
367,251,12,2
368,252,12,1
369,253,12,1
370,254,12,1
371,255,10,1
372,256,10,1
373,256,2,2
374,257,10,1
375,257,2,2
376,258,11,1
377,259,11,1
378,259,5,2
379,260,11,1
380,260,5,2
381,261,17,1
382,262,17,1
383,263,1,1
384,264,1,1
385,265,7,1
386,266,7,1
387,267,7,1
388,267,3,2
389,268,7,1
390,269,7,1
391,269,4,2
392,270,11,1
393,270,12,2
394,271,11,1
395,271,12,2
396,272,11,1
397,272,12,2
398,273,12,1
399,274,12,1
400,274,17,2
401,275,12,1
402,275,17,2
403,276,1,1
404,276,3,2
405,277,1,1
406,277,3,2
407,278,11,1
408,278,3,2
409,279,11,1
410,279,3,2
411,280,14,1
412,280,18,2
413,281,14,1
414,281,18,2
415,282,14,1
416,282,18,2
417,283,7,1
418,283,11,2
419,284,7,1
420,284,3,2
421,285,12,1
422,286,12,1
423,286,2,2
424,287,1,1
425,288,1,1
426,289,1,1
427,290,7,1
428,290,5,2
429,291,7,1
430,291,3,2
431,292,7,1
432,292,8,2
433,293,1,1
434,294,1,1
435,295,1,1
436,296,2,1
437,297,2,1
438,298,1,1
439,298,18,2
440,299,6,1
441,300,1,1
442,301,1,1
443,302,17,1
444,302,8,2
445,303,9,1
446,303,18,2
447,304,9,1
448,304,6,2
449,305,9,1
450,305,6,2
451,306,9,1
452,306,6,2
453,307,2,1
454,307,14,2
455,308,2,1
456,308,14,2
457,309,13,1
458,310,13,1
459,311,13,1
460,312,13,1
461,313,7,1
462,314,7,1
463,315,12,1
464,315,4,2
465,316,4,1
466,317,4,1
467,318,11,1
468,318,17,2
469,319,11,1
470,319,17,2
471,320,11,1
472,321,11,1
473,322,10,1
474,322,5,2
475,323,10,1
476,323,5,2
477,324,10,1
478,325,14,1
479,326,14,1
480,327,1,1
481,328,5,1
482,329,5,1
483,329,16,2
484,330,5,1
485,330,16,2
486,331,12,1
487,332,12,1
488,332,17,2
489,333,1,1
490,333,3,2
491,334,16,1
492,334,3,2
493,335,1,1
494,336,4,1
495,337,6,1
496,337,14,2
497,338,6,1
498,338,14,2
499,339,11,1
500,339,5,2
501,340,11,1
502,340,5,2
503,341,11,1
504,342,11,1
505,342,17,2
506,343,5,1
507,343,14,2
508,344,5,1
509,344,14,2
510,345,6,1
511,345,12,2
512,346,6,1
513,346,12,2
514,347,6,1
515,347,7,2
516,348,6,1
517,348,7,2
518,349,11,1
519,350,11,1
520,351,1,1
521,352,1,1
522,353,8,1
523,354,8,1
524,355,8,1
525,356,8,1
526,357,12,1
527,357,3,2
528,358,14,1
529,359,17,1
530,360,14,1
531,361,15,1
532,362,15,1
533,363,15,1
534,363,11,2
535,364,15,1
536,364,11,2
537,365,15,1
538,365,11,2
539,366,11,1
540,367,11,1
541,368,11,1
542,369,11,1
543,369,6,2
544,370,11,1
545,371,16,1
546,372,16,1
547,373,16,1
548,373,3,2
549,374,9,1
550,374,14,2
551,375,9,1
552,375,14,2
553,376,9,1
554,376,14,2
555,377,6,1
556,378,15,1
557,379,9,1
558,380,16,1
559,380,14,2
560,381,16,1
561,381,14,2
562,382,11,1
563,383,5,1
564,384,16,1
565,384,3,2
566,385,9,1
567,385,14,2
568,386,14,1
569,387,12,1
570,388,12,1
571,389,12,1
572,389,5,2
573,390,10,1
574,391,10,1
575,391,2,2
576,392,10,1
577,392,2,2
578,393,11,1
579,394,11,1
580,395,11,1
581,395,9,2
582,396,1,1
583,396,3,2
584,397,1,1
585,397,3,2
586,398,1,1
587,398,3,2
588,399,1,1
589,400,1,1
590,400,11,2
591,401,7,1
592,402,7,1
593,403,13,1
594,404,13,1
595,405,13,1
596,406,12,1
597,406,4,2
598,407,12,1
599,407,4,2
600,408,6,1
601,409,6,1
602,410,6,1
603,410,9,2
604,411,6,1
605,411,9,2
606,412,7,1
607,413,7,1
608,413,12,2
609,414,7,1
610,414,3,2
611,415,7,1
612,415,3,2
613,416,7,1
614,416,3,2
615,417,13,1
616,418,11,1
617,419,11,1
618,420,12,1
619,421,12,1
620,422,11,1
621,423,11,1
622,423,5,2
623,424,1,1
624,425,8,1
625,425,3,2
626,426,8,1
627,426,3,2
628,427,1,1
629,428,1,1
630,429,8,1
631,430,17,1
632,430,3,2
633,431,1,1
634,432,1,1
635,433,14,1
636,434,4,1
637,434,17,2
638,435,4,1
639,435,17,2
640,436,9,1
641,436,14,2
642,437,9,1
643,437,14,2
644,438,6,1
645,439,14,1
646,439,18,2
647,440,1,1
648,441,1,1
649,441,3,2
650,442,8,1
651,442,17,2
652,443,16,1
653,443,5,2
654,444,16,1
655,444,5,2
656,445,16,1
657,445,5,2
658,446,1,1
659,447,2,1
660,448,2,1
661,448,9,2
662,449,5,1
663,450,5,1
664,451,4,1
665,451,7,2
666,452,4,1
667,452,17,2
668,453,4,1
669,453,2,2
670,454,4,1
671,454,2,2
672,455,12,1
673,456,11,1
674,457,11,1
675,458,11,1
676,458,3,2
677,459,12,1
678,459,15,2
679,460,12,1
680,460,15,2
681,461,17,1
682,461,15,2
683,462,13,1
684,462,9,2
685,463,1,1
686,464,5,1
687,464,6,2
688,465,12,1
689,466,13,1
690,467,10,1
691,468,18,1
692,468,3,2
693,469,7,1
694,469,3,2
695,470,12,1
696,471,15,1
697,472,5,1
698,472,3,2
699,473,15,1
700,473,5,2
701,474,1,1
702,475,14,1
703,475,2,2
704,476,6,1
705,476,9,2
706,477,8,1
707,478,15,1
708,478,8,2
709,479,13,1
710,479,8,2
711,480,14,1
712,481,14,1
713,482,14,1
714,483,9,1
715,483,16,2
716,484,11,1
717,484,16,2
718,485,10,1
719,485,9,2
720,486,1,1
721,487,8,1
722,487,16,2
723,488,14,1
724,489,11,1
725,490,11,1
726,491,17,1
727,492,12,1
728,493,1,1
729,494,14,1
730,494,10,2
731,495,12,1
732,496,12,1
733,497,12,1
734,498,10,1
735,499,10,1
736,499,2,2
737,500,10,1
738,500,2,2
739,501,11,1
740,502,11,1
741,503,11,1
742,504,1,1
743,505,1,1
744,506,1,1
745,507,1,1
746,508,1,1
747,509,17,1
748,510,17,1
749,511,12,1
750,512,12,1
751,513,10,1
752,514,10,1
753,515,11,1
754,516,11,1
755,517,14,1
756,518,14,1
757,519,1,1
758,519,3,2
759,520,1,1
760,520,3,2
761,521,1,1
762,521,3,2
763,522,13,1
764,523,13,1
765,524,6,1
766,525,6,1
767,526,6,1
768,527,14,1
769,527,3,2
770,528,14,1
771,528,3,2
772,529,5,1
773,530,5,1
774,530,9,2
775,531,1,1
776,532,2,1
777,533,2,1
778,534,2,1
779,535,11,1
780,536,11,1
781,536,5,2
782,537,11,1
783,537,5,2
784,538,2,1
785,539,2,1
786,540,7,1
787,540,12,2
788,541,7,1
789,541,12,2
790,542,7,1
791,542,12,2
792,543,7,1
793,543,4,2
794,544,7,1
795,544,4,2
796,545,7,1
797,545,4,2
798,546,12,1
799,546,18,2
800,547,12,1
801,547,18,2
802,548,12,1
803,549,12,1
804,550,11,1
805,551,5,1
806,551,17,2
807,552,5,1
808,552,17,2
809,553,5,1
810,553,17,2
811,554,10,1
812,555,10,1
813,556,12,1
814,557,7,1
815,557,6,2
816,558,7,1
817,558,6,2
818,559,17,1
819,559,2,2
820,560,17,1
821,560,2,2
822,561,14,1
823,561,3,2
824,562,8,1
825,563,8,1
826,564,11,1
827,564,6,2
828,565,11,1
829,565,6,2
830,566,6,1
831,566,3,2
832,567,6,1
833,567,3,2
834,568,4,1
835,569,4,1
836,570,17,1
837,571,17,1
838,572,1,1
839,573,1,1
840,574,14,1
841,575,14,1
842,576,14,1
843,577,14,1
844,578,14,1
845,579,14,1
846,580,11,1
847,580,3,2
848,581,11,1
849,581,3,2
850,582,15,1
851,583,15,1
852,584,15,1
853,585,1,1
854,585,12,2
855,586,1,1
856,586,12,2
857,587,13,1
858,587,3,2
859,588,7,1
860,589,7,1
861,589,9,2
862,590,12,1
863,590,4,2
864,591,12,1
865,591,4,2
866,592,11,1
867,592,8,2
868,593,11,1
869,593,8,2
870,594,11,1
871,595,7,1
872,595,13,2
873,596,7,1
874,596,13,2
875,597,12,1
876,597,9,2
877,598,12,1
878,598,9,2
879,599,9,1
880,600,9,1
881,601,9,1
882,602,13,1
883,603,13,1
884,604,13,1
885,605,14,1
886,606,14,1
887,607,8,1
888,607,10,2
889,608,8,1
890,608,10,2
891,609,8,1
892,609,10,2
893,610,16,1
894,611,16,1
895,612,16,1
896,613,15,1
897,614,15,1
898,615,15,1
899,616,7,1
900,617,7,1
901,618,5,1
902,618,13,2
903,619,2,1
904,620,2,1
905,621,16,1
906,622,5,1
907,622,8,2
908,623,5,1
909,623,8,2
910,624,17,1
911,624,9,2
912,625,17,1
913,625,9,2
914,626,1,1
915,627,1,1
916,627,3,2
917,628,1,1
918,628,3,2
919,629,17,1
920,629,3,2
921,630,17,1
922,630,3,2
923,631,10,1
924,632,7,1
925,632,9,2
926,633,17,1
927,633,16,2
928,634,17,1
929,634,16,2
930,635,17,1
931,635,16,2
932,636,7,1
933,636,10,2
934,637,7,1
935,637,10,2
936,638,9,1
937,638,2,2
938,639,6,1
939,639,2,2
940,640,12,1
941,640,2,2
942,641,3,1
943,642,13,1
944,642,3,2
945,643,16,1
946,643,10,2
947,644,16,1
948,644,13,2
949,645,5,1
950,645,3,2
951,646,16,1
952,646,15,2
953,647,11,1
954,647,2,2
955,648,1,1
956,648,14,2
957,649,7,1
958,649,9,2
959,650,12,1
960,651,12,1
961,652,12,1
962,652,2,2
963,653,10,1
964,654,10,1
965,655,10,1
966,655,14,2
967,656,11,1
968,657,11,1
969,658,11,1
970,658,17,2
971,659,1,1
972,660,1,1
973,660,5,2
974,661,1,1
975,661,3,2
976,662,10,1
977,662,3,2
978,663,10,1
979,663,3,2
980,664,7,1
981,665,7,1
982,666,7,1
983,666,3,2
984,667,10,1
985,667,1,2
986,668,10,1
987,668,1,2
988,669,18,1
989,670,18,1
990,671,18,1
991,672,12,1
992,673,12,1
993,674,2,1
994,675,2,1
995,675,17,2
996,676,1,1
997,677,14,1
998,678,14,1
999,679,9,1
1000,679,8,2
1001,680,9,1
1002,680,8,2
1003,681,9,1
1004,681,8,2
1005,682,18,1
1006,683,18,1
1007,684,18,1
1008,685,18,1
1009,686,17,1
1010,686,14,2
1011,687,17,1
1012,687,14,2
1013,688,6,1
1014,688,11,2
1015,689,6,1
1016,689,11,2
1017,690,4,1
1018,690,11,2
1019,691,4,1
1020,691,16,2
1021,692,11,1
1022,693,11,1
1023,694,13,1
1024,694,1,2
1025,695,13,1
1026,695,1,2
1027,696,6,1
1028,696,16,2
1029,697,6,1
1030,697,16,2
1031,698,6,1
1032,698,15,2
1033,699,6,1
1034,699,15,2
1035,700,18,1
1036,701,2,1
1037,701,3,2
1038,702,13,1
1039,702,18,2
1040,703,6,1
1041,703,18,2
1042,704,16,1
1043,705,16,1
1044,706,16,1
1045,707,9,1
1046,707,18,2
1047,708,8,1
1048,708,12,2
1049,709,8,1
1050,709,12,2
1051,710,8,1
1052,710,12,2
1053,711,8,1
1054,711,12,2
1055,712,15,1
1056,713,15,1
1057,714,3,1
1058,714,16,2
1059,715,3,1
1060,715,16,2
1061,716,18,1
1062,717,17,1
1063,717,3,2
1064,718,16,1
1065,718,5,2
1066,719,6,1
1067,719,18,2
1068,720,14,1
1069,720,8,2
1070,721,10,1
1071,721,11,2
1072,10001,14,1
1073,10002,14,1
1074,10003,14,1
1075,10004,7,1
1076,10004,5,2
1077,10005,7,1
1078,10005,9,2
1079,10006,12,1
1080,10006,3,2
1081,10007,8,1
1082,10007,16,2
1083,10008,13,1
1084,10008,10,2
1085,10009,13,1
1086,10009,11,2
1087,10010,13,1
1088,10010,15,2
1089,10011,13,1
1090,10011,3,2
1091,10012,13,1
1092,10012,12,2
1093,10013,10,1
1094,10014,11,1
1095,10015,15,1
1096,10016,11,1
1097,10017,10,1
1098,10017,14,2
1099,10018,1,1
1100,10018,2,2
1101,10019,3,1
1102,10020,13,1
1103,10020,3,2
1104,10021,5,1
1105,10021,3,2
1106,10022,16,1
1107,10022,15,2
1108,10023,16,1
1109,10023,15,2
1110,10024,11,1
1111,10024,2,2
1112,10025,14,1
1113,10026,9,1
1114,10026,8,2
1115,10027,8,1
1116,10027,12,2
1117,10028,8,1
1118,10028,12,2
1119,10029,8,1
1120,10029,12,2
1121,10030,8,1
1122,10030,12,2
1123,10031,8,1
1124,10031,12,2
1125,10032,8,1
1126,10032,12,2
1127,10033,12,1
1128,10033,4,2
1129,10034,10,1
1130,10034,16,2
1131,10035,10,1
1132,10035,3,2
1133,10036,11,1
1134,10037,14,1
1135,10038,8,1
1136,10038,4,2
1137,10039,1,1
1138,10040,7,1
1139,10040,3,2
1140,10041,11,1
1141,10041,17,2
1142,10042,6,1
1143,10042,3,2
1144,10043,14,1
1145,10043,2,2
1146,10044,14,1
1147,10045,13,1
1148,10045,16,2
1149,10046,7,1
1150,10046,9,2
1151,10047,7,1
1152,10047,2,2
1153,10048,17,1
1154,10048,10,2
1155,10049,6,1
1156,10049,17,2
1157,10050,10,1
1158,10050,2,2
1159,10051,14,1
1160,10051,18,2
1161,10052,9,1
1162,10052,18,2
1163,10053,9,1
1164,10054,2,1
1165,10054,14,2
1166,10055,13,1
1167,10056,8,1
1168,10057,17,1
1169,10058,16,1
1170,10058,5,2
1171,10059,2,1
1172,10059,9,2
1173,10060,12,1
1174,10060,15,2
1175,10061,18,1
1176,10062,16,1
1177,10062,14,2
1178,10063,16,1
1179,10063,14,2
1180,10064,11,1
1181,10064,5,2
1182,10065,12,1
1183,10065,16,2
1184,10066,17,1
1185,10066,8,2
1186,10067,16,1
1187,10067,18,2
1188,10068,14,1
1189,10068,2,2
1190,10069,1,1
1191,10069,18,2
1192,10070,11,1
1193,10070,17,2
1194,10071,11,1
1195,10071,14,2
1196,10072,9,1
1197,10072,5,2
1198,10073,1,1
1199,10073,3,2
1200,10074,15,1
1201,10075,6,1
1202,10075,18,2
1203,10076,9,1
1204,10076,14,2
1205,10077,11,1
1206,10078,5,1
1207,10078,10,2
1208,10079,16,1
1209,10079,3,2
1210,10080,13,1
1211,10081,13,1
1212,10082,13,1
1213,10083,13,1
1214,10084,13,1
1215,10085,13,1
1216,10086,14,1
1217,10086,17,2
1218,10087,10,1
1219,10087,5,2
1220,10088,1,1
1221,10088,2,2
1222,10089,16,1
1223,10089,3,2
1224,10090,7,1
1225,10090,4,2
