id,item_id,local_language_id,name
110,16,7,"Gloria Ball"
111,16,8,"Pregio Ball"
112,16,9,"Cherish Ball"
113,17,1,キズぐすり
114,17,3,상처약
115,17,5,Potion
116,17,6,Trank
117,17,7,Poción
118,17,8,Pozione
119,17,9,Potion
120,18,1,どくけし
121,18,3,해독제
122,18,5,Antidote
123,18,6,Gegengift
124,18,7,Antídoto
125,18,8,Antidoto
126,18,9,Antidote
127,19,1,やけどなおし
128,19,3,화상치료제
129,19,5,Anti-Brûle
130,19,6,Feuerheiler
131,19,7,Antiquemar
132,19,8,Antiscottatura
133,19,9,"Burn Heal"
134,20,1,こおりなおし
135,20,3,얼음상태치료제
136,20,5,Antigel
137,20,6,Eisheiler
138,20,7,Antihielo
139,20,8,Antigelo
140,20,9,"Ice Heal"
141,21,1,ねむけざまし
142,21,3,잠깨는약
143,21,5,Réveil
144,21,6,Aufwecker
145,21,7,Despertar
146,21,8,Sveglia
147,21,9,Awakening
148,22,1,まひなおし
149,22,3,마비치료제
150,22,5,Anti-Para
151,22,6,Para-Heiler
152,22,7,Antiparalizador
153,22,8,Antiparalisi
154,22,9,"Paralyze Heal"
155,23,1,かいふくのくすり
156,23,3,회복약
157,23,5,Guérison
158,23,6,Top-Genesung
159,23,7,"Restaurar Todo"
160,23,8,"Ricarica Totale"
161,23,9,"Full Restore"
162,24,1,まんたんのくすり
163,24,3,풀회복약
164,24,5,"Potion Max"
165,24,6,Top-Trank
166,24,7,"Poción Máxima"
167,24,8,"Pozione Max"
168,24,9,"Max Potion"
169,25,1,すごいキズぐすり
170,25,3,고급상처약
171,25,5,"Hyper Potion"
172,25,6,Hypertrank
173,25,7,Hiperpoción
174,25,8,Iperpozione
175,25,9,"Hyper Potion"
176,26,1,いいキズぐすり
177,26,3,좋은상처약
178,26,5,"Super Potion"
179,26,6,Supertrank
180,26,7,Superpoción
181,26,8,Superpozione
182,26,9,"Super Potion"
183,27,1,なんでもなおし
184,27,3,만병통치제
185,27,5,"Total Soin"
186,27,6,Hyperheiler
187,27,7,"Cura Total"
188,27,8,"Cura Totale"
189,27,9,"Full Heal"
190,28,1,げんきのかけら
191,28,3,기력의조각
192,28,5,Rappel
193,28,6,Beleber
194,28,7,Revivir
195,28,8,Revitalizzante
196,28,9,Revive
197,29,1,げんきのかたまり
198,29,3,기력의덩어리
199,29,5,"Rappel Max"
200,29,6,Top-Beleber
201,29,7,"Revivir Máximo"
202,29,8,"Revitalizz. Max"
203,29,9,"Max Revive"
204,30,1,おいしいみず
205,30,3,맛있는물
206,30,5,"Eau Fraîche"
207,30,6,Tafelwasser
208,30,7,"Agua Fresca"
209,30,8,"Acqua Fresca"
210,30,9,"Fresh Water"
211,31,1,サイコソーダ
212,31,3,미네랄사이다
213,31,5,"Soda Cool"
214,31,6,Sprudel
215,31,7,Refresco
216,31,8,Gassosa
217,31,9,"Soda Pop"
218,32,1,ミックスオレ
219,32,3,후르츠밀크
220,32,5,Limonade
221,32,6,Limonade
222,32,7,Limonada
223,32,8,Lemonsucco
224,32,9,Lemonade
225,33,1,モーモーミルク
226,33,3,튼튼밀크
227,33,5,"Lait Meumeu"
228,33,6,Kuhmuh-Milch
229,33,7,"Leche Mu-mu"
230,33,8,"Latte Mumu"
231,33,9,"Moomoo Milk"
232,34,1,ちからのこな
233,34,3,힘의가루
234,34,5,Poudrénergie
235,34,6,Energiestaub
236,34,7,"Polvo Energía"
237,34,8,Polvenergia
238,34,9,"Energy Powder"
239,35,1,ちからのねっこ
240,35,3,힘의뿌리
241,35,5,Racinénergie
242,35,6,Kraftwurzel
243,35,7,"Raíz Energía"
244,35,8,Radicenergia
245,35,9,"Energy Root"
246,36,1,ばんのうごな
247,36,3,만능가루
248,36,5,"Poudre Soin"
249,36,6,Heilpuder
250,36,7,"Polvo Curación"
251,36,8,Polvocura
252,36,9,"Heal Powder"
253,37,1,ふっかつそう
254,37,3,부활초
255,37,5,"Herbe Rappel"
256,37,6,Vitalkraut
257,37,7,"Hierba Revivir"
258,37,8,Vitalerba
259,37,9,"Revival Herb"
260,38,1,ピーピーエイド
261,38,3,PP에이드
262,38,5,Huile
263,38,6,Äther
264,38,7,Éter
265,38,8,Etere
266,38,9,Ether
267,39,1,ピーピーリカバー
268,39,3,PP회복
269,39,5,"Huile Max"
270,39,6,Top-Äther
271,39,7,"Éter Máximo"
272,39,8,"Etere Max"
273,39,9,"Max Ether"
274,40,1,ピーピーエイダー
275,40,3,PP에이더
276,40,5,Élixir
277,40,6,Elixier
278,40,7,Elixir
279,40,8,Elisir
280,40,9,Elixir
281,41,1,ピーピーマックス
282,41,3,PP맥스
283,41,5,"Max Élixir"
284,41,6,Top-Elixier
285,41,7,"Elixir Máximo"
286,41,8,"Elisir Max"
287,41,9,"Max Elixir"
288,42,1,フエンせんべい
289,42,3,용암전병
290,42,5,"Lava Cookie"
291,42,6,Lavakeks
292,42,7,"Galleta Lava"
293,42,8,Lavottino
294,42,9,"Lava Cookie"
295,43,1,きのみジュース
296,43,3,나무열매쥬스
297,43,5,"Jus de Baie"
298,43,6,Beerensaft
299,43,7,"Zumo de Baya"
300,43,8,Succodibacca
301,43,9,"Berry Juice"
302,44,1,せいなるはい
303,44,3,성스러운분말
304,44,5,"Cendre Sacrée"
305,44,6,Zauberasche
306,44,7,"Ceniza Sagrada"
307,44,8,Ceneremagica
308,44,9,"Sacred Ash"
309,45,1,マックスアップ
310,45,3,맥스업
311,45,5,"PV Plus"
312,45,6,KP-Plus
313,45,7,"Más PS"
314,45,8,PS-Su
315,45,9,"HP Up"
316,46,1,タウリン
317,46,3,타우린
318,46,5,Protéine
319,46,6,Protein
320,46,7,Proteína
321,46,8,Proteina
322,46,9,Protein
323,47,1,ブロムヘキシン
324,47,3,사포닌
325,47,5,Fer
326,47,6,Eisen
327,47,7,Hierro
328,47,8,Ferro
329,47,9,Iron
330,48,1,インドメタシン
331,48,3,알칼로이드
332,48,5,Carbone
333,48,6,Carbon
334,48,7,Carburante
335,48,8,Carburante
336,48,9,Carbos
337,49,1,リゾチウム
338,49,3,리보플라빈
339,49,5,Calcium
340,49,6,Kalzium
341,49,7,Calcio
342,49,8,Calcio
343,49,9,Calcium
344,50,1,ふしぎなアメ
345,50,3,이상한사탕
346,50,5,"Super Bonbon"
347,50,6,Sonderbonbon
348,50,7,"Caramelo Raro"
349,50,8,"Caramella Rara"
350,50,9,"Rare Candy"
351,51,1,ポイントアップ
352,51,3,포인트업
353,51,5,"PP Plus"
354,51,6,AP-Plus
355,51,7,"Más PP"
356,51,8,PP-Su
357,51,9,"PP Up"
358,52,1,キトサン
359,52,3,키토산
360,52,5,Zinc
361,52,6,Zink
362,52,7,Zinc
363,52,8,Zinco
364,52,9,Zinc
365,53,1,ポイントマックス
366,53,3,포인트맥스
367,53,5,"PP Max"
368,53,6,AP-Top
369,53,7,"PP Máximos"
370,53,8,PP-Max
371,53,9,"PP Max"
372,54,1,もりのヨウカン
373,54,3,숲의양갱
374,54,5,"Vieux Gâteau"
375,54,6,Spezialität
376,54,7,"Barrita Plus"
377,54,8,"Dolce Gateau"
378,54,9,"Old Gateau"
379,55,1,エフェクトガード
380,55,3,이펙트가드
381,55,5,"Défense Spéciale"
382,55,6,Megablock
383,55,7,"Protec. Especial"
384,55,8,Superguardia
385,55,9,"Guard Spec."
386,56,1,クリティカット
387,56,3,크리티컬커터
388,56,5,"Muscle +"
389,56,6,Angriffplus
390,56,7,Directo
391,56,8,Supercolpo
392,56,9,"Dire Hit"
393,57,1,プラスパワー
394,57,3,플러스파워
395,57,5,"Attaque +"
396,57,6,X-Angriff
397,57,7,"Ataque X"
398,57,8,"Attacco X"
399,57,9,"X Attack"
400,58,1,ディフェンダー
401,58,3,디펜드업
402,58,5,"Défense +"
403,58,6,X-Abwehr
404,58,7,"Defensa X"
405,58,8,"Difesa X"
406,58,9,"X Defense"
407,59,1,スピーダー
408,59,3,스피드업
409,59,5,"Vitesse +"
410,59,6,X-Tempo
411,59,7,"Velocidad X"
412,59,8,"Velocità X"
413,59,9,"X Speed"
414,60,1,ヨクアタール
415,60,3,잘-맞히기
416,60,5,"Précision +"
417,60,6,X-Treffer
418,60,7,"Precisión X"
419,60,8,"Precisione X"
420,60,9,"X Accuracy"
421,61,1,スペシャルアップ
422,61,3,스페셜업
423,61,5,"Spécial +"
424,61,6,X-Spezial
425,61,7,"Especial X"
426,61,8,"Special X"
427,61,9,"X Sp. Atk"
428,62,1,スペシャルガード
429,62,3,스페셜가드
430,62,5,"Déf. Spé. +"
431,62,6,X-SpezialVer
432,62,7,"Def. Especial X"
433,62,8,"Dif. Speciale X"
434,62,9,"X Sp. Def"
435,63,1,ピッピにんぎょう
436,63,3,삐삐인형
437,63,5,Poképoupée
438,63,6,Poképuppe
439,63,7,"Poké Muñeco"
440,63,8,"Poké Bambola"
441,63,9,"Poké Doll"
442,64,1,エネコのシッポ
443,64,3,에나비꼬리
444,64,5,"Queue Skitty"
445,64,6,Eneco-Rute
446,64,7,"Cola Skitty"
447,64,8,"Coda Skitty"
448,64,9,"Fluffy Tail"
449,65,1,あおいビードロ
450,65,3,파랑비드로
451,65,5,"Flûte Bleue"
452,65,6,"Blaue Flöte"
453,65,7,"Flauta Azul"
454,65,8,"Flauto Blu"
455,65,9,"Blue Flute"
456,66,1,きいろビードロ
457,66,3,노랑비드로
458,66,5,"Flûte Jaune"
459,66,6,"Gelbe Flöte"
460,66,7,"Flauta Amarilla"
461,66,8,"Flauto Giallo"
462,66,9,"Yellow Flute"
463,67,1,あかいビードロ
464,67,3,빨강비드로
465,67,5,"Flûte Rouge"
466,67,6,"Rote Flöte"
467,67,7,"Flauta Roja"
468,67,8,"Flauto Rosso"
469,67,9,"Red Flute"
470,68,1,くろいビードロ
471,68,3,검정비드로
472,68,5,"Flûte Noire"
473,68,6,"Schw. Flöte"
474,68,7,"Flauta Negra"
475,68,8,"Flauto Nero"
476,68,9,"Black Flute"
477,69,1,しろいビードロ
478,69,3,하양비드로
479,69,5,"Flûte Blanche"
480,69,6,"Weiße Flöte"
481,69,7,"Flauta Blanca"
482,69,8,"Flauto Bianco"
483,69,9,"White Flute"
484,70,1,あさせのしお
485,70,3,여울소금
486,70,5,"Sel Tréfonds"
487,70,6,Küstensalz
488,70,7,"Sal Cardumen"
489,70,8,"Sale Ondoso"
490,70,9,"Shoal Salt"
491,71,1,あさせのかいがら
492,71,3,여울조개껍질
493,71,5,CoquilleTréfonds
494,71,6,Küstenschale
495,71,7,"Concha Cardumen"
496,71,8,Gusciondoso
497,71,9,"Shoal Shell"
498,72,1,あかいかけら
499,72,3,빨강조각
500,72,5,"Tesson Rouge"
501,72,6,Purpurstück
502,72,7,"Parte Roja"
503,72,8,"Coccio Rosso"
504,72,9,"Red Shard"
505,73,1,あおいかけら
506,73,3,파랑조각
507,73,5,"Tesson Bleu"
508,73,6,Indigostück
509,73,7,"Parte Azul"
510,73,8,"Coccio Blu"
511,73,9,"Blue Shard"
512,74,1,きいろいかけら
513,74,3,노랑조각
514,74,5,"Tesson Jaune"
515,74,6,Gelbstück
516,74,7,"Parte Amarilla"
517,74,8,"Coccio Giallo"
518,74,9,"Yellow Shard"
519,75,1,みどりのかけら
520,75,3,초록조각
521,75,5,"Tesson Vert"
522,75,6,Grünstück
523,75,7,"Parte Verde"
524,75,8,"Coccio Verde"
525,75,9,"Green Shard"
526,76,1,シルバースプレー
527,76,3,실버스프레이
528,76,5,Superepousse
529,76,6,Superschutz
530,76,7,Superrepelente
531,76,8,Superrepellente
532,76,9,"Super Repel"
533,77,1,ゴールドスプレー
534,77,3,골드스프레이
535,77,5,"Max Repousse"
536,77,6,Top-Schutz
537,77,7,"Repelente Máximo"
538,77,8,"Repellente Max"
539,77,9,"Max Repel"
540,78,1,あなぬけのヒモ
541,78,3,동굴탈출로프
542,78,5,"Corde Sortie"
543,78,6,Fluchtseil
544,78,7,"Cuerda Huida"
545,78,8,"Fune di Fuga"
546,78,9,"Escape Rope"
547,79,1,むしよけスプレー
548,79,3,벌레회피스프레이
549,79,5,Repousse
550,79,6,Schutz
551,79,7,Repelente
552,79,8,Repellente
553,79,9,Repel
554,80,1,たいようのいし
555,80,3,태양의돌
556,80,5,"Pierre Soleil"
557,80,6,Sonnenstein
558,80,7,"Piedra Solar"
559,80,8,Pietrasolare
560,80,9,"Sun Stone"
561,81,1,つきのいし
562,81,3,달의돌
563,81,5,"Pierre Lune"
564,81,6,Mondstein
565,81,7,"Piedra Lunar"
566,81,8,Pietralunare
567,81,9,"Moon Stone"
568,82,1,ほのおのいし
569,82,3,불꽃의돌
570,82,5,"Pierre Feu"
571,82,6,Feuerstein
572,82,7,"Piedra Fuego"
573,82,8,Pietrafocaia
574,82,9,"Fire Stone"
575,83,1,かみなりのいし
576,83,3,천둥의돌
577,83,5,"Pierre Foudre"
578,83,6,Donnerstein
579,83,7,"Piedra Trueno"
580,83,8,Pietratuono
581,83,9,"Thunder Stone"
582,84,1,みずのいし
583,84,3,물의돌
584,84,5,"Pierre Eau"
585,84,6,Wasserstein
586,84,7,"Piedra Agua"
587,84,8,Pietraidrica
588,84,9,"Water Stone"
589,85,1,リーフのいし
590,85,3,리프의돌
591,85,5,"Pierre Plante"
592,85,6,Blattstein
593,85,7,"Piedra Hoja"
594,85,8,Pietrafoglia
595,85,9,"Leaf Stone"
596,86,1,ちいさなキノコ
597,86,3,작은버섯
598,86,5,"Petit Champi"
599,86,6,Minipilz
600,86,7,"Mini Seta"
601,86,8,Minifungo
602,86,9,"Tiny Mushroom"
603,87,1,おおきなキノコ
604,87,3,큰버섯
605,87,5,"Gros Champi"
606,87,6,Riesenpilz
607,87,7,"Seta Grande"
608,87,8,"Grande Fungo"
609,87,9,"Big Mushroom"
610,88,1,しんじゅ
611,88,3,진주
612,88,5,Perle
613,88,6,Perle
614,88,7,Perla
615,88,8,Perla
616,88,9,Pearl
617,89,1,おおきなしんじゅ
618,89,3,큰진주
619,89,5,"Grande Perle"
620,89,6,Riesenperle
621,89,7,"Perla Grande"
622,89,8,"Grande Perla"
623,89,9,"Big Pearl"
624,90,1,ほしのすな
625,90,3,별의모래
626,90,5,"Poussière Étoile"
627,90,6,Sternenstaub
628,90,7,Polvoestelar
629,90,8,Polvostella
630,90,9,Stardust
631,91,1,ほしのかけら
632,91,3,별의조각
633,91,5,"Morceau d'Étoile"
634,91,6,Sternenstück
635,91,7,"Trozo Estrella"
636,91,8,"Pezzo Stella"
637,91,9,"Star Piece"
638,92,1,きんのたま
639,92,3,금구슬
640,92,5,Pépite
641,92,6,Nugget
642,92,7,Pepita
643,92,8,Pepita
644,92,9,Nugget
645,93,1,ハートのウロコ
646,93,3,하트비늘
647,93,5,"Écaille Cœur"
648,93,6,Herzschuppe
649,93,7,"Escama Corazón"
650,93,8,"Squama Cuore"
651,93,9,"Heart Scale"
652,94,1,あまいミツ
653,94,3,달콤한꿀
654,94,5,Miel
655,94,6,Honig
656,94,7,Miel
657,94,8,Miele
658,94,9,Honey
659,95,1,すくすくこやし
660,95,3,무럭무럭비료
661,95,5,Fertipousse
662,95,6,Wachsmulch
663,95,7,"Abono Rápido"
664,95,8,Fertilrapido
665,95,9,"Growth Mulch"
666,96,1,じめじめこやし
667,96,3,축축이비료
668,96,5,Fertihumide
669,96,6,Feuchtmulch
670,96,7,"Abono Lento"
671,96,8,Fertilidro
672,96,9,"Damp Mulch"
673,97,1,ながながこやし
674,97,3,오래오래비료
675,97,5,Fertistable
676,97,6,Stabilmulch
677,97,7,"Abono Fijador"
678,97,8,Fertilsaldo
679,97,9,"Stable Mulch"
680,98,1,ねばねばこやし
681,98,3,끈적끈적비료
682,98,5,Fertiglu
683,98,6,Neumulch
684,98,7,"Abono Brote"
685,98,8,Fertilcolla
686,98,9,"Gooey Mulch"
687,99,1,ねっこのカセキ
688,99,3,뿌리화석
689,99,5,"Fossile Racine"
690,99,6,Wurzelfossil
691,99,7,"Fósil Raíz"
692,99,8,Radifossile
693,99,9,"Root Fossil"
694,100,1,ツメのカセキ
695,100,3,발톱화석
696,100,5,"Fossile Griffe"
697,100,6,Klauenfossil
698,100,7,"Fósil Garra"
699,100,8,Fossilunghia
700,100,9,"Claw Fossil"
701,101,1,かいのカセキ
702,101,3,조개화석
703,101,5,Nautile
704,101,6,Helixfossil
705,101,7,"Fósil Hélix"
706,101,8,Helixfossile
707,101,9,"Helix Fossil"
708,102,1,こうらのカセキ
709,102,3,껍질화석
710,102,5,"Fossile Dôme"
711,102,6,Domfossil
712,102,7,"Fósil Domo"
713,102,8,Domofossile
714,102,9,"Dome Fossil"
715,103,1,ひみつのコハク
716,103,3,비밀의호박
717,103,5,"Vieil Ambre"
718,103,6,Altbernstein
719,103,7,"Ámbar Viejo"
720,103,8,"Ambra Antica"
721,103,9,"Old Amber"
722,104,1,たてのカセキ
723,104,3,방패의화석
724,104,5,"Fossile Armure"
725,104,6,Panzerfossil
726,104,7,"Fósil Coraza"
727,104,8,Fossilscudo
728,104,9,"Armor Fossil"
729,105,1,ずがいのカセキ
730,105,3,두개의화석
731,105,5,"Fossile Crâne"
732,105,6,Kopffossil
733,105,7,"Fósil Cráneo"
734,105,8,Fossilcranio
735,105,9,"Skull Fossil"
736,106,1,きちょうなホネ
737,106,3,귀중한뼈
738,106,5,"Os Rare"
739,106,6,Steinknochen
740,106,7,"Hueso Raro"
741,106,8,"Osso Raro"
742,106,9,"Rare Bone"
743,107,1,ひかりのいし
744,107,3,빛의돌
745,107,5,"Pierre Éclat"
746,107,6,Leuchtstein
747,107,7,"Piedra Día"
748,107,8,Pietrabrillo
749,107,9,"Shiny Stone"
750,108,1,やみのいし
751,108,3,어둠의돌
752,108,5,"Pierre Nuit"
753,108,6,Finsterstein
754,108,7,"Piedra Noche"
755,108,8,Neropietra
756,108,9,"Dusk Stone"
757,109,1,めざめいし
758,109,3,각성의돌
759,109,5,"Pierre Aube"
760,109,6,Funkelstein
761,109,7,"Piedra Alba"
762,109,8,Pietralbore
763,109,9,"Dawn Stone"
764,110,1,まんまるいし
765,110,3,동글동글돌
766,110,5,"Pierre Ovale"
767,110,6,"Ovaler Stein"
768,110,7,"Piedra Oval"
769,110,8,Pietraovale
770,110,9,"Oval Stone"
771,111,1,かなめいし
772,111,3,쐐기돌
773,111,5,"Clé de Voûte"
774,111,6,Spiritkern
775,111,7,"Piedra Espíritu"
776,111,8,Roccianima
777,111,9,"Odd Keystone"
778,112,1,こんごうだま
779,112,3,금강옥
780,112,5,"Orbe Adamant"
781,112,6,Adamant-Orb
782,112,7,Diamansfera
783,112,8,Adamasfera
784,112,9,"Adamant Orb"
785,113,1,しらたま
786,113,3,백옥
787,113,5,"Orbe Perlé"
788,113,6,Weiß-Orb
789,113,7,Lustresfera
790,113,8,Splendisfera
791,113,9,"Lustrous Orb"
792,114,1,グラスメール
793,114,5,"Lettre Herbe"
794,114,6,Wiesenbrief
795,114,7,"Carta Hierba"
796,114,8,"Mess. Erba"
797,114,9,"Grass Mail"
798,115,1,フレイムメール
799,115,5,"Lettre Feu"
800,115,6,Feuerbrief
801,115,7,"Carta Fuego"
802,115,8,"Mess. Fiamma"
803,115,9,"Flame Mail"
804,116,1,ブルーメール
805,116,5,"Lettre Mer"
806,116,6,Wasserbrief
807,116,7,"Carta Pompas"
808,116,8,"Mess. Bolla"
809,116,9,"Bubble Mail"
810,117,1,ブルームメール
811,117,5,"Lett. Pétale"
812,117,6,Blütenbrief
813,117,7,"Carta Flores"
814,117,8,"Mess. Petalo"
815,117,9,"Bloom Mail"
816,118,1,トンネルメール
817,118,5,"Lettre Mine"
818,118,6,Minenbrief
819,118,7,"Carta Mina"
820,118,8,"Mess. Tunnel"
821,118,9,"Tunnel Mail"
822,119,1,スチールメール
823,119,5,"Lettre Acier"
824,119,6,Stahlbrief
825,119,7,"Carta Acero"
826,119,8,"Mess. Lega"
827,119,9,"Steel Mail"
828,120,1,ラブラブメール
829,120,5,"Lettre Coeur"
830,120,6,Rosabrief
831,120,7,"Car. Corazón"
832,120,8,"Mess. Cuore"
833,120,9,"Heart Mail"
834,121,1,ブリザードメール
835,121,5,"Lettre Neige"
836,121,6,Schneebrief
837,121,7,"Carta Nieve"
838,121,8,"Mess. Neve"
839,121,9,"Snow Mail"
840,122,1,スペースメール
841,122,5,"Lettre Cosmo"
842,122,6,Sternbrief
843,122,7,"Car. Sideral"
844,122,8,"Mess. Spazio"
845,122,9,"Space Mail"
846,123,1,エアメール
847,123,5,"Lettre Avion"
848,123,6,Luftbrief
849,123,7,"Carta Aérea"
850,123,8,"Mess. Aereo"
851,123,9,"Air Mail"
852,124,1,モザイクメール
853,124,5,Lettremosaïk
854,124,6,Mosaikbrief
855,124,7,"Car. Mosaico"
856,124,8,"Mess. Iride"
857,124,9,"Mosaic Mail"
858,125,1,ブリックメール
859,125,5,"Lettre Brik"
860,125,6,Ziegelbrief
861,125,7,"Carta Pared"
862,125,8,"Mess. Muro"
863,125,9,"Brick Mail"
864,126,1,クラボのみ
865,126,3,버치열매
866,126,5,"Baie Ceriz"
867,126,6,Amrenabeere
868,126,7,"Baya Zreza"
869,126,8,Baccaliegia
870,126,9,"Cheri Berry"
871,127,1,カゴのみ
872,127,3,유루열매
873,127,5,"Baie Maron"
874,127,6,Maronbeere
875,127,7,"Baya Atania"
876,127,8,Baccastagna
877,127,9,"Chesto Berry"
878,128,1,モモンのみ
879,128,3,복슝열매
880,128,5,"Baie Pêcha"
881,128,6,Pirsifbeere
882,128,7,"Baya Meloc"
883,128,8,Baccapesca
884,128,9,"Pecha Berry"
885,129,1,チーゴのみ
886,129,3,복분열매
887,129,5,"Baie Fraive"
888,129,6,Fragiabeere
889,129,7,"Baya Safre"
890,129,8,Baccafrago
891,129,9,"Rawst Berry"
892,130,1,ナナシのみ
893,130,3,배리열매
894,130,5,"Baie Willia"
895,130,6,Wilbirbeere
896,130,7,"Baya Perasi"
897,130,8,Baccaperina
898,130,9,"Aspear Berry"
899,131,1,ヒメリのみ
900,131,3,과사열매
901,131,5,"Baie Mepo"
902,131,6,Jonagobeere
903,131,7,"Baya Zanama"
904,131,8,Baccamela
905,131,9,"Leppa Berry"
906,132,1,オレンのみ
907,132,3,오랭열매
908,132,5,"Baie Oran"
909,132,6,Sinelbeere
910,132,7,"Baya Aranja"
911,132,8,Baccarancia
912,132,9,"Oran Berry"
913,133,1,キーのみ
914,133,3,시몬열매
915,133,5,"Baie Kika"
916,133,6,Persimbeere
917,133,7,"Baya Caquic"
918,133,8,Baccaki
919,133,9,"Persim Berry"
920,134,1,ラムのみ
921,134,3,리샘열매
922,134,5,"Baie Prine"
923,134,6,Prunusbeere
924,134,7,"Baya Ziuela"
925,134,8,Baccaprugna
926,134,9,"Lum Berry"
927,135,1,オボンのみ
928,135,3,자뭉열매
929,135,5,"Baie Sitrus"
930,135,6,Tsitrubeere
931,135,7,"Baya Zidra"
932,135,8,Baccacedro
933,135,9,"Sitrus Berry"
934,136,1,フィラのみ
935,136,3,무화열매
936,136,5,"Baie Figuy"
937,136,6,Giefebeere
938,136,7,"Baya Higog"
939,136,8,Baccafico
940,136,9,"Figy Berry"
941,137,1,ウイのみ
942,137,3,위키열매
943,137,5,"Baie Wiki"
944,137,6,Wikibeere
945,137,7,"Baya Wiki"
946,137,8,Baccakiwi
947,137,9,"Wiki Berry"
948,138,1,マゴのみ
949,138,3,마고열매
950,138,5,"Baie Mago"
951,138,6,Magobeere
952,138,7,"Baya Ango"
953,138,8,Baccamango
954,138,9,"Mago Berry"
955,139,1,バンジのみ
956,139,3,아바열매
957,139,5,"Baie Gowav"
958,139,6,Gauvebeere
959,139,7,"Baya Guaya"
960,139,8,Baccaguava
961,139,9,"Aguav Berry"
962,140,1,イアのみ
963,140,3,파야열매
964,140,5,"Baie Papaya"
965,140,6,Yapabeere
966,140,7,"Baya Pabaya"
967,140,8,Baccapaia
968,140,9,"Iapapa Berry"
969,141,1,ズリのみ
970,141,3,라즈열매
971,141,5,"Baie Framby"
972,141,6,Himmihbeere
973,141,7,"Baya Frambu"
974,141,8,Baccalampon
975,141,9,"Razz Berry"
976,142,1,ブリーのみ
977,142,3,블리열매
978,142,5,"Baie Remu"
979,142,6,Morbbeere
980,142,7,"Baya Oram"
981,142,8,Baccamora
982,142,9,"Bluk Berry"
983,143,1,ナナのみ
984,143,3,나나열매
985,143,5,"Baie Nanab"
986,143,6,Nanabbeere
987,143,7,"Baya Latano"
988,143,8,Baccabana
989,143,9,"Nanab Berry"
990,144,1,セシナのみ
991,144,3,서배열매
992,144,5,"Baie Repoi"
993,144,6,Nirbebeere
994,144,7,"Baya Peragu"
995,144,8,Baccapera
996,144,9,"Wepear Berry"
997,145,1,パイルのみ
998,145,3,파인열매
