id,ability_id,version_group_id,language_id,flavor_text
85,4,15,1,"あいての　こうげきが
きゅうしょに　あたらない。"
86,4,15,3,"상대의 공격이
급소에 맞지 않는다."
87,4,15,5,"Le Pokémon est protégé des
coups critiques."
88,4,15,6,"Wehrt gegnerische Volltreffer ab."
89,4,15,7,"Bloquea golpes críticos."
90,4,15,8,"Evita che il Pokémon subisca
brutti colpi."
91,4,15,9,"Protects the Pokémon
from critical hits."
92,4,15,11,"相手の　攻撃が
急所に　当たらない。"
93,4,16,1,"あいての　こうげきが
きゅうしょに　あたらない。"
94,4,16,3,"상대의 공격이
급소에 맞지 않는다."
95,4,16,5,"Le Pokémon est protégé des
coups critiques."
96,4,16,6,"Wehrt gegnerische Volltreffer ab."
97,4,16,7,"Bloquea los golpes críticos."
98,4,16,8,"Evita che il Pokémon subisca
brutti colpi."
99,4,16,9,"Protects the Pokémon
from critical hits."
100,4,16,11,"相手の　攻撃が
急所に　当たらない。"
101,5,5,9,"Negates 1-hit KO attacks."
102,5,6,9,"Negates 1-hit KO attacks."
103,5,7,9,"Negates 1-hit KO attacks."
104,5,8,9,"The Pokémon is protected
against 1-hit KO attacks."
105,5,9,9,"The Pokémon is protected
against 1-hit KO attacks."
106,5,10,9,"It is protected against
1-hit KO attacks."
107,5,11,5,"Protège des capacités
mettant K.O. en un coup."
108,5,11,9,"It cannot be knocked
out with one hit."
109,5,14,9,"It cannot be knocked
out with one hit."
110,5,15,1,"いちげきで
たおされない。"
111,5,15,3,"일격으로
쓰러지지 않는다."
112,5,15,5,"Protège des capacités mettant
K.O. en un coup."
113,5,15,6,"Bietet Schutz gegen K.O.-Treffer."
114,5,15,7,"Evita que el rival pueda debilitarle
de un solo golpe."
115,5,15,8,"Evita che il Pokémon vada KO
in un sol colpo."
116,5,15,9,"It cannot be knocked
out with one hit."
117,5,15,11,"一撃で　倒されない。
"
118,5,16,1,"いちげきで
たおされない。"
119,5,16,3,"일격으로
쓰러지지 않는다."
120,5,16,5,"Protège des capacités mettant
K.O. en un coup."
121,5,16,6,"Bietet Schutz gegen K.O.-Treffer."
122,5,16,7,"Evita que el rival pueda debilitarle
de un solo golpe."
123,5,16,8,"Evita che il Pokémon vada KO
in un sol colpo."
124,5,16,9,"It cannot be knocked
out with one hit."
125,5,16,11,"一撃で　倒されない。
"
126,6,5,9,"Prevents self-destruction."
127,6,6,9,"Prevents self-destruction."
128,6,7,9,"Prevents self-destruction."
129,6,8,9,"Prevents combatants from
self destructing."
130,6,9,9,"Prevents combatants from
self destructing."
131,6,10,9,"Prevents combatants
from self-destructing."
132,6,11,5,"Empêche les combattants
de s’autodétruire."
133,6,11,9,"Prevents the use of
self-destructing moves."
134,6,14,9,"Prevents the use of
self-destructing moves."
135,6,15,1,"だれも　ばくはつが
できなくなる。"
136,6,15,3,"누구도 폭발
할 수 없게 된다."
137,6,15,5,"Empêche les combattants de
s’autodétruire."
138,6,15,6,"Hält alle Pokémon davon ab,
zu explodieren."
139,6,15,7,"Evita que un Pokémon pueda
autodestruirse."
140,6,15,8,"Impedisce le mosse
autodistruttive."
141,6,15,9,"Prevents the use of
self-destructing moves."
142,6,15,11,"だれも　爆発が
できなくなる。"
143,6,16,1,"だれも　ばくはつが
できなくなる。"
144,6,16,3,"누구도 폭발
할 수 없게 된다."
145,6,16,5,"Empêche les combattants de
s’autodétruire."
146,6,16,6,"Hält alle Pokémon davon ab,
zu explodieren."
147,6,16,7,"Evita que un Pokémon pueda
autodestruirse."
148,6,16,8,"Impedisce le mosse
autodistruttive."
149,6,16,9,"Prevents the use of
self-destructing moves."
150,6,16,11,"だれも　爆発が
できなくなる。"
151,7,5,9,"Prevents paralysis."
152,7,6,9,"Prevents paralysis."
153,7,7,9,"Prevents paralysis."
154,7,8,9,"The Pokémon is protected
from paralysis."
155,7,9,9,"The Pokémon is protected
from paralysis."
156,7,10,9,"The Pokémon is protected
from paralysis."
157,7,11,5,"Protège le Pokémon de
la paralysie."
158,7,11,9,"The Pokémon is protected
from paralysis."
159,7,14,9,"The Pokémon is protected
from paralysis."
160,7,15,1,"まひ　じょうたいに
ならない。"
161,7,15,3,"마비 상태가
되지 않는다."
162,7,15,5,"Protège le Pokémon de la
paralysie."
163,7,15,6,"Verhindert Paralyse."
164,7,15,7,"Evita ser paralizado."
165,7,15,8,"Il Pokémon è protetto contro
la paralisi."
166,7,15,9,"Protects the Pokémon
from paralysis."
167,7,15,11,"まひ状態に
ならない。"
168,7,16,1,"まひ　じょうたいに
ならない。"
169,7,16,3,"마비 상태가
되지 않는다."
170,7,16,5,"Protège le Pokémon de la
paralysie."
171,7,16,6,"Verhindert Paralyse."
172,7,16,7,"Evita ser paralizado."
173,7,16,8,"Il Pokémon è protetto contro
la paralisi."
174,7,16,9,"Protects the Pokémon
from paralysis."
175,7,16,11,"まひ状態に
ならない。"
176,8,5,9,"Ups evasion in a sandstorm."
177,8,6,9,"Ups evasion in a sandstorm."
178,8,7,9,"Ups evasion in a sandstorm."
179,8,8,9,"Boosts the Pokémon’s
evasion in a sandstorm."
180,8,9,9,"Boosts the Pokémon’s
evasion in a sandstorm."
181,8,10,9,"Boosts the Pokémon’s
evasion in a sandstorm."
182,8,11,5,"Augmente l’Esquive lors
des tempêtes de sable."
183,8,11,9,"Boosts the Pokémon’s
evasion in a sandstorm."
184,8,14,9,"Boosts the Pokémon’s
evasion in a sandstorm."
185,8,15,1,"すなあらしで
かいひりつが　あがる。"
186,8,15,3,"모래바람으로
회피율이 올라간다."
187,8,15,5,"Augmente l’Esquive lors des
tempêtes de sable."
188,8,15,6,"Erhöht in Sandstürmen
den Fluchtwert."
189,8,15,7,"Aumenta la Evasión en las
tormentas de arena."
190,8,15,8,"L’elusione aumenta durante
le tempeste di sabbia."
191,8,15,9,"Boosts the Pokémon’s
evasion in a sandstorm."
192,8,15,11,"砂あらしで
回避率が　あがる。"
193,8,16,1,"すなあらしで
かいひりつが　あがる。"
194,8,16,3,"모래바람으로
회피율이 올라간다."
195,8,16,5,"Augmente l’Esquive lors des
tempêtes de sable."
196,8,16,6,"Erhöht in Sandstürmen
den Fluchtwert."
197,8,16,7,"Aumenta la Evasión en las
tormentas de arena."
198,8,16,8,"L’elusione aumenta durante
le tempeste di sabbia."
199,8,16,9,"Boosts the Pokémon’s
evasion in a sandstorm."
200,8,16,11,"砂あらしで
回避率が　あがる。"
201,9,5,9,"Paralyzes on contact."
202,9,6,9,"Paralyzes on contact."
203,9,7,9,"Paralyzes on contact."
204,9,8,9,"Contact with the Pokémon
may cause paralysis."
205,9,9,9,"Contact with the Pokémon
may cause paralysis."
206,9,10,9,"Contact with the Pokémon
may cause paralysis."
207,9,11,5,"Un contact avec le
Pokémon peut paralyser."
208,9,11,9,"Contact with the Pokémon
may cause paralysis."
209,9,14,9,"Contact with the Pokémon
may cause paralysis."
210,9,15,1,"さわった　あいてを
まひさせる　ことがある。"
211,9,15,3,"접촉한 상대를
마비시킬 때가 있다."
212,9,15,5,"Un contact avec le Pokémon
peut paralyser."
213,9,15,6,"Kann bei Berührung paralysieren."
214,9,15,7,"Puede paralizar al mínimo
contacto."
215,9,15,8,"Il contatto fisico con il Pokémon
può causare paralisi."
216,9,15,9,"Contact with the Pokémon
may cause paralysis."
217,9,15,11,"触った　相手を
まひさせる　ことがある。"
218,9,16,1,"さわった　あいてを
まひさせる　ことがある。"
219,9,16,3,"접촉한 상대를
마비시킬 때가 있다."
220,9,16,5,"Un contact avec le Pokémon
peut paralyser."
221,9,16,6,"Kann bei Berührung paralysieren."
222,9,16,7,"Puede paralizar al mínimo
contacto."
223,9,16,8,"Il contatto fisico con il Pokémon
può causare paralisi."
224,9,16,9,"Contact with the Pokémon
may cause paralysis."
225,9,16,11,"触った　相手を
まひさせる　ことがある。"
226,10,5,9,"Turns electricity into HP."
227,10,6,9,"Turns electricity into HP."
228,10,7,9,"Turns electricity into HP."
229,10,8,9,"Restores HP if hit by an
Electric-type move."
230,10,9,9,"Restores HP if hit by an
Electric-type move."
231,10,10,9,"Restores HP if hit by an
Electric-type move."
232,10,11,5,"Récupère des PV si touché
par une capacité Électrik."
233,10,11,9,"Restores HP if hit by an
Electric-type move."
234,10,14,9,"Restores HP if hit by an
Electric-type move."
235,10,15,1,"でんきを　うけると
かいふくする。"
236,10,15,3,"전기를 받으면
회복한다."
237,10,15,5,"Récupère des PV si touché par
une capacité Électrik."
238,10,15,6,"Treffer durch Elektro-Attacken
regenerieren KP."
239,10,15,7,"Recupera PS al recibir ataques de
tipo Eléctrico."
240,10,15,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Elettro."
241,10,15,9,"Restores HP if hit by an
Electric-type move."
242,10,15,11,"でんきを　受けると
回復する。"
243,10,16,1,"でんきを　うけると
かいふくする。"
244,10,16,3,"전기를 받으면
회복한다."
245,10,16,5,"Récupère des PV si touché par
une capacité Électrik."
246,10,16,6,"Treffer durch Elektro-Attacken
regenerieren KP."
247,10,16,7,"Recupera PS al recibir ataques de
tipo Eléctrico."
248,10,16,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Elettro."
249,10,16,9,"Restores HP if hit by an
Electric-type move."
250,10,16,11,"でんきを　受けると
回復する。"
251,11,5,9,"Changes water into HP."
252,11,6,9,"Changes water into HP."
253,11,7,9,"Changes water into HP."
254,11,8,9,"Restores HP if hit by a
Water-type move."
255,11,9,9,"Restores HP if hit by a
Water-type move."
256,11,10,9,"Restores HP if hit by a
Water-type move."
257,11,11,5,"Récupère des PV si touché
par une capacité Eau."
258,11,11,9,"Restores HP if hit by a
Water-type move."
259,11,14,9,"Restores HP if hit by a
Water-type move."
260,11,15,1,"みずを　うけると
かいふくする。"
261,11,15,3,"물을 받으면
회복한다."
262,11,15,5,"Récupère des PV si touché par
une capacité Eau."
263,11,15,6,"Treffer durch Wasser-Attacken
regenerieren KP."
264,11,15,7,"Recupera PS al recibir ataques de
tipo Agua."
265,11,15,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Acqua."
266,11,15,9,"Restores HP if hit by a
Water-type move."
267,11,15,11,"みずを　受けると
回復する。"
268,11,16,1," ずを　うけると
かいふくする。"
269,11,16,3,"물을 받으면
회복한다."
270,11,16,5,"Récupère des PV si touché par
une capacité Eau."
271,11,16,6,"Treffer durch Wasser-Attacken
regenerieren KP."
272,11,16,7,"Recupera PS al recibir ataques de
tipo Agua."
273,11,16,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Acqua."
274,11,16,9,"Restores HP if hit by a
Water-type move."
275,11,16,11," ずを　受けると
回復する。"
276,12,5,9,"Prevents attraction."
277,12,6,9,"Prevents attraction."
278,12,7,9,"Prevents attraction."
279,12,8,9,"Prevents the Pokémon
from becoming infatuated."
280,12,9,9,"Prevents the Pokémon
from becoming infatuated."
281,12,10,9,"Prevents it from
becoming infatuated."
282,12,11,5,"Empêche le Pokémon de
tomber amoureux."
283,12,11,9,"Prevents it from
becoming infatuated."
284,12,14,9,"Prevents it from
becoming infatuated."
285,12,15,1,"メロメロや　ちょうはつ
じょうたいに　ならない。"
286,12,15,3,"헤롱헤롱이나 도발 상태가
되지 않는다."
287,12,15,5,"Immunise le Pokémon contre
l’attraction ou la provocation."
288,12,15,6,"Verhindert, dass das Pokémon
betört oder provoziert wird."
289,12,15,7,"Evita que el Pokémon sea
atraído o provocado."
290,12,15,8,"Protegge il Pokémon da
infatuazioni e provocazioni."
291,12,15,9,"Keeps the Pokémon from being
infatuated or falling for taunts."
292,12,15,11,"メロメロや　ちょうはつ
状態に　ならない。"
293,12,16,1,"メロメロや　ちょうはつ
じょうたいに　ならない。"
294,12,16,3,"헤롱헤롱이나 도발 상태가
되지 않는다."
295,12,16,5,"Immunise le Pokémon contre
l’attraction ou la provocation."
296,12,16,6,"Verhindert, dass das Pokémon
betört oder provoziert wird."
297,12,16,7,"Evita que el Pokémon sea
atraído o provocado."
298,12,16,8,"Protegge il Pokémon da
infatuazioni e provocazioni."
299,12,16,9,"Keeps the Pokémon from being
infatuated or falling for taunts."
300,12,16,11,"メロメロや　ちょうはつ
状態に　ならない。"
301,13,5,9,"Negates weather effects."
302,13,6,9,"Negates weather effects."
303,13,7,9,"Negates weather effects."
304,13,8,9,"Eliminates the effects of
weather."
305,13,9,9,"Eliminates the effects of
weather."
306,13,10,9,"Eliminates the effects of
weather."
307,13,11,5,"Annule les effets du
climat."
308,13,11,9,"Eliminates the effects of
weather."
309,13,14,9,"Eliminates the effects of
weather."
310,13,15,1,"てんきの　えいきょうが
なくなる。"
311,13,15,3,"날씨의 영향이
없어진다."
312,13,15,5,"Annule les effets du climat."
313,13,15,6,"Hebt Wetter-Effekte auf."
314,13,15,7,"Anula los efectos del tiempo
atmosférico."
315,13,15,8,"Neutralizza gli effetti delle
condizioni atmosferiche."
316,13,15,9,"Eliminates the effects of
weather."
317,13,15,11,"天気の　影響が
なくなる。"
318,13,16,1,"てんきの　えいきょうが
なくなる。"
319,13,16,3,"날씨의 영향이
없어진다."
320,13,16,5,"Annule les effets du climat."
321,13,16,6,"Hebt Wetter-Effekte auf."
322,13,16,7,"Anula los efectos del tiempo
atmosférico."
323,13,16,8,"Neutralizza gli effetti delle
condizioni atmosferiche."
324,13,16,9,"Eliminates the effects of weather."
325,13,16,11,"天気の　影響が
なくなる。"
326,14,5,9,"Raises accuracy."
327,14,6,9,"Raises accuracy."
328,14,7,9,"Raises accuracy."
329,14,8,9,"The Pokémon’s accuracy is
boosted."
330,14,9,9,"The Pokémon’s accuracy is
boosted."
331,14,10,9,"The Pokémon’s accuracy
is boosted."
332,14,11,5,"Augmente la Précision du
Pokémon."
333,14,11,9,"The Pokémon’s accuracy
is boosted."
334,14,14,9,"The Pokémon’s accuracy
is boosted."
335,14,15,1,"わざの　めいちゅうりつが
あがる。"
336,14,15,3,"기술의 명중률이
올라간다."
337,14,15,5,"Augmente la Précision du
Pokémon."
338,14,15,6,"Steigert die Genauigkeit
von Attacken."
339,14,15,7,"Aumenta la Precisión del
Pokémon."
340,14,15,8,"Aumenta la precisione
del Pokémon."
341,14,15,9,"Boosts the Pokémon’s accuracy."
342,14,15,11,"技の　命中率が
あがる。"
343,14,16,1,"わざの　めいちゅうりつが
あがる。"
344,14,16,3,"기술의 명중률이
올라간다."
345,14,16,5,"Augmente la Précision du
Pokémon."
346,14,16,6,"Steigert die Genauigkeit
von Attacken."
347,14,16,7,"Aumenta la Precisión del
Pokémon."
348,14,16,8,"Aumenta la precisione
del Pokémon."
349,14,16,9,"Boosts the Pokémon’s accuracy."
350,14,16,11,"技の　命中率が
あがる。"
351,15,5,9,"Prevents sleep."
352,15,6,9,"Prevents sleep."
353,15,7,9,"Prevents sleep."
354,15,8,9,"Prevents the Pokémon
from falling asleep."
355,15,9,9,"Prevents the Pokémon
from falling asleep."
356,15,10,9,"Prevents the Pokémon
from falling asleep."
357,15,11,5,"Empêche le Pokémon de
s’endormir."
358,15,11,9,"Prevents the Pokémon
from falling asleep."
359,15,14,9,"Prevents the Pokémon
from falling asleep."
360,15,15,1,"ねむり　じょうたいに
ならない。"
361,15,15,3,"잠듦 상태가
되지 않는다."
362,15,15,5,"Empêche le Pokémon de
s’endormir."
363,15,15,6,"Verhindert Einschlafen."
364,15,15,7,"Evita el quedarse dormido."
365,15,15,8,"Impedisce al Pokémon
di addormentarsi."
366,15,15,9,"Prevents the Pokémon
from falling asleep."
367,15,15,11,"ねむり状態に
ならない。"
368,15,16,1,"ねむり　じょうたいに
ならない。"
369,15,16,3,"잠듦 상태가
되지 않는다."
370,15,16,5,"Empêche le Pokémon de
s’endormir."
371,15,16,6,"Verhindert Einschlafen."
372,15,16,7,"Evita el quedarse dormido."
373,15,16,8,"Impedisce al Pokémon
di addormentarsi."
374,15,16,9,"Prevents the Pokémon
from falling asleep."
375,15,16,11,"ねむり状態に
ならない。"
376,16,5,9,"Changes type to foe’s move."
377,16,6,9,"Changes type to foe’s move."
378,16,7,9,"Changes type to foe’s move."
379,16,8,9,"Changes the Pokémon’s
type to the foe’s move."
380,16,9,9,"Changes the Pokémon’s
type to the foe’s move."
381,16,10,9,"Changes the Pokémon’s
type to the foe’s move."
382,16,11,5,"Le Pokémon adopte le type
de la capacité ennemie."
383,16,11,9,"Changes the Pokémon’s
type to the foe’s move."
384,16,14,9,"Changes the Pokémon’s
type to the foe’s move."
385,16,15,1,"うけた　わざの　タイプに
へんかする。"
386,16,15,3,"받은 기술의 타입으로
변화한다."
387,16,15,5,"Le Pokémon adopte le type de
la capacité ennemie."
388,16,15,6,"Ändert seinen Typ zu dem
der Attacke des Angreifers."
389,16,15,7,"Adopta el tipo del último
movimiento del que sea blanco."
390,16,15,8,"Il Pokémon acquisisce il tipo
della mossa subita."
391,16,15,9,"The Pokémon’s type becomes
the type of the move used on it."
392,16,15,11,"受けた　技の　タイプに
変化する。"
393,16,16,1,"うけた　わざの　タイプに
へんかする。"
394,16,16,3,"받은 기술의 타입으로
변화한다."
395,16,16,5,"Le Pokémon adopte le type de
la capacité ennemie."
396,16,16,6,"Ändert seinen Typ zu dem
der Attacke des Angreifers."
397,16,16,7,"Adopta el tipo del último
movimiento del que se es blanco."
398,16,16,8,"Il Pokémon acquisisce il tipo
della mossa subita."
399,16,16,9,"The Pokémon’s type becomes
the type of the move used on it."
400,16,16,11,"受けた　技の　タイプに
変化する。"
401,17,5,9,"Prevents poisoning."
402,17,6,9,"Prevents poisoning."
403,17,7,9,"Prevents poisoning."
404,17,8,9,"Prevents the Pokémon
from getting poisoned."
405,17,9,9,"Prevents the Pokémon
from getting poisoned."
406,17,10,9,"Prevents the Pokémon
from getting poisoned."
407,17,11,5,"Empêche le Pokémon d’être
empoisonné."
408,17,11,9,"Prevents the Pokémon
from getting poisoned."
409,17,14,9,"Prevents the Pokémon
from getting poisoned."
410,17,15,1,"どく　じょうたいに
ならない。"
411,17,15,3,"독 상태가
되지 않는다."
412,17,15,5,"Empêche le Pokémon d’être
empoisonné."
413,17,15,6,"Verhindert Vergiftungen."
414,17,15,7,"Evita el envenenamiento."
415,17,15,8,"Impedisce al Pokémon di
venire avvelenato."
416,17,15,9,"Prevents the Pokémon
from getting poisoned."
417,17,15,11,"どく状態に
ならない。"
418,17,16,1,"どく　じょうたいに
ならない。"
419,17,16,3,"독 상태가
되지 않는다."
420,17,16,5,"Empêche le Pokémon d’être
empoisonné."
421,17,16,6,"Verhindert Vergiftungen."
422,17,16,7,"Evita el envenenamiento."
423,17,16,8,"Impedisce al Pokémon di
venire avvelenato."
424,17,16,9,"Prevents the Pokémon
from getting poisoned."
425,17,16,11,"どく状態に
ならない。"
426,18,5,9,"Powers up if hit by fire."
427,18,6,9,"Powers up if hit by fire."
428,18,7,9,"Powers up if hit by fire."
429,18,8,9,"Powers up Fire-type moves
if hit by a fire move."
430,18,9,9,"Powers up Fire-type moves
if hit by a fire move."
431,18,10,9,"It powers up Fire-type
moves if it’s hit by one."
432,18,11,5,"Booste capacités Feu si
touché par attaques Feu."
433,18,11,9,"It powers up Fire-type
moves if it’s hit by one."
434,18,14,9,"It powers up Fire-type
moves if it’s hit by one."
435,18,15,1,"ほのおを　うけると
ほのおわざが　つよくなる。"
436,18,15,3,"불꽃을 받으면
불꽃 기술이 강해진다."
437,18,15,5,"Booste les capacités Feu si
touché par attaque Feu."
438,18,15,6,"Verstärkt Feuer-Attacken, wenn
von Feuer-Attacken getroffen."
439,18,15,7,"Potencia movimientos de tipo
Fuego si ha sufrido antes alguno."
440,18,15,8,"Potenzia le proprie mosse Fuoco
se se ne subisce una."
441,18,15,9,"Powers up the Pokémon’s Fire-
type moves if it’s hit by one."
442,18,15,11,"ほのおを　受けると
ほのお技が　強くなる。"
443,18,16,1,"ほのおを　うけると
ほのおわざが　つよくなる。"
444,18,16,3,"불꽃을 받으면
불꽃 기술이 강해진다."
445,18,16,5,"Booste les capacités Feu si
touché par attaque Feu."
446,18,16,6,"Verstärkt Feuer-Attacken, wenn
von Feuer-Attacken getroffen."
447,18,16,7,"Potencia movimientos de tipo
Fuego si ha sufrido antes alguno."
448,18,16,8,"Potenzia le proprie mosse Fuoco
se se ne subisce una."
449,18,16,9,"Powers up the Pokémon’s
Fire-type moves if it’s hit by one."
450,18,16,11,"ほのおを　受けると
ほのお技が　強くなる。"
451,19,5,9,"Prevents added effects."
452,19,6,9,"Prevents added effects."
453,19,7,9,"Prevents added effects."
454,19,8,9,"Blocks the added effects
of attacks taken."
455,19,9,9,"Blocks the added effects
of attacks taken."
456,19,10,9,"Blocks the added effects
of attacks taken."
457,19,11,5,"Annule les effets cumulés
d’une attaque ennemie."
458,19,11,9,"Blocks the added effects
of attacks taken."
459,19,14,9,"Blocks the added effects
of attacks taken."
460,19,15,1,"わざの　ついかこうかを
うけない。"
461,19,15,3,"기술의 추가 효과를
받지 않는다."
462,19,15,5,"Annule les effets cumulés d’une
attaque ennemie."
463,19,15,6,"Blockiert Zusatz-Effekte
gegnerischer Angriffe."
464,19,15,7,"Anula el efecto secundario del
ataque sufrido."
465,19,15,8,"Annulla gli effetti secondari
delle mosse subite."
466,19,15,9,"Blocks the additional effects
of attacks taken."
467,19,15,11,"技の　追加効果を
受けない。"
468,19,16,1,"わざの　ついかこうかを
うけない。"
469,19,16,3,"기술의 추가 효과를
받지 않는다."
470,19,16,5,"Annule les effets cumulés d’une
attaque ennemie."
471,19,16,6,"Blockiert Zusatz-Effekte
gegnerischer Angriffe."
472,19,16,7,"Anula el efecto secundario del
ataque sufrido."
473,19,16,8,"Annulla gli effetti secondari
delle mosse subite."
474,19,16,9,"Blocks the additional effects
of attacks taken."
475,19,16,11,"技の　追加効果を
受けない。"
476,20,5,9,"Prevents confusion."
477,20,6,9,"Prevents confusion."
478,20,7,9,"Prevents confusion."
479,20,8,9,"Prevents the Pokémon
from becoming confused."
480,20,9,9,"Prevents the Pokémon
from becoming confused."
481,20,10,9,"Prevents the Pokémon
from becoming confused."
482,20,11,5,"Empêche la confusion."
483,20,11,9,"Prevents the Pokémon
from becoming confused."
484,20,14,9,"Prevents the Pokémon
from becoming confused."
485,20,15,1,"こんらん　じょうたいに
ならない。"
486,20,15,3,"혼란 상태가
되지 않는다."
487,20,15,5,"Empêche la confusion."
488,20,15,6,"Verhindert Verwirrung."
489,20,15,7,"Evita ser confundido."
490,20,15,8,"Impedisce al Pokémon
di venire confuso."
491,20,15,9,"Prevents the Pokémon
from becoming confused."
492,20,15,11,"混乱状態に
ならない。"
493,20,16,1,"こんらん　じょうたいに
ならない。"
494,20,16,3,"혼란 상태가
되지 않는다."
495,20,16,5,"Empêche la confusion."
496,20,16,6,"Verhindert Verwirrung."
497,20,16,7,"Evita ser confundido."
498,20,16,8,"Impedisce al Pokémon
di venire confuso."
499,20,16,9,"Prevents the Pokémon
from becoming confused."
500,20,16,11,"混乱状態に
ならない。"
501,21,5,9,"Firmly anchors the body."
502,21,6,9,"Firmly anchors the body."
503,21,7,9,"Firmly anchors the body."
504,21,8,9,"Negates moves that
force switching out."
505,21,9,9,"Negates moves that
force switching out."
506,21,10,9,"Negates foes’ moves that
force switching out."
