id,move_id,version_group_id,language_id,flavor_text
39,2,15,1,"するどい　チョップで
あいてを　たたいて　こうげきする。
きゅうしょに　あたりやすい。"
40,2,15,3,"날카로운 당수로
상대를 때려서 공격한다.
급소에 맞기 쉽다."
41,2,15,5,"L’ennemi est tranché violemment.
Taux de critiques élevé."
42,2,15,6,"Gute Möglichkeit, einen Volltreffer zu landen."
43,2,15,7,"Da un golpe cortante. Suele ser crítico."
44,2,15,8,"Colpisce il bersaglio con un colpo netto.
Probabile brutto colpo."
45,2,15,9,"The target is attacked with a sharp chop.
Critical hits land more easily."
46,2,15,11,"鋭い　チョップで
相手を　たたいて　攻撃する。
急所に　当たりやすい。"
47,2,16,1,"するどい　チョップで
あいてを　たたいて　こうげきする。
きゅうしょに　あたりやすい。"
48,2,16,3,"날카로운 당수로
상대를 때려서 공격한다.
급소에 맞기 쉽다."
49,2,16,5,"L’ennemi est tranché violemment.
Taux de critiques élevé."
50,2,16,6,"Gute Möglichkeit, einen Volltreffer zu landen."
51,2,16,7,"Da un golpe cortante. Suele ser crítico."
52,2,16,8,"Colpisce il bersaglio con un colpo netto.
Probabile brutto colpo."
53,2,16,9,"The target is attacked with a sharp chop.
Critical hits land more easily."
54,2,16,11,"鋭い　チョップで
相手を　たたいて　攻撃する。
急所に　当たりやすい。"
55,3,3,9,"Repeatedly slaps
2-5 times."
56,3,4,9,"Repeatedly slaps
2-5 times."
57,3,5,9,"Repeatedly slaps the foe
2 to 5 times."
58,3,6,9,"Repeatedly slaps the foe
2 to 5 times."
59,3,7,9,"The foe is slapped
repeatedly, back
and forth, two to
five times."
60,3,8,9,"The foe is slapped
repeatedly, back
and forth, two to
five times in a row.
"
61,3,9,9,"The foe is slapped
repeatedly, back
and forth, two to
five times in a row.
"
62,3,10,9,"The foe is slapped
repeatedly, back
and forth, two to
five times in a row.
"
63,3,11,5,"Gifle rapidement l’ennemi
de 2 à 5 fois d’affilée."
64,3,11,9,"The target is slapped repeatedly, back
and forth, two to five times in a row."
65,3,14,9,"The target is slapped repeatedly, back
and forth, two to five times in a row."
66,3,15,1,"おうふく　ビンタで
あいてを　たたいて　こうげきする。
２ー５かいの　あいだ　れんぞくで　だす。"
67,3,15,3,"연속 뺨치기로
상대를 때려서 공격한다.
2-5회 동안 연속으로 쓴다."
68,3,15,5,"Gifle rapidement l’ennemi de deux à cinq fois
d’affilée."
69,3,15,6,"Trifft das Ziel zwei- bis fünfmal hintereinander
mit einem Duplexhieb."
70,3,15,7,"Abofetea de dos a cinco veces seguidas."
71,3,15,8,"Schiaffeggia il bersaglio da due a cinque volte
di fila."
72,3,15,9,"The target is slapped repeatedly, back
and forth, two to five times in a row."
73,3,15,11,"おうふく　ビンタで
相手を　たたいて　攻撃する。
２ー５回の　あいだ　連続で　だす。"
74,3,16,1,"おうふく　ビンタで
あいてを　たたいて　こうげきする。
２ー５かいの　あいだ　れんぞくで　だす。"
75,3,16,3,"연속 뺨치기로
상대를 때려서 공격한다.
2-5회 동안 연속으로 쓴다."
76,3,16,5,"Gifle rapidement l’ennemi de deux à cinq fois
d’affilée."
77,3,16,6,"Trifft das Ziel zwei- bis fünfmal hintereinander
mit einem Duplexhieb."
78,3,16,7,"Abofetea de dos a cinco veces seguidas."
79,3,16,8,"Schiaffeggia il bersaglio da due a cinque volte
di fila."
80,3,16,9,"The target is slapped repeatedly, back
and forth, two to five times in a row."
81,3,16,11,"おうふく　ビンタで
相手を　たたいて　攻撃する。
２ー５回の　あいだ　連続で　だす。"
82,4,3,9,"Repeatedly punches
2-5 times."
83,4,4,9,"Repeatedly punches
2-5 times."
84,4,5,9,"Repeatedly punches the foe
2 to 5 times."
85,4,6,9,"Repeatedly punches the foe
2 to 5 times."
86,4,7,9,"The foe is hit with
a flurry of punches
that strike two to
five times."
87,4,8,9,"The foe is hit with
a flurry of punches
that strike two to
five times in a row.
"
88,4,9,9,"The foe is hit with
a flurry of punches
that strike two to
five times in a row.
"
89,4,10,9,"The foe is hit with
a flurry of punches
that strike two to
five times in a row.
"
90,4,11,5,"Une tornade de coups de poing
qui frappe de 2 à 5 fois d’affilée."
91,4,11,9,"The target is hit with a flurry of punches
that strike two to five times in a row."
92,4,14,9,"The target is hit with a flurry of punches
that strike two to five times in a row."
93,4,15,1,"どとうの　パンチで
あいてを　なぐりつけて　こうげきする。
２ー５かいの　あいだ　れんぞくで　だす。"
94,4,15,3,"노도 같은 펀치로
상대를 세게 때려서 공격한다.
2-5회 동안 연속으로 쓴다."
95,4,15,5,"Une tornade de coups de poing qui frappe de
deux à cinq fois d’affilée."
96,4,15,6,"Trifft das Ziel zwei- bis fünfmal hintereinander
mit kräftigen Hieben."
97,4,15,7,"Pega de dos a cinco veces seguidas."
98,4,15,8,"Colpisce il bersaglio con una scarica di pugni
da due a cinque volte di fila."
99,4,15,9,"The target is hit with a flurry of punches
that strike two to five times in a row."
100,4,15,11,"どとうの　パンチで
相手を　なぐりつけて　攻撃する。
２ー５回の　あいだ　連続で　だす。"
101,4,16,1,"どとうの　パンチで
あいてを　なぐりつけて　こうげきする。
２ー５かいの　あいだ　れんぞくで　だす。"
102,4,16,3,"노도 같은 펀치로
상대를 세게 때려서 공격한다.
2-5회 동안 연속으로 쓴다."
103,4,16,5,"Une tornade de coups de poing qui frappe de
deux à cinq fois d’affilée."
104,4,16,6,"Trifft das Ziel zwei- bis fünfmal hintereinander
mit kräftigen Hieben."
105,4,16,7,"Pega de dos a cinco veces seguidas."
106,4,16,8,"Colpisce il bersaglio con una scarica di pugni
da due a cinque volte di fila."
107,4,16,9,"The target is hit with a flurry of punches
that strike two to five times in a row."
108,4,16,11,"どとうの　パンチで
相手を　なぐりつけて　攻撃する。
２ー５回の　あいだ　連続で　だす。"
109,5,3,9,"A powerful punch
thrown very hard."
110,5,4,9,"A powerful punch
thrown very hard."
111,5,5,9,"A strong punch thrown with
incredible power."
112,5,6,9,"A strong punch thrown with
incredible power."
113,5,7,9,"The foe is slugged
by a punch thrown
with muscle-packed
power."
114,5,8,9,"The foe is slugged
by a punch thrown
with muscle-packed
power.
"
115,5,9,9,"The foe is slugged
by a punch thrown
with muscle-packed
power.
"
116,5,10,9,"The foe is slugged
by a punch thrown
with muscle-packed
power.
"
117,5,11,5,"L’ennemi reçoit un coup de poing
d’une puissance incroyable."
118,5,11,9,"The target is slugged by a punch thrown
with muscle-packed power."
119,5,14,9,"The target is slugged by a punch thrown
with muscle-packed power."
120,5,15,1,"ちからを　こめた　パンチで
あいてを　こうげきする。
"
121,5,15,3,"힘을 담은 펀치로
상대를 공격한다."
122,5,15,5,"L’ennemi reçoit un coup de poing d’une puissance
incroyable."
123,5,15,6,"Ein unglaublich kräftiger Hieb."
124,5,15,7,"Un puñetazo de gran potencia."
125,5,15,8,"Colpisce il bersaglio con un pugno poderoso."
126,5,15,9,"The target is slugged by a punch thrown
with muscle-packed power."
127,5,15,11,"力を　こめた　パンチで
相手を　攻撃する。
"
128,5,16,1,"ちからを　こめた　パンチで
あいてを　こうげきする。
"
129,5,16,3,"힘을 담은 펀치로
상대를 공격한다."
130,5,16,5,"L’ennemi reçoit un coup de poing d’une puissance
incroyable."
131,5,16,6,"Ein unglaublich kräftiger Hieb."
132,5,16,7,"Un puñetazo de gran potencia."
133,5,16,8,"Colpisce il bersaglio con un pugno poderoso."
134,5,16,9,"The target is slugged by a punch thrown
with muscle-packed power."
135,5,16,11,"力を　こめた　パンチで
相手を　攻撃する。
"
136,6,3,9,"Throws coins. Gets
them back later."
137,6,4,9,"Throws coins. Gets
them back later."
138,6,5,9,"Throws coins at the foe.
Money is recovered after."
139,6,6,9,"Throws coins at the foe.
Money is recovered after."
140,6,7,9,"Numerous coins are
hurled at the foe.
Money is earned
after battle."
141,6,8,9,"Numerous coins are
hurled at the foe to
inflict damage.
Money is earned
after battle."
142,6,9,9,"Numerous coins are
hurled at the foe to
inflict damage.
Money is earned
after battle."
143,6,10,9,"Numerous coins are
hurled at the foe to
inflict damage.
Money is earned
after battle."
144,6,11,5,"Des pièces sont lancées sur l’ennemi.
Permet d’obtenir de l’argent à la fin
du combat."
145,6,11,9,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
146,6,14,9,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
147,6,15,1,"あいての　からだに
こばんを　なげつけて　こうげきする。
せんとうの　あとで　おかねが　もらえる。"
148,6,15,3,"상대의 몸에
돈을 세게 던져서 공격한다.
배틀 후에 돈을 받을 수 있다."
149,6,15,5,"Des pièces sont lancées sur l’ennemi.
Permet d’obtenir de l’argent à la fin du combat."
150,6,15,6,"Das Ziel wird mit Münzen beworfen.
Das Geld wird nach dem Kampf aufgesammelt."
151,6,15,7,"Arroja monedas al objetivo. Las recupera al final
del combate."
152,6,15,8,"Colpisce il bersaglio con una gran quantità
di monete recuperabili dopo la lotta."
153,6,15,9,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
154,6,15,11,"相手の　体に
小判を　投げつけて　攻撃する。
戦闘の　あとで　お金が　もらえる。"
155,6,16,1,"あいての　からだに
こばんを　なげつけて　こうげきする。
せんとうの　あとで　おかねが　もらえる。"
156,6,16,3,"상대의 몸에
돈을 세게 던져서 공격한다.
배틀 후에 돈을 받을 수 있다."
157,6,16,5,"Des pièces sont lancées sur l’ennemi.
Permet d’obtenir de l’argent à la fin du combat."
158,6,16,6,"Das Ziel wird mit Münzen beworfen.
Das Geld wird nach dem Kampf aufgesammelt."
159,6,16,7,"Arroja monedas al objetivo.
Las recupera al final del combate."
160,6,16,8,"Colpisce il bersaglio con una gran quantità
di monete recuperabili dopo la lotta."
161,6,16,9,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
162,6,16,11,"相手の　体に
小判を　投げつけて　攻撃する。
戦闘の　あとで　お金が　もらえる。"
163,7,3,9,"A fiery punch. May
cause a burn."
164,7,4,9,"A fiery punch. May
cause a burn."
165,7,5,9,"A fiery punch that may burn
the foe."
166,7,6,9,"A fiery punch that may burn
the foe."
167,7,7,9,"The foe is punched
with a fiery fist.
It may leave the
foe with a burn."
168,7,8,9,"The foe is punched
with a fiery fist.
It may leave the
target with a burn.
"
169,7,9,9,"The foe is punched
with a fiery fist.
It may leave the
target with a burn.
"
170,7,10,9,"The foe is punched
with a fiery fist.
It may leave the
target with a burn.
"
171,7,11,5,"Un coup de poing enflammé vient
frapper l’ennemi. Peut le brûler."
172,7,11,9,"The target is punched with a fiery fist.
It may also leave the target with a burn."
173,7,14,9,"The target is punched with a fiery fist.
It may also leave the target with a burn."
174,7,15,1,"ほのおを　こめた　パンチで
あいてを　こうげきする。
やけど　じょうたいに　することが　ある。"
175,7,15,3,"불꽃을 담은 펀치로
상대를 공격한다.
화상 상태로 만들 때가 있다."
176,7,15,5,"Un coup de poing enflammé vient frapper l’ennemi.
Peut le brûler."
177,7,15,6,"Feuriger Schlag, der dem Ziel eventuell
Verbrennungen zufügt."
178,7,15,7,"Puñetazo ardiente. Puede quemar."
179,7,15,8,"Colpisce il bersaglio con un pugno ardente
che può scottarlo."
180,7,15,9,"The target is punched with a fiery fist.
This may also leave the target with a burn."
181,7,15,11,"炎を　こめた　パンチで
相手を　攻撃する。
やけど状態に　することが　ある。"
182,7,16,1,"ほのおを　こめた　パンチで
あいてを　こうげきする。
やけど　じょうたいに　することが　ある。"
183,7,16,3,"불꽃을 담은 펀치로
상대를 공격한다.
화상 상태로 만들 때가 있다."
184,7,16,5,"Un coup de poing enflammé vient frapper l’ennemi.
Peut le brûler."
185,7,16,6,"Feuriger Schlag, der dem Ziel eventuell
Verbrennungen zufügt."
186,7,16,7,"Puñetazo ardiente. Puede quemar."
187,7,16,8,"Colpisce il bersaglio con un pugno ardente
che può scottarlo."
188,7,16,9,"The target is punched with a fiery fist.
This may also leave the target with a burn."
189,7,16,11,"炎を　こめた　パンチで
相手を　攻撃する。
やけど状態に　することが　ある。"
190,8,3,9,"An icy punch. May
cause freezing."
191,8,4,9,"An icy punch. May
cause freezing."
192,8,5,9,"An icy punch that may
freeze the foe."
193,8,6,9,"An icy punch that may
freeze the foe."
194,8,7,9,"The foe is punched
with an icy fist.
It may leave the
foe frozen."
195,8,8,9,"The foe is punched
with an icy fist.
It may leave the
target frozen.
"
196,8,9,9,"The foe is punched
with an icy fist.
It may leave the
target frozen.
"
197,8,10,9,"The foe is punched
with an icy fist.
It may leave the
target frozen.
"
198,8,11,5,"Un coup de poing glacé vient
frapper l’ennemi. Peut le geler."
199,8,11,9,"The target is punched with an icy fist.
It may also leave the target frozen."
200,8,14,9,"The target is punched with an icy fist.
It may also leave the target frozen."
201,8,15,1,"れいきを　こめた　パンチで
あいてを　こうげきする。
こおり　じょうたいに　することが　ある。"
202,8,15,3,"냉기를 담은 펀치로
상대를 공격한다.
얼음 상태로 만들 때가 있다."
203,8,15,5,"Un coup de poing glacé vient frapper l’ennemi.
Peut le geler."
204,8,15,6,"Ein eisiger Schlag, der das Ziel eventuell einfriert."
205,8,15,7,"Puñetazo helado. Puede congelar."
206,8,15,8,"Colpisce il bersaglio con un pugno di ghiaccio
che può congelarlo."
207,8,15,9,"The target is punched with an icy fist.
This may also leave the target frozen."
208,8,15,11,"冷気を　こめた　パンチで
相手を　攻撃する。
こおり状態に　することが　ある。"
209,8,16,1,"れいきを　こめた　パンチで
あいてを　こうげきする。
こおり　じょうたいに　することが　ある。"
210,8,16,3,"냉기를 담은 펀치로
상대를 공격한다.
얼음 상태로 만들 때가 있다."
211,8,16,5,"Un coup de poing glacé vient frapper l’ennemi.
Peut le geler."
212,8,16,6,"Ein eisiger Schlag, der das Ziel eventuell einfriert."
213,8,16,7,"Puñetazo helado. Puede congelar."
214,8,16,8,"Colpisce il bersaglio con un pugno di ghiaccio
che può congelarlo."
215,8,16,9,"The target is punched with an icy fist.
This may also leave the target frozen."
216,8,16,11,"冷気を　こめた　パンチで
相手を　攻撃する。
こおり状態に　することが　ある。"
217,9,3,9,"An electric punch.
It may paralyze."
218,9,4,9,"An electric punch.
It may paralyze."
219,9,5,9,"An electrified punch that
may paralyze the foe."
220,9,6,9,"An electrified punch that
may paralyze the foe."
221,9,7,9,"The foe is punched
with an electrified
fist. It may leave
the foe paralyzed."
222,9,8,9,"The foe is punched
with an electrified
fist. It may leave
the target with
paralysis."
223,9,9,9,"The foe is punched
with an electrified
fist. It may leave
the target with
paralysis."
224,9,10,9,"The foe is punched
with an electrified
fist. It may leave
the target with
paralysis."
225,9,11,5,"Un coup de poing électrique vient
frapper l’ennemi. Peut le paralyser."
226,9,11,9,"The target is punched with an electrified
fist. It may also leave the target
with paralysis."
227,9,14,9,"The target is punched with an electrified
fist. It may also leave the target
with paralysis."
228,9,15,1,"でんげきを　こめた　パンチで
あいてを　こうげきする。
まひ　じょうたいに　することが　ある。"
229,9,15,3,"전격을 담은 펀치로
상대를 공격한다.
마비 상태로 만들 때가 있다."
230,9,15,5,"Un coup de poing électrique vient frapper l’ennemi.
Peut le paralyser."
231,9,15,6,"Ein elektrischer Schlag, der das Ziel eventuell
paralysiert."
232,9,15,7,"Puñetazo eléctrico. Puede paralizar."
233,9,15,8,"Colpisce il bersaglio con un pugno elettrico
che può paralizzarlo."
234,9,15,9,"The target is punched with an electrified
fist. This may also leave the target
with paralysis."
235,9,15,11,"電撃を　こめた　パンチで
相手を　攻撃する。
まひ状態に　することが　ある。"
236,9,16,1,"でんげきを　こめた　パンチで
あいてを　こうげきする。
まひ　じょうたいに　することが　ある。"
237,9,16,3,"전격을 담은 펀치로
상대를 공격한다.
마비 상태로 만들 때가 있다."
238,9,16,5,"Un coup de poing électrique vient frapper l’ennemi.
Peut le paralyser."
239,9,16,6,"Ein elektrischer Schlag, der das Ziel eventuell
paralysiert."
240,9,16,7,"Puñetazo eléctrico. Puede paralizar."
241,9,16,8,"Colpisce il bersaglio con un pugno elettrico
che può paralizzarlo."
242,9,16,9,"The target is punched with an electrified
fist. This may also leave the target
with paralysis."
243,9,16,11,"電撃を　こめた　パンチで
相手を　攻撃する。
まひ状態に　することが　ある。"
244,10,3,9,"Scratches with
sharp claws."
245,10,4,9,"Scratches with
sharp claws."
246,10,5,9,"Scratches the foe with
sharp claws."
247,10,6,9,"Scratches the foe with
sharp claws."
248,10,7,9,"Hard, pointed, and
sharp claws rake
the foe."
249,10,8,9,"Hard, pointed, and
sharp claws rake the
foe to inflict damage.

"
250,10,9,9,"Hard, pointed, and
sharp claws rake the
foe to inflict damage.

"
251,10,10,9,"Hard, pointed, and
sharp claws rake the
foe to inflict damage.

"
252,10,11,5,"Lacère l’ennemi avec des griffes acérées
pour lui infliger des dégâts."
253,10,11,9,"Hard, pointed, and sharp claws rake
the target to inflict damage."
254,10,14,9,"Hard, pointed, and sharp claws rake
the target to inflict damage."
255,10,15,1,"かたく　とがった　するどい　ツメで
あいてを　ひっかいて　こうげきする。
"
256,10,15,3,"단단하고 뾰족한 날카로운 손톱으로
상대를 할퀴어서 공격한다."
257,10,15,5,"Lacère l’ennemi avec des griffes acérées pour lui
infliger des dégâts."
258,10,15,6,"Das Ziel wird mit scharfen Klauen zerkratzt."
259,10,15,7,"Araña con afiladas garras."
260,10,15,8,"Infligge danni al bersaglio con artigli acuminati,
duri e affilati."
261,10,15,9,"Hard, pointed, sharp claws rake
the target to inflict damage."
262,10,15,11,"硬く　とがった　鋭い　ツメで
相手を　ひっかいて　攻撃する。
"
263,10,16,1,"かたく　とがった　するどい　ツメで
あいてを　ひっかいて　こうげきする。
"
264,10,16,3,"단단하고 뾰족한 날카로운 손톱으로
상대를 할퀴어서 공격한다."
265,10,16,5,"Lacère l’ennemi avec des griffes acérées pour lui
infliger des dégâts."
266,10,16,6,"Das Ziel wird mit scharfen Klauen zerkratzt."
267,10,16,7,"Araña con afiladas garras."
268,10,16,8,"Infligge danni al bersaglio con artigli acuminati,
duri e affilati."
269,10,16,9,"Hard, pointed, sharp claws rake
the target to inflict damage."
270,10,16,11,"硬く　とがった　鋭い　ツメで
相手を　ひっかいて　攻撃する。
"
271,11,3,9,"Grips with power­
ful pincers."
272,11,4,9,"Grips with power­
ful pincers."
273,11,5,9,"Grips the foe with large and
powerful pincers."
274,11,6,9,"Grips the foe with large and
powerful pincers."
275,11,7,9,"Huge, impressive
pincers grip and
squeeze the foe."
276,11,8,9,"Huge, impressive
pincers grip and
squeeze the foe.

"
277,11,9,9,"Huge, impressive
pincers grip and
squeeze the foe.

"
278,11,10,9,"Huge, impressive
pincers grip and
squeeze the foe.

"
279,11,11,5,"L’ennemi est attrapé et compressé
par les côtés."
280,11,11,9,"The target is gripped and squeezed from
both sides to inflict damage."
281,11,14,9,"The target is gripped and squeezed from
both sides to inflict damage."
282,11,15,1,"あいてを　りょうがわから　はさんで
ダメージを　あたえる。
"
283,11,15,3,"상대를 양쪽에서 집어서
데미지를 준다."
284,11,15,5,"L’ennemi est attrapé et compressé par les côtés."
285,11,15,6,"Das Ziel wird umklammert und
zusammengequetscht."
286,11,15,7,"Atrapa y atenaza al objetivo."
287,11,15,8,"Stringe il bersaglio in una morsa usando enormi
e possenti tenaglie."
288,11,15,9,"The target is gripped and squeezed from
both sides to inflict damage."
289,11,15,11,"相手を　両側から　はさんで
ダメージを　あたえる。
"
290,11,16,1,"あいてを　りょうがわから　はさんで
ダメージを　あたえる。
"
291,11,16,3,"상대를 양쪽에서 집어서
데미지를 준다."
292,11,16,5,"L’ennemi est attrapé et compressé par les côtés."
293,11,16,6,"Das Ziel wird umklammert und
zusammengequetscht."
294,11,16,7,"Atrapa y atenaza al objetivo."
295,11,16,8,"Stringe il bersaglio in una morsa usando enormi
e possenti tenaglie."
296,11,16,9,"The target is gripped and squeezed from
both sides to inflict damage."
297,11,16,11,"相手を　両側から　はさんで
ダメージを　あたえる。
"
298,12,3,9,"A one-hit KO,
pincer attack."
299,12,4,9,"A one-hit KO,
pincer attack."
300,12,5,9,"A powerful pincer attack
that may cause fainting."
301,12,6,9,"A powerful pincer attack
that may cause fainting."
302,12,7,9,"A vicious tearing
attack with pincers.
The foe will faint
if it hits."
303,12,8,9,"A vicious, tearing
attack with pincers.
The foe will faint
instantly if this
attack hits."
304,12,9,9,"A vicious, tearing
attack with pincers.
The foe will faint
instantly if this
attack hits."
305,12,10,9,"A vicious, tearing
attack with pincers.
The foe will faint
instantly if this
attack hits."
306,12,11,5,"De méchantes pinces lacèrent
l’ennemi, le mettant K.O. sur
le coup s’il est touché."
307,12,11,9,"A vicious, tearing attack with big pincers.
The target will faint instantly
if this attack hits."
308,12,14,9,"A vicious, tearing attack with big pincers.
The target will faint instantly
if this attack hits."
309,12,15,1,"おおきな　ハサミで
あいてを　きりさいて　こうげきする。
あたれば　いちげきで　ひんしに　する。"
310,12,15,3,"큰 집게로
상대를 베어 갈라 공격한다.
맞으면 일격에 기절한다."
311,12,15,5,"De méchantes pinces lacèrent l’ennemi, le mettant
K.O. sur le coup s’il est touché."
312,12,15,6,"Kräftige Scheren-Attacke.
Führt beim Ziel sofort zum K.O."
313,12,15,7,"Ataque con pinzas que debilita al oponente de un
golpe si acierta."
314,12,15,8,"Attacca il bersaglio con pericolose tenaglie.
Se l’attacco va a segno, il Pokémon colpito
va subito KO."
315,12,15,9,"A vicious, tearing attack with big pincers.
The target faints instantly if this attack hits."
316,12,15,11,"大きな　ハサミで
相手を　切り裂いて　攻撃する。
当たれば　一撃で　ひんしに　する。"
317,12,16,1,"おおきな　ハサミで
あいてを　きりさいて　こうげきする。
あたれば　いちげきで　ひんしに　する。"
318,12,16,3,"큰 집게로
상대를 베어 갈라 공격한다.
맞으면 일격에 기절한다."
319,12,16,5,"De méchantes pinces lacèrent l’ennemi, le mettant
K.O. sur le coup s’il est touché."
320,12,16,6,"Kräftige Scheren-Attacke.
Führt beim Ziel sofort zum K.O."
321,12,16,7,"Ataque con pinzas que debilita al oponente de un 
golpe si acierta."
322,12,16,8,"Attacca il bersaglio con pericolose tenaglie.
Se l’attacco va a segno, il Pokémon colpito
va subito KO."
323,12,16,9,"A vicious, tearing attack with big pincers.
The target faints instantly if this attack hits."
324,12,16,11,"大きな　ハサミで
相手を　切り裂いて　攻撃する。
当たれば　一撃で　ひんしに　する。"
325,13,3,9,"1st turn: Prepare
2nd turn: Attack"
326,13,4,9,"1st turn: Prepare
2nd turn: Attack"
327,13,5,9,"A 2-turn move that strikes
the foe on the 2nd turn."
328,13,6,9,"A 2-turn move that strikes
the foe on the 2nd turn."
329,13,7,9,"Blades of wind hit
the foe on the 2nd
turn. It has a high
critical-hit ratio."
330,13,8,9,"A two-turn attack.
Blades of wind hit the
foe on the second
turn. It has a high
critical-hit ratio."
331,13,9,9,"A two-turn attack.
Blades of wind hit the
foe on the second
turn. It has a high
critical-hit ratio."
332,13,10,9,"A two-turn attack.
Blades of wind hit the
foe on the second
turn. It has a high
critical-hit ratio."
333,13,11,5,"Attaque en 2 tours.
Des lames de vent frappent l’ennemi au
2è tour. Taux de critiques élevé."
334,13,11,9,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
335,13,14,9,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
336,13,15,1,"かぜの　やいばを　つくり
２ターンめに　あいてを　こうげきする。
きゅうしょに　あたりやすい。"
337,13,15,3,"바람의 칼날을 만들어
2턴째에 상대를 공격한다.
급소에 맞기 쉽다."
338,13,15,5,"Attaque en deux tours.
Des lames de vent frappent l’ennemi au second
tour. Taux de critiques élevé."
339,13,15,6,"Eine Attacke, die über zwei Runden geht.
Hohe Volltrefferquote."
340,13,15,7,"Primero se prepara y en el segundo turno ataca
al oponente con ráfagas de viento cortante. Alta
probabilidad de ser crítico."
341,13,15,8,"Chi la usa genera un turbine al primo turno
e attacca al secondo. Probabile brutto colpo."
342,13,15,9,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
343,13,15,11,"風の　刃を　つくり
２ターン目に　相手を　攻撃する。
急所に　当たりやすい。"
344,13,16,1,"かぜの　やいばを　つくり
２ターンめに　あいてを　こうげきする。
きゅうしょに　あたりやすい。"
345,13,16,3,"바람의 칼날을 만들어
2턴째에 상대를 공격한다.
급소에 맞기 쉽다."
346,13,16,5,"Attaque en deux tours.
Des lames de vent frappent l’ennemi au second
tour. Taux de critiques élevé."
347,13,16,6,"Eine Attacke, die über zwei Runden geht.
Hohe Volltrefferquote."
348,13,16,7,"Primero se prepara y en el segundo turno
ataca al oponente con ráfagas de viento
cortante. Alta probabilidad de ser crítico."
349,13,16,8,"Chi la usa genera un turbine al primo turno
e attacca al secondo. Probabile brutto colpo."
350,13,16,9,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
351,13,16,11,"風の　刃を　つくり
２ターン目に　相手を　攻撃する。
急所に　当たりやすい。"
352,14,3,9,"A dance that in­
creases ATTACK."
353,14,4,9,"A dance that in­
creases ATTACK."
354,14,5,9,"A fighting dance that
sharply raises ATTACK."
