id,pokemon_species_id,local_language_id,name,genus
152,17,8,Pidgeotto,Uccello
153,17,9,Pidgeotto,Bird
154,18,1,ピジョット,とり
155,18,2,Pigeot,
156,18,3,피죤투,새
157,18,4,比鵰,
158,18,5,Roucarnage,Oiseau
159,18,6,Tauboss,Vogel
160,18,7,Pidgeot,Pájaro
161,18,8,Pidgeot,Uccello
162,18,9,Pidgeot,Bird
163,19,1,コラッタ,ねずみ
164,19,2,Koratta,
165,19,3,꼬렛,쥐
166,19,4,小拉達,
167,19,5,Rattata,Souris
168,19,6,Rattfratz,Maus
169,19,7,Rattata,Ratón
170,19,8,Rattata,Topo
171,19,9,Rattata,Mouse
172,20,1,ラッタ,ねずみ
173,20,2,Ratta,
174,20,3,레트라,쥐
175,20,4,拉達,
176,20,5,Rattatac,Souris
177,20,6,Rattikarl,Maus
178,20,7,Raticate,Ratón
179,20,8,Raticate,Topo
180,20,9,Raticate,Mouse
181,21,1,オニスズメ,ことり
182,21,2,Onisuzume,
183,21,3,깨비참,아기새
184,21,4,烈雀,
185,21,5,Piafabec,Minoiseau
186,21,6,Habitak,Kleinvogel
187,21,7,Spearow,Pajarito
188,21,8,Spearow,Uccellino
189,21,9,Spearow,"Tiny Bird"
190,22,1,オニドリル,くちばし
191,22,2,Onidrill,
192,22,3,깨비드릴조,부리
193,22,4,大嘴雀,
194,22,5,Rapasdepic,Bec-Oiseau
195,22,6,Ibitak,Pickvogel
196,22,7,Fearow,Pico
197,22,8,Fearow,Becco
198,22,9,Fearow,Beak
199,23,1,アーボ,へび
200,23,2,Arbo,
201,23,3,아보,뱀
202,23,4,阿柏蛇,
203,23,5,Abo,Serpent
204,23,6,Rettan,Schlange
205,23,7,Ekans,Serpiente
206,23,8,Ekans,Serpente
207,23,9,Ekans,Snake
208,24,1,アーボック,コブラ
209,24,2,Arbok,
210,24,3,아보크,코브라
211,24,4,阿柏怪,
212,24,5,Arbok,Cobra
213,24,6,Arbok,Kobra
214,24,7,Arbok,Cobra
215,24,8,Arbok,Cobra
216,24,9,Arbok,Cobra
217,25,1,ピカチュウ,ねずみ
218,25,2,Pikachu,
219,25,3,피카츄,쥐
220,25,4,皮卡丘,
221,25,5,Pikachu,Souris
222,25,6,Pikachu,Maus
223,25,7,Pikachu,Ratón
224,25,8,Pikachu,Topo
225,25,9,Pikachu,Mouse
226,26,1,ライチュウ,ねずみ
227,26,2,Raichu,
228,26,3,라이츄,쥐
229,26,4,雷丘,
230,26,5,Raichu,Souris
231,26,6,Raichu,Maus
232,26,7,Raichu,Ratón
233,26,8,Raichu,Topo
234,26,9,Raichu,Mouse
235,27,1,サンド,ねずみ
236,27,2,Sand,
237,27,3,모래두지,쥐
238,27,4,穿山鼠,
239,27,5,Sabelette,Souris
240,27,6,Sandan,Maus
241,27,7,Sandshrew,Ratón
242,27,8,Sandshrew,Topo
243,27,9,Sandshrew,Mouse
244,28,1,サンドパン,ねずみ
245,28,2,Sandpan,
246,28,3,고지,쥐
247,28,4,穿山王,
248,28,5,Sablaireau,Souris
249,28,6,Sandamer,Maus
250,28,7,Sandslash,Ratón
251,28,8,Sandslash,Topo
252,28,9,Sandslash,Mouse
253,29,1,ニドラン♀,どくばり
254,29,2,Nidoran♀,
255,29,3,니드런♀,독침
256,29,4,尼多蘭,
257,29,5,Nidoran♀,Vénépic
258,29,6,Nidoran♀,Giftdorn
259,29,7,Nidoran♀,"Pin Veneno"
260,29,8,Nidoran♀,Velenago
261,29,9,Nidoran♀,"Poison Pin"
262,30,1,ニドリーナ,どくばり
263,30,2,Nidorina,
264,30,3,니드리나,독침
265,30,4,尼多娜,
266,30,5,Nidorina,Vénépic
267,30,6,Nidorina,Giftdorn
268,30,7,Nidorina,"Pin Veneno"
269,30,8,Nidorina,Velenago
270,30,9,Nidorina,"Poison Pin"
271,31,1,ニドクイン,ドリル
272,31,2,Nidoqueen,
273,31,3,니드퀸,드릴
274,31,4,尼多后,
275,31,5,Nidoqueen,Perceur
276,31,6,Nidoqueen,Bohrer
277,31,7,Nidoqueen,Taladro
278,31,8,Nidoqueen,Trapano
279,31,9,Nidoqueen,Drill
280,32,1,ニドラン♂,どくばり
281,32,2,Nidoran♂,
282,32,3,니드런♂,독침
283,32,4,尼多朗,
284,32,5,Nidoran♂,Vénépic
285,32,6,Nidoran♂,Giftdorn
286,32,7,Nidoran♂,"Pin Veneno"
287,32,8,Nidoran♂,Velenago
288,32,9,Nidoran♂,"Poison Pin"
289,33,1,ニドリーノ,どくばり
290,33,2,Nidorino,
291,33,3,니드리노,독침
292,33,4,尼多力諾,
293,33,5,Nidorino,Vénépic
294,33,6,Nidorino,Giftdorn
295,33,7,Nidorino,"Pin Veneno"
296,33,8,Nidorino,Velenago
297,33,9,Nidorino,"Poison Pin"
298,34,1,ニドキング,ドリル
299,34,2,Nidoking,
300,34,3,니드킹,드릴
301,34,4,尼多王,
302,34,5,Nidoking,Perceur
303,34,6,Nidoking,Bohrer
304,34,7,Nidoking,Taladro
305,34,8,Nidoking,Trapano
306,34,9,Nidoking,Drill
307,35,1,ピッピ,ようせい
308,35,2,Pippi,
309,35,3,삐삐,요정
310,35,4,皮皮,
311,35,5,Mélofée,Fée
312,35,6,Piepi,Fee
313,35,7,Clefairy,Hada
314,35,8,Clefairy,Fata
315,35,9,Clefairy,Fairy
316,36,1,ピクシー,ようせい
317,36,2,Pixy,
318,36,3,픽시,요정
319,36,4,皮可西,
320,36,5,Mélodelfe,Fée
321,36,6,Pixi,Fee
322,36,7,Clefable,Hada
323,36,8,Clefable,Fata
324,36,9,Clefable,Fairy
325,37,1,ロコン,きつね
326,37,2,Rokon,
327,37,3,식스테일,여우
328,37,4,六尾,
329,37,5,Goupix,Renard
330,37,6,Vulpix,Fuchs
331,37,7,Vulpix,Zorro
332,37,8,Vulpix,Volpe
333,37,9,Vulpix,Fox
334,38,1,キュウコン,きつね
335,38,2,Kyukon,
336,38,3,나인테일,여우
337,38,4,九尾,
338,38,5,Feunard,Renard
339,38,6,Vulnona,Fuchs
340,38,7,Ninetales,Zorro
341,38,8,Ninetales,Volpe
342,38,9,Ninetales,Fox
343,39,1,プリン,ふうせん
344,39,2,Purin,
345,39,3,푸린,풍선
346,39,4,胖丁,
347,39,5,Rondoudou,Bouboule
348,39,6,Pummeluff,Ballon
349,39,7,Jigglypuff,Globo
350,39,8,Jigglypuff,Pallone
351,39,9,Jigglypuff,Balloon
352,40,1,プクリン,ふうせん
353,40,2,Pukurin,
354,40,3,푸크린,풍선
355,40,4,胖可丁,
356,40,5,Grodoudou,Bouboule
357,40,6,Knuddeluff,Ballon
358,40,7,Wigglytuff,Globo
359,40,8,Wigglytuff,Pallone
360,40,9,Wigglytuff,Balloon
361,41,1,ズバット,こうもり
362,41,2,Zubat,
363,41,3,주뱃,박쥐
364,41,4,超音蝠,
365,41,5,Nosferapti,Chovsouris
366,41,6,Zubat,Fledermaus
367,41,7,Zubat,Murciélago
368,41,8,Zubat,Pipistrello
369,41,9,Zubat,Bat
370,42,1,ゴルバット,こうもり
371,42,2,Golbat,
372,42,3,골뱃,박쥐
373,42,4,大嘴蝠,
374,42,5,Nosferalto,Chovsouris
375,42,6,Golbat,Fledermaus
376,42,7,Golbat,Murciélago
377,42,8,Golbat,Pipistrello
378,42,9,Golbat,Bat
379,43,1,ナゾノクサ,ざっそう
380,43,2,Nazonokusa,
381,43,3,뚜벅쵸,잡초
382,43,4,走路草,
383,43,5,Mystherbe,Racine
384,43,6,Myrapla,Unkraut
385,43,7,Oddish,Hierbajo
386,43,8,Oddish,Malerba
387,43,9,Oddish,Weed
388,44,1,クサイハナ,ざっそう
389,44,2,Kusaihana,
390,44,3,냄새꼬,잡초
391,44,4,臭臭花,
392,44,5,Ortide,Racine
393,44,6,Duflor,Unkraut
394,44,7,Gloom,Hierbajo
395,44,8,Gloom,Malerba
396,44,9,Gloom,Weed
397,45,1,ラフレシア,フラワー
398,45,2,Ruffresia,
399,45,3,라플레시아,꽃
400,45,4,霸王花,
401,45,5,Rafflesia,Fleur
402,45,6,Giflor,Blume
403,45,7,Vileplume,Flor
404,45,8,Vileplume,Fiore
405,45,9,Vileplume,Flower
406,46,1,パラス,きのこ
407,46,2,Paras,
408,46,3,파라스,버섯
409,46,4,派拉斯,
410,46,5,Paras,Champignon
411,46,6,Paras,Pilz
412,46,7,Paras,Hongo
413,46,8,Paras,Fungo
414,46,9,Paras,Mushroom
415,47,1,パラセクト,きのこ
416,47,2,Parasect,
417,47,3,파라섹트,버섯
418,47,4,派拉斯特,
419,47,5,Parasect,Champignon
420,47,6,Parasek,Pilz
421,47,7,Parasect,Hongo
422,47,8,Parasect,Fungo
423,47,9,Parasect,Mushroom
424,48,1,コンパン,こんちゅう
425,48,2,Kongpang,
426,48,3,콘팡,곤충
427,48,4,毛球,
428,48,5,Mimitoss,Vermine
429,48,6,Bluzuk,Insekt
430,48,7,Venonat,Insecto
431,48,8,Venonat,Insetto
432,48,9,Venonat,Insect
433,49,1,モルフォン,どくが
434,49,2,Morphon,
435,49,3,도나리,독나방
436,49,4,末入蛾,
437,49,5,Aéromite,Papipoison
438,49,6,Omot,Giftmotte
439,49,7,Venomoth,"Polilla Ven."
440,49,8,Venomoth,Velentarma
441,49,9,Venomoth,"Poison Moth"
442,50,1,ディグダ,もぐら
443,50,2,Digda,
444,50,3,디그다,두더지
445,50,4,地鼠,
446,50,5,Taupiqueur,Taupe
447,50,6,Digda,Maulwurf
448,50,7,Diglett,Topo
449,50,8,Diglett,Talpa
450,50,9,Diglett,Mole
451,51,1,ダグトリオ,もぐら
452,51,2,Dugtrio,
453,51,3,닥트리오,두더지
454,51,4,三地鼠,
455,51,5,Triopikeur,Taupe
456,51,6,Digdri,Maulwurf
457,51,7,Dugtrio,Topo
458,51,8,Dugtrio,Talpa
459,51,9,Dugtrio,Mole
460,52,1,ニャース,ばけねこ
461,52,2,Nyarth,
462,52,3,나옹,요괴고양이
463,52,4,喵喵,
464,52,5,Miaouss,Chadégout
465,52,6,Mauzi,Katze
466,52,7,Meowth,"Gato Araña"
467,52,8,Meowth,Graffimiao
468,52,9,Meowth,"Scratch Cat"
469,53,1,ペルシアン,シャムネコ
470,53,2,Persian,
471,53,3,페르시온,샴고양이
472,53,4,貓老大,
473,53,5,Persian,Chadeville
474,53,6,Snobilikat,Rassekatze
475,53,7,Persian,"Gato Fino"
476,53,8,Persian,Nobilgatto
477,53,9,Persian,"Classy Cat"
478,54,1,コダック,あひる
479,54,2,Koduck,
480,54,3,고라파덕,오리
481,54,4,可達鴨,
482,54,5,Psykokwak,Canard
483,54,6,Enton,Ente
484,54,7,Psyduck,Pato
485,54,8,Psyduck,Papero
486,54,9,Psyduck,Duck
487,55,1,ゴルダック,あひる
488,55,2,Golduck,
489,55,3,골덕,오리
490,55,4,哥達鴨,
491,55,5,Akwakwak,Canard
492,55,6,Entoron,Ente
493,55,7,Golduck,Pato
494,55,8,Golduck,Papero
495,55,9,Golduck,Duck
496,56,1,マンキー,ぶたざる
497,56,2,Mankey,
498,56,3,망키,돈숭이
499,56,4,猴怪,
500,56,5,Férosinge,Porsinge
501,56,6,Menki,"Schw./ Affe"
502,56,7,Mankey,"Mono Cerdo"
503,56,8,Mankey,Suinpanzé
504,56,9,Mankey,"Pig Monkey"
505,57,1,オコリザル,ぶたざる
506,57,2,Okorizaru,
507,57,3,성원숭,돈숭이
508,57,4,火爆猴,
509,57,5,Colossinge,Porsinge
510,57,6,Rasaff,"Schw./ Affe"
511,57,7,Primeape,"Mono Cerdo"
512,57,8,Primeape,Suinpanzé
513,57,9,Primeape,"Pig Monkey"
514,58,1,ガーディ,こいぬ
515,58,2,Gardie,
516,58,3,가디,강아지
517,58,4,卡蒂狗,
518,58,5,Caninos,Chiot
519,58,6,Fukano,Hund
520,58,7,Growlithe,Perrito
521,58,8,Growlithe,Cagnolino
522,58,9,Growlithe,Puppy
523,59,1,ウインディ,でんせつ
524,59,2,Windie,
525,59,3,윈디,전설
526,59,4,風速狗,
527,59,5,Arcanin,Légendaire
528,59,6,Arkani,Legendär
529,59,7,Arcanine,Legendario
530,59,8,Arcanine,Leggenda
531,59,9,Arcanine,Legendary
532,60,1,ニョロモ,おたま
533,60,2,Nyoromo,
534,60,3,발챙이,올챙이
535,60,4,蚊香蝌蚪,
536,60,5,Ptitard,Têtard
537,60,6,Quapsel,Kaulquappe
538,60,7,Poliwag,Renacuajo
539,60,8,Poliwag,Girino
540,60,9,Poliwag,Tadpole
541,61,1,ニョロゾ,おたま
542,61,2,Nyorozo,
543,61,3,슈륙챙이,올챙이
544,61,4,蚊香蛙,
545,61,5,Têtarte,Têtard
546,61,6,Quaputzi,Kaulquappe
547,61,7,Poliwhirl,Renacuajo
548,61,8,Poliwhirl,Girino
549,61,9,Poliwhirl,Tadpole
550,62,1,ニョロボン,おたま
551,62,2,Nyorobon,
552,62,3,강챙이,올챙이
553,62,4,快泳蛙,
554,62,5,Tartard,Têtard
555,62,6,Quappo,Kaulquappe
556,62,7,Poliwrath,Renacuajo
557,62,8,Poliwrath,Girino
558,62,9,Poliwrath,Tadpole
559,63,1,ケーシィ,ねんりき
560,63,2,Casey,
561,63,3,캐이시,초능력
562,63,4,凱西,
563,63,5,Abra,Psy
564,63,6,Abra,Psi
565,63,7,Abra,Psi
566,63,8,Abra,Psico
567,63,9,Abra,Psi
568,64,1,ユンゲラー,ねんりき
569,64,2,Yungerer,
570,64,3,윤겔라,초능력
571,64,4,勇吉拉,
572,64,5,Kadabra,Psy
573,64,6,Kadabra,Psi
574,64,7,Kadabra,Psi
575,64,8,Kadabra,Psico
576,64,9,Kadabra,Psi
577,65,1,フーディン,ねんりき
578,65,2,Foodin,
579,65,3,후딘,초능력
580,65,4,胡地,
581,65,5,Alakazam,Psy
582,65,6,Simsala,Psi
583,65,7,Alakazam,Psi
584,65,8,Alakazam,Psico
585,65,9,Alakazam,Psi
586,66,1,ワンリキー,かいりき
587,66,2,Wanriky,
588,66,3,알통몬,괴력
589,66,4,腕力,
590,66,5,Machoc,Colosse
591,66,6,Machollo,Kraftprotz
592,66,7,Machop,Superpoder
593,66,8,Machop,Megaforza
594,66,9,Machop,Superpower
595,67,1,ゴーリキー,かいりき
596,67,2,Goriky,
597,67,3,근육몬,괴력
598,67,4,豪力,
599,67,5,Machopeur,Colosse
600,67,6,Maschock,Kraftprotz
601,67,7,Machoke,Superpoder
602,67,8,Machoke,Megaforza
603,67,9,Machoke,Superpower
604,68,1,カイリキー,かいりき
605,68,2,Kairiky,
606,68,3,괴력몬,괴력
607,68,4,怪力,
608,68,5,Mackogneur,Colosse
609,68,6,Machomei,Kraftprotz
610,68,7,Machamp,Superpoder
611,68,8,Machamp,Megaforza
612,68,9,Machamp,Superpower
613,69,1,マダツボミ,フラワー
614,69,2,Madatsubomi,
615,69,3,모다피,꽃
616,69,4,喇叭芽,
617,69,5,Chétiflor,Fleur
618,69,6,Knofensa,Blume
619,69,7,Bellsprout,Flor
620,69,8,Bellsprout,Fiore
621,69,9,Bellsprout,Flower
622,70,1,ウツドン,ハエとり
623,70,2,Utsudon,
624,70,3,우츠동,파리잡이
625,70,4,口呆花,
626,70,5,Boustiflor,Carnivore
627,70,6,Ultrigaria,Fliegentod
628,70,7,Weepinbell,Matamoscas
629,70,8,Weepinbell,Moschivoro
630,70,9,Weepinbell,Flycatcher
631,71,1,ウツボット,ハエとり
632,71,2,Utsubot,
633,71,3,우츠보트,파리잡이
634,71,4,大食花,
635,71,5,Empiflor,Carnivore
636,71,6,Sarzenia,Fliegentod
637,71,7,Victreebel,Matamoscas
638,71,8,Victreebel,Moschivoro
639,71,9,Victreebel,Flycatcher
640,72,1,メノクラゲ,くらげ
641,72,2,Menokurage,
642,72,3,왕눈해,해파리
643,72,4,瑪瑙水母,
644,72,5,Tentacool,Mollusque
645,72,6,Tentacha,Qualle
646,72,7,Tentacool,Medusa
647,72,8,Tentacool,Medusa
648,72,9,Tentacool,Jellyfish
649,73,1,ドククラゲ,くらげ
650,73,2,Dokukurage,
651,73,3,독파리,해파리
652,73,4,毒刺水母,
653,73,5,Tentacruel,Mollusque
654,73,6,Tentoxa,Qualle
655,73,7,Tentacruel,Medusa
656,73,8,Tentacruel,Medusa
657,73,9,Tentacruel,Jellyfish
658,74,1,イシツブテ,がんせき
659,74,2,Isitsubute,
660,74,3,꼬마돌,암석
661,74,4,小拳石,
662,74,5,Racaillou,Roche
663,74,6,Kleinstein,Gestein
664,74,7,Geodude,Roca
665,74,8,Geodude,Roccia
666,74,9,Geodude,Rock
667,75,1,ゴローン,がんせき
668,75,2,Golone,
669,75,3,데구리,암석
670,75,4,隆隆石,
671,75,5,Gravalanch,Roche
672,75,6,Georok,Gestein
673,75,7,Graveler,Roca
674,75,8,Graveler,Roccia
675,75,9,Graveler,Rock
676,76,1,ゴローニャ,メガトン
677,76,2,Golonya,
678,76,3,딱구리,메가톤
679,76,4,隆隆岩,
680,76,5,Grolem,Titanesque
681,76,6,Geowaz,Urgestein
682,76,7,Golem,Megatón
683,76,8,Golem,Megatone
684,76,9,Golem,Megaton
685,77,1,ポニータ,ひのうま
686,77,2,Ponyta,
687,77,3,포니타,불의말
688,77,4,小火馬,
689,77,5,Ponyta,"Cheval Feu"
690,77,6,Ponita,Feuerpferd
691,77,7,Ponyta,"Caballo F."
692,77,8,Ponyta,Cavalfuoco
693,77,9,Ponyta,"Fire Horse"
694,78,1,ギャロップ,ひのうま
695,78,2,Gallop,
696,78,3,날쌩마,불의말
697,78,4,烈焰馬,
698,78,5,Galopa,"Cheval Feu"
699,78,6,Gallopa,Feuerpferd
700,78,7,Rapidash,"Caballo F."
701,78,8,Rapidash,Cavalfuoco
702,78,9,Rapidash,"Fire Horse"
703,79,1,ヤドン,まぬけ
704,79,2,Yadon,
705,79,3,야돈,얼간이
706,79,4,呆呆獸,
707,79,5,Ramoloss,Crétin
708,79,6,Flegmon,Schnarcher
709,79,7,Slowpoke,Atontado
710,79,8,Slowpoke,Ronfone
711,79,9,Slowpoke,Dopey
712,80,1,ヤドラン,やどかり
713,80,2,Yadoran,
714,80,3,야도란,기생
715,80,4,呆河馬,
716,80,5,Flagadoss,Symbiose
717,80,6,Lahmus,Symbiose
718,80,7,Slowbro,Ermitaño
719,80,8,Slowbro,Paguro
720,80,9,Slowbro,"Hermit Crab"
721,81,1,コイル,じしゃく
722,81,2,Coil,
723,81,3,코일,자석
724,81,4,小磁怪,
725,81,5,Magnéti,Magnétique
726,81,6,Magnetilo,Magnet
727,81,7,Magnemite,Imán
728,81,8,Magnemite,Calamita
729,81,9,Magnemite,Magnet
730,82,1,レアコイル,じしゃく
731,82,2,Rarecoil,
732,82,3,레어코일,자석
733,82,4,三合一磁怪,
734,82,5,Magnéton,Magnétique
735,82,6,Magneton,Magnet
736,82,7,Magneton,Imán
737,82,8,Magneton,Calamita
738,82,9,Magneton,Magnet
739,83,1,カモネギ,かるがも
740,83,2,Kamonegi,
741,83,3,파오리,천둥오리
742,83,4,大蔥鴨,
743,83,5,Canarticho,"Canard Fou"
744,83,6,Porenta,Wildente
745,83,7,Farfetch'd,"Pato Salvaje"
746,83,8,Farfetch'd,Selvanatra
747,83,9,Farfetch'd,"Wild Duck"
748,84,1,ドードー,ふたごどり
749,84,2,Dodo,
750,84,3,두두,쌍둥이새
751,84,4,嘟嘟,
752,84,5,Doduo,Duoiseau
753,84,6,Dodu,Duovogel
754,84,7,Doduo,"Ave Gemela"
755,84,8,Doduo,Biuccello
756,84,9,Doduo,"Twin Bird"
757,85,1,ドードリオ,みつごどり
758,85,2,Dodorio,
759,85,3,두트리오,세쌍둥이새
760,85,4,嘟嘟利,
761,85,5,Dodrio,Trioiseau
762,85,6,Dodri,Trivogel
763,85,7,Dodrio,"Ave Triple"
764,85,8,Dodrio,Triuccello
765,85,9,Dodrio,"Triple Bird"
766,86,1,パウワウ,あしか
767,86,2,Pawou,
768,86,3,쥬쥬,강치
769,86,4,小海獅,
770,86,5,Otaria,Otarie
771,86,6,Jurob,Seehund
772,86,7,Seel,"León Marino"
773,86,8,Seel,Otaria
774,86,9,Seel,"Sea Lion"
775,87,1,ジュゴン,あしか
776,87,2,Jugon,
777,87,3,쥬레곤,강치
778,87,4,白海獅,
779,87,5,Lamantine,Otarie
780,87,6,Jugong,Seehund
781,87,7,Dewgong,"León Marino"
782,87,8,Dewgong,Otaria
783,87,9,Dewgong,"Sea Lion"
784,88,1,ベトベター,ヘドロ
785,88,2,Betbeter,
786,88,3,질퍽이,진흙
787,88,4,臭泥,
788,88,5,Tadmorv,Dégueu
789,88,6,Sleima,Schlamm
790,88,7,Grimer,Lodo
791,88,8,Grimer,Melma
792,88,9,Grimer,Sludge
793,89,1,ベトベトン,ヘドロ
794,89,2,Betbeton,
795,89,3,질뻐기,진흙
796,89,4,臭臭泥,
797,89,5,Grotadmorv,Dégueu
798,89,6,Sleimok,Schlamm
799,89,7,Muk,Lodo
800,89,8,Muk,Melma
801,89,9,Muk,Sludge
802,90,1,シェルダー,２まいがい
803,90,2,Shellder,
804,90,3,셀러,두조개
805,90,4,大舌貝,
806,90,5,Kokiyas,Bivalve
807,90,6,Muschas,Muschel
808,90,7,Shellder,Bivalvo
809,90,8,Shellder,Bivalve
810,90,9,Shellder,Bivalve
811,91,1,パルシェン,２まいがい
812,91,2,Parshen,
813,91,3,파르셀,두조개
814,91,4,鐵甲貝,
815,91,5,Crustabri,Bivalve
816,91,6,Austos,Muschel
817,91,7,Cloyster,Bivalvo
818,91,8,Cloyster,Bivalve
819,91,9,Cloyster,Bivalve
820,92,1,ゴース,ガスじょう
821,92,2,Ghos,
822,92,3,고오스,가스
823,92,4,鬼斯,
824,92,5,Fantominus,Gaz
825,92,6,Nebulak,Gas
826,92,7,Gastly,Gas
827,92,8,Gastly,Gas
828,92,9,Gastly,Gas
829,93,1,ゴースト,ガスじょう
830,93,2,Ghost,
831,93,3,고우스트,가스
832,93,4,鬼斯通,
833,93,5,Spectrum,Gaz
834,93,6,Alpollo,Gas
835,93,7,Haunter,Gas
836,93,8,Haunter,Gas
837,93,9,Haunter,Gas
838,94,1,ゲンガー,シャドー
839,94,2,Gangar,
840,94,3,팬텀,그림자
841,94,4,耿鬼,
842,94,5,Ectoplasma,Ombre
843,94,6,Gengar,Schatten
844,94,7,Gengar,Sombra
845,94,8,Gengar,Ombra
846,94,9,Gengar,Shadow
847,95,1,イワーク,いわへび
848,95,2,Iwark,
849,95,3,롱스톤,돌뱀
850,95,4,大岩蛇,
851,95,5,Onix,Serpenroc
852,95,6,Onix,Felsnatter
853,95,7,Onix,"Serp. Roca"
854,95,8,Onix,Serpesasso
855,95,9,Onix,"Rock Snake"
856,96,1,スリープ,さいみん
857,96,2,Sleep,
858,96,3,슬리프,최면
859,96,4,素利普,
860,96,5,Soporifik,Hypnose
861,96,6,Traumato,Hypnose
