id,encounter_id,encounter_condition_value_id
175,457,10
176,458,11
177,459,12
178,460,13
179,461,8
180,462,9
181,463,10
182,464,11
183,465,12
184,466,13
185,477,8
186,478,9
187,479,10
188,480,11
189,481,12
190,482,13
191,483,8
192,484,9
193,485,10
194,486,11
195,487,12
196,488,13
197,499,8
198,500,9
199,501,10
200,502,11
201,503,12
202,504,13
203,505,8
204,506,9
205,507,10
206,508,11
207,509,12
208,510,13
209,527,3
210,528,4
211,529,5
212,530,3
213,531,4
214,532,5
215,537,8
216,538,9
217,539,10
218,540,11
219,541,12
220,542,13
221,580,3
222,581,4
223,582,5
224,583,3
225,584,4
226,585,5
227,590,8
228,591,9
229,592,10
230,593,11
231,594,12
232,595,13
233,596,8
234,597,9
235,598,10
236,599,11
237,600,12
238,601,13
239,626,3
240,627,4
241,628,5
242,629,3
243,630,4
244,631,5
245,636,8
246,637,9
247,638,10
248,639,11
249,640,12
250,641,13
251,642,8
252,643,9
253,644,10
254,645,11
255,646,12
256,647,13
257,672,3
258,673,4
259,674,5
260,675,3
261,676,4
262,677,5
263,682,8
264,683,9
265,684,10
266,685,11
267,686,12
268,687,13
269,688,8
270,689,9
271,690,10
272,691,11
273,692,12
274,693,13
275,718,3
276,719,4
277,720,5
278,721,3
279,722,4
280,723,5
281,728,8
282,729,9
283,730,10
284,731,11
285,732,12
286,733,13
287,734,8
288,735,9
289,736,10
290,737,11
291,738,12
292,739,13
293,764,3
294,765,4
295,766,5
296,767,3
297,768,4
298,769,5
299,774,8
300,775,9
301,776,10
302,777,11
303,778,12
304,779,13
305,780,8
306,781,9
307,782,10
308,783,11
309,784,12
310,785,13
311,790,3
312,791,4
313,792,5
314,793,3
315,794,4
316,795,5
317,800,8
318,801,9
319,802,10
320,803,11
321,804,12
322,805,13
323,806,8
324,807,9
325,808,10
326,809,11
327,810,12
328,811,13
329,1240,3
330,1241,4
331,1242,5
332,1243,3
333,1244,4
334,1245,5
335,1246,7
336,1247,6
337,1248,7
338,1249,6
339,1252,8
340,1253,9
341,1254,10
342,1255,11
343,1256,12
344,1257,13
345,1258,8
346,1259,9
347,1260,10
348,1261,11
349,1262,12
350,1263,13
351,1264,7
352,1265,6
353,1266,7
354,1267,6
355,1276,8
356,1277,9
357,1278,10
358,1279,11
359,1280,12
360,1281,13
361,1282,8
362,1283,9
363,1284,10
364,1285,11
365,1286,12
366,1287,13
367,1298,8
368,1299,9
369,1300,10
370,1301,11
371,1302,12
372,1303,13
373,1304,8
374,1305,9
375,1306,10
376,1307,11
377,1308,12
378,1309,13
379,1314,3
380,1315,4
381,1316,5
382,1317,3
383,1318,4
384,1319,5
385,1324,8
386,1325,9
387,1326,10
388,1327,11
389,1328,12
390,1329,13
391,1330,8
392,1331,9
393,1332,10
394,1333,11
395,1334,12
396,1335,13
397,1366,8
398,1367,9
399,1368,10
400,1369,11
401,1370,12
402,1371,13
403,1372,8
404,1373,9
405,1374,10
406,1375,11
407,1376,12
408,1377,13
409,1388,8
410,1389,9
411,1390,10
412,1391,11
413,1392,12
414,1393,13
415,1394,8
416,1395,9
417,1396,10
418,1397,11
419,1398,12
420,1399,13
421,1410,8
422,1411,9
423,1412,10
424,1413,11
425,1414,12
426,1415,13
427,1416,8
428,1417,9
429,1418,10
430,1419,11
431,1420,12
432,1421,13
433,1432,8
434,1433,9
435,1434,10
436,1435,11
437,1436,12
438,1437,13
439,1438,8
440,1439,9
441,1440,10
442,1441,11
443,1442,12
444,1443,13
445,1564,8
446,1565,9
447,1566,10
448,1567,11
449,1568,12
450,1569,13
451,1570,8
452,1571,9
453,1572,10
454,1573,11
455,1574,12
456,1575,13
457,1696,8
458,1697,9
459,1698,10
460,1699,11
461,1700,12
462,1701,13
463,1702,8
464,1703,9
465,1704,10
466,1705,11
467,1706,12
468,1707,13
469,1828,8
470,1829,9
471,1830,10
472,1831,11
473,1832,12
474,1833,13
475,1834,8
476,1835,9
477,1836,10
478,1837,11
479,1838,12
480,1839,13
481,2450,8
482,2451,9
483,2452,10
484,2453,11
485,2454,12
486,2455,13
487,2456,8
488,2457,9
489,2458,10
490,2459,11
491,2460,12
492,2461,13
493,2472,8
494,2473,9
495,2474,10
496,2475,11
497,2476,12
498,2477,13
499,2478,8
500,2479,9
501,2480,10
502,2481,11
503,2482,12
504,2483,13
505,2524,3
506,2525,4
507,2526,5
508,2527,3
509,2528,4
510,2529,5
511,2578,8
512,2579,9
513,2580,10
514,2581,11
515,2582,12
516,2583,13
517,2584,8
518,2585,9
519,2586,10
520,2587,11
521,2588,12
522,2589,13
523,2600,8
524,2601,9
525,2602,10
526,2603,11
527,2604,12
528,2605,13
529,2606,8
530,2607,9
531,2608,10
532,2609,11
533,2610,12
534,2611,13
535,2622,8
536,2623,9
537,2624,10
538,2625,11
539,2626,12
540,2627,13
541,2628,8
542,2629,9
543,2630,10
544,2631,11
545,2632,12
546,2633,13
547,2644,8
548,2645,9
549,2646,10
550,2647,11
551,2648,12
552,2649,13
553,2650,8
554,2651,9
555,2652,10
556,2653,11
557,2654,12
558,2655,13
559,2666,8
560,2667,9
561,2668,10
562,2669,11
563,2670,12
564,2671,13
565,2672,8
566,2673,9
567,2674,10
568,2675,11
569,2676,12
570,2677,13
571,2688,8
572,2689,9
573,2690,10
574,2691,11
575,2692,12
576,2693,13
577,2694,8
578,2695,9
579,2696,10
580,2697,11
581,2698,12
582,2699,13
583,2710,8
584,2711,9
585,2712,10
586,2713,11
587,2714,12
588,2715,13
589,2716,8
590,2717,9
591,2718,10
592,2719,11
593,2720,12
594,2721,13
595,2732,8
596,2733,9
597,2734,10
598,2735,11
599,2736,12
600,2737,13
601,2738,8
602,2739,9
603,2740,10
604,2741,11
605,2742,12
606,2743,13
607,2754,8
608,2755,9
609,2756,10
610,2757,11
611,2758,12
612,2759,13
613,2760,8
614,2761,9
615,2762,10
616,2763,11
617,2764,12
618,2765,13
619,2776,8
620,2777,9
621,2778,10
622,2779,11
623,2780,12
624,2781,13
625,2782,8
626,2783,9
627,2784,10
628,2785,11
629,2786,12
630,2787,13
631,2798,8
632,2799,9
633,2800,10
634,2801,11
635,2802,12
636,2803,13
637,2804,8
638,2805,9
639,2806,10
640,2807,11
641,2808,12
642,2809,13
643,2820,8
644,2821,9
645,2822,10
646,2823,11
647,2824,12
648,2825,13
649,2826,8
650,2827,9
651,2828,10
652,2829,11
653,2830,12
654,2831,13
655,2842,8
656,2843,9
657,2844,10
658,2845,11
659,2846,12
660,2847,13
661,2848,8
662,2849,9
663,2850,10
664,2851,11
665,2852,12
666,2853,13
667,2864,8
668,2865,9
669,2866,10
670,2867,11
671,2868,12
672,2869,13
673,2870,8
674,2871,9
675,2872,10
676,2873,11
677,2874,12
678,2875,13
679,2878,2
680,2879,1
681,2880,2
682,2881,1
683,2882,3
684,2883,4
685,2884,5
686,2886,7
687,2887,6
688,2888,7
689,2889,6
690,2892,8
691,2893,9
692,2894,10
693,2895,11
694,2896,12
695,2897,13
696,2898,8
697,2899,9
698,2900,10
699,2901,11
700,2902,12
701,2903,13
702,2904,7
703,2905,6
704,2906,7
705,2907,6
706,2928,2
707,2929,1
708,2930,2
709,2931,1
710,2932,3
711,2933,4
712,2934,5
713,2936,7
714,2937,6
715,2938,7
716,2939,6
717,2942,8
718,2943,9
719,2944,10
720,2945,11
721,2946,12
722,2947,13
723,2948,8
724,2949,9
725,2950,10
726,2951,11
727,2952,12
728,2953,13
729,2954,7
730,2955,6
731,2956,7
732,2957,6
733,2978,2
734,2979,1
735,2980,2
736,2981,1
737,2982,3
738,2983,4
739,2984,5
740,2985,3
741,2986,4
742,2987,5
743,2988,7
744,2989,6
745,2990,7
746,2991,6
747,2994,8
748,2995,9
749,2996,10
750,2997,11
751,2998,12
752,2999,13
753,3000,8
754,3001,9
755,3002,10
756,3003,11
757,3004,12
758,3005,13
759,3006,7
760,3007,6
761,3008,7
762,3009,6
763,3030,2
764,3031,1
765,3032,2
766,3033,1
767,3034,3
768,3035,4
769,3036,5
770,3037,3
771,3038,4
772,3039,5
773,3040,7
774,3041,6
775,3042,7
776,3043,6
777,3046,8
778,3047,9
779,3048,10
780,3049,11
781,3050,12
782,3051,13
783,3052,8
784,3053,9
785,3054,10
786,3055,11
787,3056,12
788,3057,13
789,3058,7
790,3059,6
791,3060,7
792,3061,6
793,3084,3
794,3085,4
795,3086,5
796,3087,3
797,3088,4
798,3089,5
799,3090,7
800,3091,6
801,3092,7
802,3093,6
803,3098,7
804,3099,6
805,3100,7
806,3101,6
807,3104,3
808,3105,4
809,3106,5
810,3107,3
811,3108,4
812,3109,5
813,3110,7
814,3111,6
815,3112,7
816,3113,6
817,3116,8
818,3117,9
819,3118,10
820,3119,11
821,3120,12
822,3121,13
823,3122,8
824,3123,9
825,3124,10
826,3125,11
827,3126,12
828,3127,13
829,3128,7
830,3129,6
831,3130,7
832,3131,6
833,3132,2
834,3133,1
835,3134,2
836,3135,1
837,3136,3
838,3137,4
839,3138,5
840,3140,7
841,3141,6
842,3142,7
843,3143,6
844,3146,8
845,3147,9
846,3148,10
847,3149,11
848,3150,12
849,3151,13
850,3152,8
851,3153,9
852,3154,10
853,3155,11
854,3156,12
855,3157,13
856,3158,7
857,3159,6
858,3160,7
859,3161,6
860,3162,2
861,3163,1
862,3164,2
863,3165,1
864,3166,3
865,3167,4
866,3168,5
867,3169,3
868,3170,4
869,3171,5
870,3172,7
871,3173,6
872,3174,7
873,3175,6
874,3178,8
875,3179,9
876,3180,10
877,3181,11
878,3182,12
879,3183,13
880,3184,8
881,3185,9
882,3186,10
883,3187,11
884,3188,12
885,3189,13
886,3190,7
887,3191,6
888,3192,7
889,3193,6
890,3194,2
891,3195,1
892,3196,2
893,3197,1
894,3198,3
895,3199,4
896,3200,5
897,3201,3
898,3202,4
899,3203,5
900,3204,7
901,3205,6
902,3206,7
903,3207,6
904,3210,8
905,3211,9
906,3212,10
907,3213,11
908,3214,12
909,3215,13
910,3216,8
911,3217,9
912,3218,10
913,3219,11
914,3220,12
915,3221,13
916,3222,7
917,3223,6
918,3224,7
919,3225,6
920,3248,3
921,3249,4
922,3250,5
923,3251,3
924,3252,4
925,3253,5
926,3254,7
927,3255,6
928,3256,7
929,3257,6
930,3260,8
931,3261,9
932,3262,10
933,3263,11
934,3264,12
935,3265,13
936,3266,8
937,3267,9
938,3268,10
939,3269,11
940,3270,12
941,3271,13
942,3272,7
943,3273,6
944,3274,7
945,3275,6
946,3298,3
947,3299,4
948,3300,5
949,3301,3
950,3302,4
951,3303,5
952,3304,7
953,3305,6
954,3306,7
955,3307,6
956,3310,8
957,3311,9
958,3312,10
959,3313,11
960,3314,12
961,3315,13
962,3316,8
963,3317,9
964,3318,10
965,3319,11
966,3320,12
967,3321,13
968,3322,7
969,3323,6
970,3324,7
971,3325,6
972,3350,7
973,3351,6
974,3352,7
975,3353,6
976,3356,8
977,3357,9
978,3358,10
979,3359,11
980,3360,12
981,3361,13
982,3362,8
983,3363,9
984,3364,10
985,3365,11
986,3366,12
987,3367,13
988,3368,7
989,3369,6
990,3370,7
991,3371,6
992,3396,7
993,3397,6
994,3398,7
995,3399,6
996,3402,8
997,3403,9
998,3404,10
999,3405,11
1000,3406,12
1001,3407,13
1002,3408,8
1003,3409,9
1004,3410,10
1005,3411,11
1006,3412,12
1007,3413,13
1008,3414,7
1009,3415,6
1010,3416,7
1011,3417,6
1012,3438,2
1013,3439,1
1014,3440,2
1015,3441,1
1016,3442,3
1017,3443,4
1018,3444,5
1019,3445,3
1020,3446,4
1021,3447,5
1022,3448,7
1023,3449,6
1024,3450,7
1025,3451,6
1026,3454,8
1027,3455,9
1028,3456,10
1029,3457,11
1030,3458,12
1031,3459,13
1032,3460,8
1033,3461,9
1034,3462,10
1035,3463,11
1036,3464,12
1037,3465,13
1038,3466,7
1039,3467,6
1040,3468,7
1041,3469,6
1042,3470,2
1043,3471,1
1044,3472,2
1045,3473,1
1046,3474,3
1047,3475,4
1048,3476,5
1049,3477,3
1050,3478,4
1051,3479,5
1052,3480,7
1053,3481,6
1054,3482,7
1055,3483,6
1056,3486,8
1057,3487,9
1058,3488,10
1059,3489,11
1060,3490,12
1061,3491,13
1062,3492,8
1063,3493,9
1064,3494,10
1065,3495,11
1066,3496,12
1067,3497,13
1068,3498,7
1069,3499,6
1070,3500,7
1071,3501,6
1072,3502,2
1073,3503,1
1074,3504,2
1075,3505,1
1076,3506,3
1077,3507,4
1078,3508,5
1079,3509,3
1080,3510,4
1081,3511,5
1082,3512,7
1083,3513,6
1084,3514,7
1085,3515,6
1086,3518,8
1087,3519,9
1088,3520,10
1089,3521,11
1090,3522,12
1091,3523,13
1092,3524,8
1093,3525,9
1094,3526,10
1095,3527,11
1096,3528,12
1097,3529,13
1098,3530,7
1099,3531,6
1100,3532,7
1101,3533,6
1102,3554,2
1103,3555,1
1104,3556,2
1105,3557,1
1106,3558,3
1107,3559,4
1108,3560,5
1109,3561,3
1110,3562,4
1111,3563,5
1112,3564,7
1113,3565,6
1114,3566,7
1115,3567,6
1116,3570,8
1117,3571,9
1118,3572,10
1119,3573,11
1120,3574,12
1121,3575,13
1122,3576,8
1123,3577,9
1124,3578,10
1125,3579,11
1126,3580,12
1127,3581,13
1128,3582,7
1129,3583,6
1130,3584,7
1131,3585,6
1132,3608,3
1133,3609,4
1134,3610,5
1135,3611,3
1136,3612,4
1137,3613,5
1138,3624,3
1139,3625,4
1140,3626,5
1141,3627,3
1142,3628,4
1143,3629,5
1144,3640,3
1145,3641,4
1146,3642,5
1147,3643,3
1148,3644,4
1149,3645,5
1150,3656,3
1151,3657,4
1152,3658,5
1153,3659,3
1154,3660,4
1155,3661,5
1156,3672,3
1157,3673,4
1158,3674,5
1159,3675,3
1160,3676,4
1161,3677,5
1162,3688,3
1163,3689,4
1164,3690,5
1165,3691,3
1166,3692,4
1167,3693,5
1168,3694,7
1169,3695,6
1170,3696,7
1171,3697,6
1172,3700,8
1173,3701,9
1174,3702,10
1175,3703,11
1176,3704,12
1177,3705,13
1178,3706,8
1179,3707,9
1180,3708,10
1181,3709,11
1182,3710,12
1183,3711,13
1184,3712,7
1185,3713,6
1186,3714,7
1187,3715,6
1188,3718,3
1189,3719,4
1190,3720,5
1191,3721,3
1192,3722,4
1193,3723,5
1194,3724,7
1195,3725,6
1196,3726,7
1197,3727,6
1198,3730,8
1199,3731,9
1200,3732,10
1201,3733,11
1202,3734,12
1203,3735,13
1204,3736,8
1205,3737,9
1206,3738,10
1207,3739,11
1208,3740,12
1209,3741,13
1210,3742,7
1211,3743,6
1212,3744,7
1213,3745,6
1214,3768,3
1215,3769,4
1216,3770,5
1217,3771,3
1218,3772,4
1219,3773,5
1220,3774,7
1221,3775,6
1222,3776,7
1223,3777,6
1224,3780,8
1225,3781,9
1226,3782,10
1227,3783,11
1228,3784,12
1229,3785,13
1230,3786,8
1231,3787,9
1232,3788,10
1233,3789,11
1234,3790,12
1235,3791,13
1236,3792,7
1237,3793,6
1238,3794,7
1239,3795,6
1240,3798,3
1241,3799,4
1242,3800,5
1243,3801,3
1244,3802,4
1245,3803,5
1246,3804,7
1247,3805,6
1248,3806,7
1249,3807,6
1250,3810,8
1251,3811,9
1252,3812,10
1253,3813,11
1254,3814,12
1255,3815,13
1256,3816,8
1257,3817,9
1258,3818,10
1259,3819,11
1260,3820,12
1261,3821,13
1262,3822,7
1263,3823,6
1264,3824,7
1265,3825,6
1266,3828,3
1267,3829,4
1268,3830,5
1269,3831,3
1270,3832,4
1271,3833,5
1272,3834,7
1273,3835,6
1274,3836,7
1275,3837,6
1276,3842,7
1277,3843,6
1278,3844,7
1279,3845,6
1280,3868,3
1281,3869,4
1282,3870,5
1283,3871,3
1284,3872,4
1285,3873,5
1286,3874,7
1287,3875,6
1288,3876,7
1289,3877,6
1290,3880,8
1291,3881,9
1292,3882,10
1293,3883,11
1294,3884,12
1295,3885,13
1296,3886,8
1297,3887,9
1298,3888,10
1299,3889,11
1300,3890,12
1301,3891,13
1302,3892,7
1303,3893,6
1304,3894,7
1305,3895,6
1306,3916,2
1307,3917,1
1308,3918,2
1309,3919,1
1310,3921,3
1311,3922,4
1312,3923,5
1313,3924,7
1314,3925,6
1315,3926,7
1316,3927,6
1317,3932,7
1318,3933,6
1319,3934,7
1320,3935,6
1321,3956,2
1322,3957,1
1323,3958,2
1324,3959,1
1325,3960,3
1326,3961,4
1327,3962,5
1328,3963,3
1329,3964,4
1330,3965,5
1331,3966,7
1332,3967,6
1333,3968,7
1334,3969,6
1335,3972,8
1336,3973,9
1337,3974,10
1338,3975,11
1339,3976,12
1340,3977,13
1341,3978,8
1342,3979,9
1343,3980,10
1344,3981,11
1345,3982,12
1346,3983,13
1347,3984,7
1348,3985,6
1349,3986,7
1350,3987,6
1351,4008,2
1352,4009,1
1353,4010,2
1354,4011,1
1355,4012,3
1356,4013,4
1357,4014,5
1358,4015,3
1359,4016,4
1360,4017,5
1361,4018,7
1362,4019,6
1363,4020,7
1364,4021,6
1365,4024,8
1366,4025,9
1367,4026,10
1368,4027,11
1369,4028,12
1370,4029,13
1371,4030,8
1372,4031,9
1373,4032,10
1374,4033,11
1375,4034,12
1376,4035,13
1377,4036,7
1378,4037,6
1379,4038,7
1380,4039,6
1381,4040,2
1382,4041,1
1383,4042,2
1384,4043,1
1385,4044,3
1386,4045,4
1387,4046,5
1388,4047,3
1389,4048,4
1390,4049,5
1391,4050,7
1392,4051,6
1393,4052,7
1394,4053,6
1395,4056,8
1396,4057,9
1397,4058,10
1398,4059,11
1399,4060,12
1400,4061,13
1401,4062,8
1402,4063,9
1403,4064,10
1404,4065,11
1405,4066,12
1406,4067,13
1407,4068,7
1408,4069,6
1409,4070,7
1410,4071,6
1411,4072,2
1412,4073,1
1413,4074,2
1414,4075,1
1415,4076,3
1416,4077,4
1417,4078,5
1418,4079,3
1419,4080,4
1420,4081,5
1421,4082,7
1422,4083,6
1423,4084,7
1424,4085,6
1425,4088,8
1426,4089,9
1427,4090,10
1428,4091,11
1429,4092,12
1430,4093,13
1431,4094,8
1432,4095,9
1433,4096,10
1434,4097,11
1435,4098,12
1436,4099,13
1437,4100,7
1438,4101,6
1439,4102,7
1440,4103,6
1441,4104,2
1442,4105,1
1443,4106,2
1444,4107,1
1445,4110,7
1446,4111,6
1447,4112,7
1448,4113,6
1449,4118,7
1450,4119,6
1451,4120,7
1452,4121,6
1453,4162,2
1454,4163,1
1455,4164,2
1456,4165,1
1457,4168,7
1458,4169,6
1459,4170,7
1460,4171,6
1461,4176,7
1462,4177,6
1463,4178,7
1464,4179,6
1465,4200,2
1466,4201,1
1467,4202,2
1468,4203,1
1469,4204,3
1470,4205,4
1471,4206,5
1472,4207,3
1473,4208,4
1474,4209,5
1475,4210,7
1476,4211,6
1477,4212,7
1478,4213,6
1479,4218,7
1480,4219,6
1481,4220,7
1482,4221,6
1483,4242,2
1484,4243,1
1485,4244,2
1486,4245,1
1487,4246,3
1488,4247,4
1489,4248,5
1490,4249,3
1491,4250,4
1492,4251,5
1493,4252,7
1494,4253,6
1495,4254,7
1496,4255,6
1497,4258,8
1498,4259,9
1499,4260,10
1500,4261,11
1501,4262,12
1502,4263,13
1503,4264,8
1504,4265,9
1505,4266,10
1506,4267,11
1507,4268,12
1508,4269,13
1509,4270,7
1510,4271,6
1511,4272,7
1512,4273,6
1513,4294,2
1514,4295,1
1515,4296,2
1516,4297,1
1517,4298,3
1518,4299,4
1519,4300,5
1520,4301,3
1521,4302,4
1522,4303,5
1523,4304,7
1524,4305,6
1525,4306,7
1526,4307,6
1527,4312,7
1528,4313,6
1529,4314,7
1530,4315,6
1531,4336,2
1532,4337,1
1533,4338,2
1534,4339,1
1535,4340,3
1536,4341,4
1537,4342,5
1538,4343,3
1539,4344,4
1540,4345,5
1541,4346,7
1542,4347,6
1543,4348,7
1544,4349,6
1545,4352,8
1546,4353,9
1547,4354,10
1548,4355,11
1549,4356,12
1550,4357,13
1551,4358,8
1552,4359,9
1553,4360,10
1554,4361,11
1555,4362,12
1556,4363,13
1557,4364,7
1558,4365,6
1559,4366,7
1560,4367,6
1561,4388,2
1562,4389,1
1563,4390,2
1564,4391,1
1565,4392,3
1566,4393,4
1567,4394,5
1568,4395,3
1569,4396,4
1570,4397,5
1571,4398,7
1572,4399,6
1573,4400,7
1574,4401,6
1575,4404,8
1576,4405,9
1577,4406,10
1578,4407,11
1579,4408,12
1580,4409,13
1581,4410,8
1582,4411,9
1583,4412,10
1584,4413,11
1585,4414,12
1586,4415,13
1587,4416,7
1588,4417,6
1589,4418,7
1590,4419,6
1591,4440,2
1592,4441,1
1593,4442,2
1594,4443,1
1595,4444,3
1596,4445,4
1597,4446,5
1598,4447,3
1599,4448,4
1600,4449,5
1601,4450,7
1602,4451,6
1603,4452,7
1604,4453,6
1605,4456,8
1606,4457,9
1607,4458,10
1608,4459,11
1609,4460,12
1610,4461,13
1611,4462,8
1612,4463,9
1613,4464,10
1614,4465,11
1615,4466,12
1616,4467,13
1617,4468,7
1618,4469,6
1619,4470,7
1620,4471,6
1621,4592,2
1622,4593,1
1623,4594,2
1624,4595,1
1625,4596,3
1626,4597,4
1627,4598,5
1628,4599,3
1629,4600,4
1630,4601,5
1631,4602,7
1632,4603,6
1633,4604,7
1634,4605,6
1635,4610,7
1636,4611,6
1637,4612,7
1638,4613,6
1639,4634,2
1640,4635,1
1641,4636,2
1642,4637,1
1643,4640,7
1644,4641,6
1645,4642,7
1646,4643,6
1647,4648,7
1648,4649,6
1649,4650,7
1650,4651,6
1651,4796,2
1652,4797,1
1653,4798,2
1654,4799,1
1655,4802,7
1656,4803,6
1657,4804,7
1658,4805,6
1659,4808,8
1660,4809,9
1661,4810,10
1662,4811,11
1663,4812,12
1664,4813,13
1665,4814,8
1666,4815,9
1667,4816,10
1668,4817,11
1669,4818,12
1670,4819,13
1671,4820,7
1672,4821,6
1673,4822,7
1674,4823,6
1675,4844,2
1676,4845,1
1677,4846,2
1678,4847,1
1679,4848,3
1680,4849,4
1681,4850,5
1682,4851,3
1683,4852,4
1684,4853,5
1685,4854,7
1686,4855,6
1687,4856,7
1688,4857,6
1689,4860,8
1690,4861,9
1691,4862,10
1692,4863,11
1693,4864,12
1694,4865,13
1695,4866,8
1696,4867,9
1697,4868,10
1698,4869,11
1699,4870,12
1700,4871,13
1701,4872,7
1702,4873,6
1703,4874,7
1704,4875,6
1705,4876,2
1706,4877,1
1707,4878,2
1708,4879,1
1709,4882,7
1710,4883,6
1711,4884,7
1712,4885,6
1713,4890,7
1714,4891,6
1715,4892,7
1716,4893,6
1717,4916,3
1718,4917,4
1719,4918,5
1720,4919,3
1721,4920,4
1722,4921,5
1723,4958,8
1724,4959,9
1725,4960,10
1726,4961,11
1727,4962,12
1728,4963,13
1729,4964,8
1730,4965,9
1731,4966,10
1732,4967,11
1733,4968,12
1734,4969,13
1735,4980,8
1736,4981,9
1737,4982,10
1738,4983,11
1739,4984,12
1740,4985,13
1741,4986,8
1742,4987,9
1743,4988,10
1744,4989,11
1745,4990,12
1746,4991,13
1747,4996,3
1748,4997,4
1749,4998,5
1750,4999,3
1751,5000,4
1752,5001,5
1753,5002,7
1754,5003,6
1755,5004,7
1756,5005,6
1757,5008,8
1758,5009,9
1759,5010,10
1760,5011,11
1761,5012,12
1762,5013,13
1763,5014,8
1764,5015,9
1765,5016,10
1766,5017,11
1767,5018,12
1768,5019,13
1769,5020,7
1770,5021,6
1771,5022,7
1772,5023,6
1773,5026,3
1774,5027,4
1775,5028,5
1776,5029,3
1777,5030,4
1778,5031,5
1779,5032,7
1780,5033,6
1781,5034,7
1782,5035,6
1783,5038,8
1784,5039,9
1785,5040,10
1786,5041,11
1787,5042,12
1788,5043,13
1789,5044,8
1790,5045,9
1791,5046,10
1792,5047,11
1793,5048,12
1794,5049,13
1795,5050,7
1796,5051,6
1797,5052,7
1798,5053,6
1799,5062,8
1800,5063,9
1801,5064,10
1802,5065,11
1803,5066,12
1804,5067,13
1805,5068,8
1806,5069,9
1807,5070,10
1808,5071,11
1809,5072,12
1810,5073,13
1811,5104,8
1812,5105,9
1813,5106,10
1814,5107,11
1815,5108,12
1816,5109,13
1817,5110,8
1818,5111,9
1819,5112,10
1820,5113,11
1821,5114,12
1822,5115,13
1823,5126,8
1824,5127,9
1825,5128,10
1826,5129,11
1827,5130,12
1828,5131,13
1829,5132,8
1830,5133,9
1831,5134,10
1832,5135,11
1833,5136,12
1834,5137,13
1835,5148,8
1836,5149,9
1837,5150,10
1838,5151,11
1839,5152,12
1840,5153,13
1841,5154,8
1842,5155,9
1843,5156,10
1844,5157,11
1845,5158,12
1846,5159,13
1847,5170,8
1848,5171,9
1849,5172,10
1850,5173,11
1851,5174,12
1852,5175,13
1853,5176,8
1854,5177,9
1855,5178,10
1856,5179,11
1857,5180,12
1858,5181,13
1859,5198,3
1860,5199,4
1861,5200,5
1862,5201,3
1863,5202,4
1864,5203,5
1865,5208,8
1866,5209,9
1867,5210,10
1868,5211,11
1869,5212,12
1870,5213,13
1871,5251,3
1872,5252,4
1873,5253,5
1874,5254,3
1875,5255,4
1876,5256,5
1877,5261,8
1878,5262,9
1879,5263,10
1880,5264,11
1881,5265,12
1882,5266,13
1883,5267,8
1884,5268,9
1885,5269,10
1886,5270,11
1887,5271,12
1888,5272,13
1889,5297,3
1890,5298,4
1891,5299,5
1892,5300,3
1893,5301,4
1894,5302,5
1895,5307,8
1896,5308,9
1897,5309,10
1898,5310,11
1899,5311,12
1900,5312,13
1901,5313,8
1902,5314,9
1903,5315,10
1904,5316,11
1905,5317,12
1906,5318,13
1907,5343,3
1908,5344,4
1909,5345,5
1910,5346,3
1911,5347,4
